iter,utterance_length,nb_utterances,produced,production_score
1,2,5378,4701,0.8741167720342135
1,3,5763,4700,0.8155474579212216
1,4,4066,2951,0.7257747171667487
1,5,2775,1750,0.6306306306306306
1,7,1128,551,0.48847517730496454
1,8,573,220,0.38394415357766143
1,6,1724,980,0.568445475638051
1,9,320,106,0.33125
1,10,190,51,0.26842105263157895
1,13,39,4,0.10256410256410256
1,12,75,14,0.18666666666666668
1,15,14,0,0.0
1,11,104,25,0.2403846153846154
1,14,40,4,0.1
1,19,9,0,0.0
1,25,5,2,0.4
1,17,9,1,0.1111111111111111
1,18,4,2,0.5
1,21,2,0,0.0
1,24,2,0,0.0
1,16,11,1,0.09090909090909091
1,27,1,0,0.0
1,33,1,0,0.0
1,20,3,0,0.0
1,28,1,0,0.0
2,2,5378,4701,0.8741167720342135
2,3,5763,4700,0.8155474579212216
2,4,4066,2951,0.7257747171667487
2,5,2775,1730,0.6234234234234234
2,7,1128,545,0.48315602836879434
2,8,573,222,0.387434554973822
2,6,1724,985,0.5713457076566125
2,9,320,110,0.34375
2,10,190,52,0.2736842105263158
2,13,39,4,0.10256410256410256
2,12,75,14,0.18666666666666668
2,15,14,0,0.0
2,11,104,25,0.2403846153846154
2,14,40,4,0.1
2,19,9,0,0.0
2,25,5,2,0.4
2,17,9,1,0.1111111111111111
2,18,4,2,0.5
2,21,2,0,0.0
2,24,2,0,0.0
2,16,11,1,0.09090909090909091
2,27,1,0,0.0
2,33,1,0,0.0
2,20,3,0,0.0
2,28,1,0,0.0
3,2,5378,4701,0.8741167720342135
3,3,5763,4700,0.8155474579212216
3,4,4066,2957,0.7272503689129366
3,5,2775,1740,0.6270270270270271
3,7,1128,547,0.4849290780141844
3,8,573,219,0.38219895287958117
3,6,1724,974,0.5649651972157773
3,9,320,106,0.33125
3,10,190,52,0.2736842105263158
3,13,39,4,0.10256410256410256
3,12,75,14,0.18666666666666668
3,15,14,0,0.0
3,11,104,24,0.23076923076923078
3,14,40,4,0.1
3,19,9,0,0.0
3,25,5,2,0.4
3,17,9,1,0.1111111111111111
3,18,4,2,0.5
3,21,2,0,0.0
3,24,2,0,0.0
3,16,11,1,0.09090909090909091
3,27,1,0,0.0
3,33,1,0,0.0
3,20,3,0,0.0
3,28,1,0,0.0
4,2,5378,4701,0.8741167720342135
4,3,5763,4699,0.8153739371854937
4,4,4066,2955,0.7267584849975406
4,5,2775,1734,0.6248648648648648
4,7,1128,548,0.4858156028368794
4,8,573,221,0.3856893542757417
4,6,1724,976,0.5661252900232019
4,9,320,107,0.334375
4,10,190,52,0.2736842105263158
4,13,39,4,0.10256410256410256
4,12,75,15,0.2
4,15,14,0,0.0
4,11,104,24,0.23076923076923078
4,14,40,4,0.1
4,19,9,0,0.0
4,25,5,2,0.4
4,17,9,1,0.1111111111111111
4,18,4,2,0.5
4,21,2,0,0.0
4,24,2,0,0.0
4,16,11,1,0.09090909090909091
4,27,1,0,0.0
4,33,1,0,0.0
4,20,3,0,0.0
4,28,1,0,0.0
5,2,5378,4701,0.8741167720342135
5,3,5763,4702,0.8158944993926774
5,4,4066,2948,0.7250368912936547
5,5,2775,1749,0.6302702702702703
5,7,1128,544,0.48226950354609927
5,8,573,214,0.37347294938917974
5,6,1724,980,0.568445475638051
5,9,320,105,0.328125
5,10,190,53,0.2789473684210526
