iter,utterance_length,nb_utterances,produced,production_score
1,3,1653,1432,0.8663036902601331
1,2,1421,1230,0.8655876143560872
1,4,1309,996,0.7608861726508785
1,5,997,687,0.6890672016048145
1,6,764,446,0.5837696335078534
1,9,263,79,0.30038022813688214
1,7,522,245,0.46934865900383144
1,12,123,28,0.22764227642276422
1,11,161,33,0.20496894409937888
1,8,383,161,0.42036553524804177
1,10,194,46,0.23711340206185566
1,18,23,2,0.08695652173913043
1,13,74,14,0.1891891891891892
1,15,47,6,0.1276595744680851
1,17,33,1,0.030303030303030304
1,14,43,5,0.11627906976744186
1,20,16,1,0.0625
1,21,11,0,0.0
1,16,26,0,0.0
1,37,3,0,0.0
1,26,4,0,0.0
1,28,3,0,0.0
1,27,6,0,0.0
1,23,9,0,0.0
1,24,7,0,0.0
1,19,12,0,0.0
1,25,9,0,0.0
1,31,2,0,0.0
1,34,1,0,0.0
1,29,1,0,0.0
1,47,1,0,0.0
1,40,2,0,0.0
1,39,4,0,0.0
1,52,1,0,0.0
1,41,1,0,0.0
1,33,1,0,0.0
1,69,1,0,0.0
1,38,1,0,0.0
1,22,4,0,0.0
2,3,1653,1431,0.8656987295825771
2,2,1421,1230,0.8655876143560872
2,4,1309,1000,0.7639419404125286
2,5,997,685,0.6870611835506519
2,6,764,451,0.5903141361256544
2,9,263,80,0.3041825095057034
2,7,522,249,0.47701149425287354
2,12,123,28,0.22764227642276422
2,11,161,31,0.19254658385093168
2,8,383,158,0.412532637075718
2,10,194,48,0.24742268041237114
2,18,23,2,0.08695652173913043
2,13,74,14,0.1891891891891892
2,15,47,6,0.1276595744680851
2,17,33,1,0.030303030303030304
2,14,43,6,0.13953488372093023
2,20,16,1,0.0625
2,21,11,0,0.0
2,16,26,0,0.0
2,37,3,0,0.0
2,26,4,0,0.0
2,28,3,0,0.0
2,27,6,0,0.0
2,23,9,0,0.0
2,24,7,0,0.0
2,19,12,0,0.0
2,25,9,0,0.0
2,31,2,0,0.0
2,34,1,0,0.0
2,29,1,0,0.0
2,47,1,0,0.0
2,40,2,0,0.0
2,39,4,0,0.0
2,52,1,0,0.0
2,41,1,0,0.0
2,33,1,0,0.0
2,69,1,0,0.0
2,38,1,0,0.0
2,22,4,0,0.0
3,3,1653,1429,0.8644888082274652
3,2,1421,1230,0.8655876143560872
3,4,1309,996,0.7608861726508785
3,5,997,685,0.6870611835506519
3,6,764,452,0.5916230366492147
3,9,263,78,0.2965779467680608
3,7,522,245,0.46934865900383144
3,12,123,29,0.23577235772357724
