iter,utterance_length,nb_utterances,produced,production_score
1,2,2415,2166,0.8968944099378882
1,5,2405,1663,0.6914760914760915
1,4,2869,2221,0.7741373300801673
1,3,2917,2458,0.8426465546794653
1,6,1842,1109,0.6020629750271445
1,7,1365,711,0.5208791208791209
1,10,553,159,0.2875226039783002
1,8,963,434,0.45067497403946
1,9,736,271,0.36820652173913043
1,11,411,94,0.22871046228710462
1,15,161,15,0.09316770186335403
1,12,362,61,0.1685082872928177
1,13,279,39,0.13978494623655913
1,17,96,5,0.052083333333333336
1,22,28,0,0.0
1,27,15,0,0.0
1,19,64,2,0.03125
1,24,22,1,0.045454545454545456
1,14,201,23,0.11442786069651742
1,26,21,1,0.047619047619047616
1,21,44,2,0.045454545454545456
1,20,53,4,0.07547169811320754
1,18,90,2,0.022222222222222223
1,16,123,11,0.08943089430894309
1,23,27,0,0.0
1,34,5,0,0.0
1,32,10,0,0.0
1,30,5,0,0.0
1,25,20,0,0.0
1,42,2,0,0.0
1,41,2,0,0.0
1,35,7,0,0.0
1,40,4,0,0.0
1,33,3,0,0.0
1,29,8,1,0.125
1,31,7,0,0.0
1,28,14,0,0.0
1,46,3,0,0.0
1,39,5,0,0.0
1,37,3,0,0.0
1,45,1,0,0.0
1,53,1,0,0.0
1,51,2,0,0.0
1,36,3,0,0.0
1,52,2,0,0.0
1,78,1,0,0.0
1,38,1,0,0.0
1,60,1,0,0.0
2,2,2415,2166,0.8968944099378882
2,5,2405,1667,0.6931392931392931
2,4,2869,2222,0.77448588358313
2,3,2917,2457,0.8423037367158039
2,6,1842,1109,0.6020629750271445
2,7,1365,712,0.5216117216117216
2,10,553,156,0.2820976491862568
2,8,963,430,0.446521287642783
2,9,736,278,0.37771739130434784
2,11,411,92,0.22384428223844283
2,15,161,14,0.08695652173913043
2,12,362,59,0.16298342541436464
2,13,279,39,0.13978494623655913
2,17,96,5,0.052083333333333336
2,22,28,0,0.0
2,27,15,0,0.0
2,19,64,2,0.03125
2,24,22,1,0.045454545454545456
2,14,201,24,0.11940298507462686
2,26,21,0,0.0
2,21,44,2,0.045454545454545456
2,20,53,5,0.09433962264150944
2,18,90,2,0.022222222222222223
2,16,123,11,0.08943089430894309
2,23,27,1,0.037037037037037035
2,34,5,0,0.0
2,32,10,0,0.0
2,30,5,0,0.0
2,25,20,0,0.0
2,42,2,0,0.0
2,41,2,0,0.0
2,35,7,0,0.0
2,40,4,0,0.0
2,33,3,0,0.0
2,29,8,1,0.125
2,31,7,0,0.0
2,28,14,0,0.0
2,46,3,0,0.0
2,39,5,0,0.0
2,37,3,0,0.0
2,45,1,0,0.0
2,53,1,0,0.0
2,51,2,0,0.0
2,36,3,0,0.0
2,52,2,0,0.0
2,78,1,0,0.0
2,38,1,0,0.0
2,60,1,0,0.0
3,2,2415,2166,0.8968944099378882
3,5,2405,1664,0.6918918918918919
3,4,2869,2221,0.7741373300801673
3,3,2917,2459,0.8429893726431265
