iter,utterance_length,nb_utterances,produced,production_score
1,2,4015,3224,0.8029887920298879
1,3,2744,1631,0.5943877551020408
1,4,1595,770,0.4827586206896552
1,5,808,316,0.3910891089108911
1,6,347,110,0.3170028818443804
1,9,29,5,0.1724137931034483
1,7,154,35,0.22727272727272727
1,8,77,13,0.16883116883116883
1,10,11,2,0.18181818181818182
1,11,7,1,0.14285714285714285
1,15,1,0,0.0
1,12,3,0,0.0
1,14,1,0,0.0
1,16,1,0,0.0
1,13,1,0,0.0
2,2,4015,3224,0.8029887920298879
2,3,2744,1630,0.5940233236151603
2,4,1595,771,0.4833855799373041
2,5,808,317,0.39232673267326734
2,6,347,111,0.31988472622478387
2,9,29,5,0.1724137931034483
2,7,154,34,0.22077922077922077
2,8,77,13,0.16883116883116883
2,10,11,2,0.18181818181818182
2,11,7,1,0.14285714285714285
2,15,1,0,0.0
2,12,3,0,0.0
2,14,1,0,0.0
2,16,1,0,0.0
2,13,1,0,0.0
3,2,4015,3224,0.8029887920298879
3,3,2744,1628,0.5932944606413995
3,4,1595,770,0.4827586206896552
3,5,808,314,0.3886138613861386
3,6,347,111,0.31988472622478387
3,9,29,5,0.1724137931034483
3,7,154,32,0.2077922077922078
3,8,77,13,0.16883116883116883
3,10,11,2,0.18181818181818182
3,11,7,1,0.14285714285714285
3,15,1,0,0.0
3,12,3,0,0.0
3,14,1,0,0.0
3,16,1,0,0.0
3,13,1,0,0.0
4,2,4015,3224,0.8029887920298879
4,3,2744,1630,0.5940233236151603
4,4,1595,773,0.4846394984326019
4,5,808,314,0.3886138613861386
4,6,347,113,0.3256484149855908
4,9,29,5,0.1724137931034483
4,7,154,35,0.22727272727272727
4,8,77,13,0.16883116883116883
4,10,11,2,0.18181818181818182
4,11,7,1,0.14285714285714285
4,15,1,0,0.0
4,12,3,0,0.0
4,14,1,0,0.0
4,16,1,0,0.0
4,13,1,0,0.0
5,2,4015,3224,0.8029887920298879
5,3,2744,1632,0.5947521865889213
5,4,1595,775,0.48589341692789967
5,5,808,315,0.38985148514851486
5,6,347,109,0.31412103746397696
5,9,29,5,0.1724137931034483
5,7,154,32,0.2077922077922078
5,8,77,13,0.16883116883116883
5,10,11,2,0.18181818181818182
5,11,7,1,0.14285714285714285
5,15,1,0,0.0
5,12,3,0,0.0
5,14,1,0,0.0
5,16,1,0,0.0
5,13,1,0,0.0
6,2,4015,3224,0.8029887920298879
6,3,2744,1631,0.5943877551020408
6,4,1595,773,0.4846394984326019
6,5,808,316,0.3910891089108911
6,6,347,109,0.31412103746397696
6,9,29,5,0.1724137931034483
6,7,154,33,0.21428571428571427
6,8,77,13,0.16883116883116883
6,10,11,2,0.18181818181818182
6,11,7,1,0.14285714285714285
6,15,1,0,0.0
6,12,3,0,0.0
6,14,1,0,0.0
6,16,1,0,0.0
6,13,1,0,0.0
7,2,4015,3224,0.8029887920298879
7,3,2744,1631,0.5943877551020408
7,4,1595,771,0.4833855799373041
7,5,808,314,0.3886138613861386
7,6,347,112,0.3227665706051873
7,9,29,5,0.1724137931034483
7,7,154,34,0.22077922077922077
7,8,77,14,0.18181818181818182
7,10,11,2,0.18181818181818182
7,11,7,1,0.14285714285714285
7,15,1,0,0.0
7,12,3,0,0.0
7,14,1,0,0.0
7,16,1,0,0.0
7,13,1,0,0.0
8,2,4015,3224,0.8029887920298879
8,3,2744,1630,0.5940233236151603
8,4,1595,773,0.4846394984326019
8,5,808,317,0.39232673267326734
8,6,347,108,0.3112391930835735
8,9,29,5,0.1724137931034483
8,7,154,32,0.2077922077922078
8,8,77,13,0.16883116883116883
8,10,11,2,0.18181818181818182
8,11,7,1,0.14285714285714285
8,15,1,0,0.0
8,12,3,0,0.0
8,14,1,0,0.0
8,16,1,0,0.0
8,13,1,0,0.0
9,2,4015,3224,0.8029887920298879
9,3,2744,1630,0.5940233236151603
9,4,1595,773,0.4846394984326019
9,5,808,318,0.3935643564356436
9,6,347,110,0.3170028818443804
9,9,29,5,0.1724137931034483
9,7,154,33,0.21428571428571427
9,8,77,13,0.16883116883116883
9,10,11,2,0.18181818181818182
9,11,7,1,0.14285714285714285
9,15,1,0,0.0
9,12,3,0,0.0
9,14,1,0,0.0
9,16,1,0,0.0
9,13,1,0,0.0
10,2,4015,3224,0.8029887920298879
10,3,2744,1630,0.5940233236151603
10,4,1595,768,0.48150470219435737
10,5,808,315,0.38985148514851486
10,6,347,108,0.3112391930835735
10,9,29,5,0.1724137931034483
10,7,154,32,0.2077922077922078
10,8,77,13,0.16883116883116883
10,10,11,2,0.18181818181818182
10,11,7,1,0.14285714285714285
10,15,1,0,0.0
10,12,3,0,0.0
10,14,1,0,0.0
10,16,1,0,0.0
10,13,1,0,0.0
