iter,utterance_length,nb_utterances,produced,production_score
1,2,6876,5886,0.856020942408377
1,3,6029,4751,0.7880245480179134
1,5,2990,1880,0.6287625418060201
1,4,4280,3013,0.7039719626168224
1,6,1761,918,0.5212947189097104
1,11,99,28,0.2828282828282828
1,7,966,413,0.427536231884058
1,8,463,162,0.34989200863930886
1,9,262,91,0.3473282442748092
1,13,46,8,0.17391304347826086
1,10,172,51,0.29651162790697677
1,12,55,11,0.2
1,14,21,4,0.19047619047619047
1,22,5,0,0.0
1,15,18,3,0.16666666666666666
1,16,9,2,0.2222222222222222
1,17,9,2,0.2222222222222222
1,24,3,0,0.0
1,20,4,1,0.25
1,18,5,0,0.0
1,28,1,0,0.0
1,21,4,0,0.0
1,19,6,0,0.0
1,25,1,0,0.0
2,2,6876,5886,0.856020942408377
2,3,6029,4751,0.7880245480179134
2,5,2990,1879,0.6284280936454849
2,4,4280,3008,0.702803738317757
2,6,1761,927,0.5264054514480409
2,11,99,29,0.29292929292929293
2,7,966,418,0.432712215320911
2,8,463,163,0.35205183585313177
2,9,262,88,0.33587786259541985
2,13,46,8,0.17391304347826086
2,10,172,50,0.29069767441860467
2,12,55,11,0.2
2,14,21,4,0.19047619047619047
2,22,5,0,0.0
2,15,18,3,0.16666666666666666
2,16,9,2,0.2222222222222222
2,17,9,2,0.2222222222222222
2,24,3,0,0.0
2,20,4,1,0.25
2,18,5,0,0.0
2,28,1,0,0.0
2,21,4,0,0.0
2,19,6,0,0.0
2,25,1,0,0.0
3,2,6876,5886,0.856020942408377
3,3,6029,4751,0.7880245480179134
3,5,2990,1885,0.6304347826086957
3,4,4280,3007,0.702570093457944
3,6,1761,915,0.5195911413969335
3,11,99,29,0.29292929292929293
3,7,966,411,0.4254658385093168
3,8,463,164,0.3542116630669546
3,9,262,91,0.3473282442748092
3,13,46,8,0.17391304347826086
3,10,172,50,0.29069767441860467
3,12,55,11,0.2
3,14,21,4,0.19047619047619047
3,22,5,0,0.0
3,15,18,3,0.16666666666666666
3,16,9,2,0.2222222222222222
3,17,9,2,0.2222222222222222
3,24,3,0,0.0
3,20,4,1,0.25
