iter,utterance_length,nb_utterances,produced,production_score
1,2,4413,3966,0.8987083616587356
1,3,2047,1723,0.8417195896433806
1,4,705,505,0.7163120567375887
1,6,35,18,0.5142857142857142
1,5,153,101,0.6601307189542484
1,7,16,8,0.5
1,8,3,2,0.6666666666666666
1,9,1,0,0.0
2,2,4413,3966,0.8987083616587356
2,3,2047,1723,0.8417195896433806
2,4,705,503,0.7134751773049646
2,6,35,18,0.5142857142857142
2,5,153,100,0.6535947712418301
2,7,16,8,0.5
2,8,3,2,0.6666666666666666
2,9,1,0,0.0
3,2,4413,3966,0.8987083616587356
3,3,2047,1723,0.8417195896433806
3,4,705,502,0.7120567375886525
3,6,35,18,0.5142857142857142
3,5,153,99,0.6470588235294118
3,7,16,9,0.5625
3,8,3,2,0.6666666666666666
3,9,1,0,0.0
4,2,4413,3966,0.8987083616587356
4,3,2047,1724,0.8422081094284318
4,4,705,502,0.7120567375886525
4,6,35,18,0.5142857142857142
4,5,153,100,0.6535947712418301
4,7,16,8,0.5
4,8,3,2,0.6666666666666666
4,9,1,0,0.0
5,2,4413,3966,0.8987083616587356
5,3,2047,1722,0.8412310698583293
5,4,705,502,0.7120567375886525
5,6,35,18,0.5142857142857142
5,5,153,100,0.6535947712418301
5,7,16,8,0.5
5,8,3,2,0.6666666666666666
5,9,1,0,0.0
6,2,4413,3966,0.8987083616587356
6,3,2047,1721,0.8407425500732779
6,4,705,504,0.7148936170212766
6,6,35,18,0.5142857142857142
6,5,153,100,0.6535947712418301
6,7,16,8,0.5
6,8,3,2,0.6666666666666666
6,9,1,0,0.0
7,2,4413,3966,0.8987083616587356
7,3,2047,1721,0.8407425500732779
7,4,705,501,0.7106382978723405
7,6,35,18,0.5142857142857142
7,5,153,99,0.6470588235294118
7,7,16,8,0.5
7,8,3,2,0.6666666666666666
7,9,1,0,0.0
8,2,4413,3966,0.8987083616587356
8,3,2047,1721,0.8407425500732779
8,4,705,502,0.7120567375886525
8,6,35,18,0.5142857142857142
8,5,153,99,0.6470588235294118
8,7,16,8,0.5
8,8,3,2,0.6666666666666666
8,9,1,0,0.0
9,2,4413,3966,0.8987083616587356
9,3,2047,1722,0.8412310698583293
9,4,705,505,0.7163120567375887
9,6,35,18,0.5142857142857142
9,5,153,99,0.6470588235294118
9,7,16,8,0.5
9,8,3,2,0.6666666666666666
9,9,1,0,0.0
10,2,4413,3966,0.8987083616587356
10,3,2047,1722,0.8412310698583293
10,4,705,501,0.7106382978723405
10,6,35,18,0.5142857142857142
10,5,153,100,0.6535947712418301
10,7,16,8,0.5
10,8,3,2,0.6666666666666666
10,9,1,0,0.0
