iter,utterance_length,nb_utterances,produced,production_score
1,4,19158,12240,0.6388975884747886
1,2,45994,41199,0.8957472713832239
1,3,32045,24227,0.7560305819940708
1,5,11426,6378,0.5582005951339051
1,8,2353,802,0.3408414789630259
1,11,546,59,0.10805860805860806
1,6,6976,3354,0.48079128440366975
1,7,4159,1687,0.405626352488579
1,9,1518,386,0.25428194993412384
1,12,369,29,0.07859078590785908
1,17,37,5,0.13513513513513514
1,15,103,5,0.04854368932038835
1,13,244,22,0.09016393442622951
1,10,904,203,0.2245575221238938
1,19,19,0,0.0
1,14,153,17,0.1111111111111111
1,18,37,1,0.02702702702702703
1,16,59,3,0.05084745762711865
1,20,27,0,0.0
1,27,3,0,0.0
1,22,8,0,0.0
1,23,9,0,0.0
1,29,2,0,0.0
1,25,7,0,0.0
1,21,22,1,0.045454545454545456
1,24,8,0,0.0
1,28,5,1,0.2
1,26,5,0,0.0
1,40,1,0,0.0
1,38,1,0,0.0
1,35,1,0,0.0
1,33,1,0,0.0
1,37,1,0,0.0
2,4,19158,12260,0.639941538782754
2,2,45994,41199,0.8957472713832239
2,3,32045,24226,0.7559993758776721
2,5,11426,6386,0.5589007526693506
2,8,2353,809,0.34381640458988527
2,11,546,62,0.11355311355311355
2,6,6976,3337,0.47835435779816515
2,7,4159,1692,0.4068285645587882
2,9,1518,389,0.25625823451910407
2,12,369,30,0.08130081300813008
2,17,37,5,0.13513513513513514
2,15,103,5,0.04854368932038835
2,13,244,22,0.09016393442622951
2,10,904,200,0.22123893805309736
2,19,19,0,0.0
2,14,153,18,0.11764705882352941
2,18,37,1,0.02702702702702703
2,16,59,3,0.05084745762711865
2,20,27,0,0.0
2,27,3,0,0.0
2,22,8,1,0.125
2,23,9,0,0.0
2,29,2,0,0.0
2,25,7,0,0.0
2,21,22,1,0.045454545454545456
2,24,8,0,0.0
2,28,5,1,0.2
2,26,5,0,0.0
2,40,1,0,0.0
2,38,1,0,0.0
2,35,1,0,0.0
2,33,1,0,0.0
2,37,1,0,0.0
3,4,19158,12241,0.6389497859901868
3,2,45994,41199,0.8957472713832239
3,3,32045,24225,0.7559681697612732
3,5,11426,6373,0.5577629966742517
3,8,2353,808,0.34339141521461963
3,11,546,60,0.10989010989010989
3,6,6976,3346,0.47964449541284404
3,7,4159,1692,0.4068285645587882
3,9,1518,391,0.25757575757575757
3,12,369,29,0.07859078590785908
3,17,37,5,0.13513513513513514
3,15,103,5,0.04854368932038835
3,13,244,22,0.09016393442622951
3,10,904,200,0.22123893805309736
3,19,19,0,0.0
3,14,153,17,0.1111111111111111
3,18,37,1,0.02702702702702703
3,16,59,3,0.05084745762711865
3,20,27,0,0.0
3,27,3,0,0.0
3,22,8,1,0.125
3,23,9,0,0.0
3,29,2,0,0.0
3,25,7,0,0.0
3,21,22,1,0.045454545454545456
3,24,8,0,0.0
3,28,5,1,0.2
3,26,5,0,0.0
3,40,1,0,0.0
3,38,1,0,0.0
3,35,1,0,0.0
3,33,1,0,0.0
3,37,1,0,0.0
4,4,19158,12242,0.6390019835055851
4,2,45994,41199,0.8957472713832239
4,3,32045,24224,0.7559369636448744
4,5,11426,6366,0.5571503588307369
4,8,2353,805,0.3421164470888228
4,11,546,61,0.11172161172161173
4,6,6976,3351,0.4803612385321101
4,7,4159,1683,0.40466458283241163
4,9,1518,388,0.25559947299077734
4,12,369,29,0.07859078590785908
4,17,37,5,0.13513513513513514
4,15,103,5,0.04854368932038835
4,13,244,22,0.09016393442622951
4,10,904,199,0.22013274336283187
4,19,19,0,0.0
4,14,153,18,0.11764705882352941
4,18,37,1,0.02702702702702703
4,16,59,3,0.05084745762711865
4,20,27,0,0.0
4,27,3,0,0.0
4,22,8,1,0.125
4,23,9,0,0.0
