iter,utterance_length,nb_utterances,produced,production_score
1,3,561,480,0.8556149732620321
1,2,804,760,0.945273631840796
1,4,320,248,0.775
1,9,17,6,0.35294117647058826
1,5,169,118,0.6982248520710059
1,6,91,58,0.6373626373626373
1,7,40,19,0.475
1,8,24,13,0.5416666666666666
1,10,4,1,0.25
1,11,1,0,0.0
2,3,561,480,0.8556149732620321
2,2,804,760,0.945273631840796
2,4,320,246,0.76875
2,9,17,6,0.35294117647058826
2,5,169,118,0.6982248520710059
2,6,91,59,0.6483516483516484
2,7,40,19,0.475
2,8,24,13,0.5416666666666666
2,10,4,1,0.25
2,11,1,0,0.0
3,3,561,480,0.8556149732620321
3,2,804,760,0.945273631840796
3,4,320,245,0.765625
3,9,17,6,0.35294117647058826
3,5,169,119,0.7041420118343196
3,6,91,58,0.6373626373626373
3,7,40,19,0.475
3,8,24,13,0.5416666666666666
3,10,4,1,0.25
3,11,1,0,0.0
4,3,561,480,0.8556149732620321
4,2,804,760,0.945273631840796
4,4,320,250,0.78125
4,9,17,6,0.35294117647058826
4,5,169,118,0.6982248520710059
4,6,91,58,0.6373626373626373
4,7,40,21,0.525
4,8,24,13,0.5416666666666666
4,10,4,1,0.25
4,11,1,0,0.0
5,3,561,480,0.8556149732620321
5,2,804,760,0.945273631840796
5,4,320,248,0.775
5,9,17,6,0.35294117647058826
5,5,169,119,0.7041420118343196
5,6,91,59,0.6483516483516484
5,7,40,19,0.475
5,8,24,13,0.5416666666666666
5,10,4,1,0.25
5,11,1,0,0.0
6,3,561,480,0.8556149732620321
6,2,804,760,0.945273631840796
6,4,320,247,0.771875
6,9,17,6,0.35294117647058826
6,5,169,120,0.7100591715976331
6,6,91,58,0.6373626373626373
6,7,40,19,0.475
6,8,24,13,0.5416666666666666
6,10,4,1,0.25
6,11,1,0,0.0
7,3,561,480,0.8556149732620321
7,2,804,760,0.945273631840796
7,4,320,247,0.771875
7,9,17,6,0.35294117647058826
7,5,169,117,0.6923076923076923
7,6,91,58,0.6373626373626373
7,7,40,19,0.475
7,8,24,13,0.5416666666666666
7,10,4,1,0.25
7,11,1,0,0.0
8,3,561,480,0.8556149732620321
8,2,804,760,0.945273631840796
8,4,320,249,0.778125
8,9,17,6,0.35294117647058826
8,5,169,118,0.6982248520710059
8,6,91,58,0.6373626373626373
8,7,40,19,0.475
8,8,24,13,0.5416666666666666
8,10,4,1,0.25
8,11,1,0,0.0
9,3,561,480,0.8556149732620321
9,2,804,760,0.945273631840796
9,4,320,246,0.76875
9,9,17,6,0.35294117647058826
9,5,169,118,0.6982248520710059
9,6,91,58,0.6373626373626373
9,7,40,20,0.5
9,8,24,13,0.5416666666666666
9,10,4,1,0.25
9,11,1,0,0.0
10,3,561,480,0.8556149732620321
10,2,804,760,0.945273631840796
10,4,320,248,0.775
10,9,17,6,0.35294117647058826
10,5,169,119,0.7041420118343196
10,6,91,58,0.6373626373626373
10,7,40,19,0.475
10,8,24,13,0.5416666666666666
10,10,4,1,0.25
10,11,1,0,0.0
