iter,utterance_length,nb_utterances,produced,production_score
1,3,930,830,0.8924731182795699
1,5,577,388,0.6724436741767764
1,4,745,592,0.7946308724832215
1,2,913,812,0.8893756845564075
1,6,426,256,0.6009389671361502
1,8,190,76,0.4
1,10,65,29,0.4461538461538462
1,7,285,148,0.519298245614035
1,12,44,10,0.22727272727272727
1,18,4,0,0.0
1,14,27,5,0.18518518518518517
1,15,15,3,0.2
1,9,129,45,0.3488372093023256
1,11,63,13,0.20634920634920634
1,16,6,1,0.16666666666666666
1,13,26,5,0.19230769230769232
1,17,11,1,0.09090909090909091
1,22,3,0,0.0
1,24,1,0,0.0
1,27,1,0,0.0
1,30,3,0,0.0
1,28,3,0,0.0
1,21,2,0,0.0
1,19,3,1,0.3333333333333333
1,20,2,0,0.0
1,23,3,0,0.0
1,25,1,0,0.0
1,38,1,0,0.0
2,3,930,830,0.8924731182795699
2,5,577,392,0.6793760831889082
2,4,745,586,0.7865771812080536
2,2,913,812,0.8893756845564075
2,6,426,253,0.5938967136150235
2,8,190,75,0.39473684210526316
2,10,65,28,0.4307692307692308
2,7,285,146,0.512280701754386
2,12,44,11,0.25
2,18,4,0,0.0
2,14,27,5,0.18518518518518517
2,15,15,3,0.2
2,9,129,42,0.32558139534883723
2,11,63,14,0.2222222222222222
2,16,6,1,0.16666666666666666
2,13,26,4,0.15384615384615385
2,17,11,1,0.09090909090909091
2,22,3,0,0.0
2,24,1,0,0.0
2,27,1,0,0.0
2,30,3,0,0.0
2,28,3,0,0.0
2,21,2,0,0.0
2,19,3,1,0.3333333333333333
2,20,2,0,0.0
2,23,3,0,0.0
2,25,1,0,0.0
2,38,1,0,0.0
3,3,930,831,0.8935483870967742
3,5,577,395,0.6845753899480069
3,4,745,593,0.7959731543624161
3,2,913,812,0.8893756845564075
3,6,426,255,0.5985915492957746
3,8,190,73,0.38421052631578945
3,10,65,26,0.4
3,7,285,145,0.5087719298245614
3,12,44,11,0.25
3,18,4,0,0.0
3,14,27,5,0.18518518518518517
3,15,15,3,0.2
3,9,129,43,0.3333333333333333
3,11,63,13,0.20634920634920634
3,16,6,1,0.16666666666666666
3,13,26,5,0.19230769230769232
3,17,11,1,0.09090909090909091
3,22,3,0,0.0
3,24,1,0,0.0
3,27,1,0,0.0
3,30,3,0,0.0
3,28,3,0,0.0
3,21,2,0,0.0
3,19,3,1,0.3333333333333333
3,20,2,0,0.0
3,23,3,0,0.0
3,25,1,0,0.0
3,38,1,0,0.0
4,3,930,830,0.8924731182795699
4,5,577,394,0.682842287694974
4,4,745,590,0.7919463087248322
4,2,913,812,0.8893756845564075
4,6,426,249,0.5845070422535211
4,8,190,79,0.41578947368421054
4,10,65,29,0.4461538461538462
4,7,285,148,0.519298245614035
4,12,44,10,0.22727272727272727
4,18,4,0,0.0
4,14,27,5,0.18518518518518517
4,15,15,3,0.2
4,9,129,42,0.32558139534883723
4,11,63,15,0.23809523809523808
4,16,6,1,0.16666666666666666
4,13,26,4,0.15384615384615385
4,17,11,1,0.09090909090909091
4,22,3,0,0.0
4,24,1,0,0.0
4,27,1,0,0.0
4,30,3,0,0.0
4,28,3,0,0.0
4,21,2,0,0.0
4,19,3,1,0.3333333333333333
4,20,2,0,0.0
4,23,3,0,0.0
4,25,1,0,0.0
4,38,1,0,0.0
5,3,930,831,0.8935483870967742
