iter,utterance_length,nb_utterances,produced,production_score
1,2,1947,1609,0.8263995891114535
1,4,1410,932,0.6609929078014184
1,3,1734,1280,0.7381776239907728
1,5,984,550,0.5589430894308943
1,6,587,260,0.44293015332197616
1,9,127,36,0.28346456692913385
1,7,313,124,0.3961661341853035
1,8,180,49,0.2722222222222222
1,10,67,9,0.13432835820895522
1,11,34,6,0.17647058823529413
1,13,21,3,0.14285714285714285
1,17,5,0,0.0
1,20,4,0,0.0
1,14,11,0,0.0
1,19,2,0,0.0
1,12,29,3,0.10344827586206896
1,16,4,1,0.25
1,15,5,1,0.2
1,21,1,0,0.0
2,2,1947,1608,0.8258859784283513
2,4,1410,932,0.6609929078014184
2,3,1734,1279,0.73760092272203
2,5,984,548,0.556910569105691
2,6,587,258,0.4395229982964225
2,9,127,36,0.28346456692913385
2,7,313,123,0.3929712460063898
2,8,180,50,0.2777777777777778
2,10,67,10,0.14925373134328357
2,11,34,6,0.17647058823529413
2,13,21,3,0.14285714285714285
2,17,5,0,0.0
2,20,4,0,0.0
2,14,11,0,0.0
2,19,2,0,0.0
2,12,29,4,0.13793103448275862
2,16,4,1,0.25
2,15,5,1,0.2
2,21,1,0,0.0
3,2,1947,1609,0.8263995891114535
3,4,1410,929,0.6588652482269504
3,3,1734,1278,0.7370242214532872
3,5,984,549,0.5579268292682927
3,6,587,259,0.44122657580919933
3,9,127,37,0.29133858267716534
3,7,313,124,0.3961661341853035
3,8,180,50,0.2777777777777778
3,10,67,10,0.14925373134328357
3,11,34,6,0.17647058823529413
3,13,21,3,0.14285714285714285
3,17,5,0,0.0
3,20,4,0,0.0
3,14,11,0,0.0
3,19,2,0,0.0
3,12,29,4,0.13793103448275862
3,16,4,1,0.25
3,15,5,1,0.2
3,21,1,0,0.0
4,2,1947,1609,0.8263995891114535
4,4,1410,929,0.6588652482269504
4,3,1734,1278,0.7370242214532872
4,5,984,550,0.5589430894308943
4,6,587,259,0.44122657580919933
4,9,127,36,0.28346456692913385
4,7,313,123,0.3929712460063898
4,8,180,50,0.2777777777777778
4,10,67,9,0.13432835820895522
4,11,34,6,0.17647058823529413
4,13,21,3,0.14285714285714285
4,17,5,0,0.0
4,20,4,0,0.0
4,14,11,0,0.0
4,19,2,0,0.0
4,12,29,3,0.10344827586206896
4,16,4,1,0.25
4,15,5,1,0.2
4,21,1,0,0.0
5,2,1947,1609,0.8263995891114535
5,4,1410,930,0.6595744680851063
5,3,1734,1279,0.73760092272203
5,5,984,551,0.5599593495934959
5,6,587,260,0.44293015332197616
5,9,127,37,0.29133858267716534
5,7,313,124,0.3961661341853035
5,8,180,48,0.26666666666666666
5,10,67,11,0.16417910447761194
5,11,34,6,0.17647058823529413
5,13,21,3,0.14285714285714285
5,17,5,0,0.0
5,20,4,0,0.0
5,14,11,0,0.0
5,19,2,0,0.0
5,12,29,4,0.13793103448275862
5,16,4,1,0.25
5,15,5,1,0.2
5,21,1,0,0.0
6,2,1947,1608,0.8258859784283513
6,4,1410,932,0.6609929078014184
6,3,1734,1279,0.73760092272203
6,5,984,547,0.5558943089430894
6,6,587,260,0.44293015332197616
6,9,127,37,0.29133858267716534
6,7,313,126,0.402555910543131
6,8,180,48,0.26666666666666666
6,10,67,10,0.14925373134328357
6,11,34,6,0.17647058823529413
6,13,21,3,0.14285714285714285
6,17,5,0,0.0
6,20,4,0,0.0
6,14,11,0,0.0
6,19,2,0,0.0
6,12,29,3,0.10344827586206896
6,16,4,1,0.25
6,15,5,1,0.2
6,21,1,0,0.0
7,2,1947,1608,0.8258859784283513
7,4,1410,928,0.6581560283687943
7,3,1734,1280,0.7381776239907728
7,5,984,541,0.5497967479674797
7,6,587,259,0.44122657580919933
7,9,127,37,0.29133858267716534
7,7,313,124,0.3961661341853035
7,8,180,48,0.26666666666666666
7,10,67,10,0.14925373134328357
7,11,34,6,0.17647058823529413
7,13,21,3,0.14285714285714285
7,17,5,0,0.0
7,20,4,0,0.0
7,14,11,0,0.0
7,19,2,0,0.0
7,12,29,3,0.10344827586206896
7,16,4,1,0.25
7,15,5,1,0.2
7,21,1,0,0.0
8,2,1947,1608,0.8258859784283513
8,4,1410,929,0.6588652482269504
8,3,1734,1278,0.7370242214532872
8,5,984,552,0.5609756097560976
8,6,587,260,0.44293015332197616
8,9,127,36,0.28346456692913385
8,7,313,125,0.3993610223642173
8,8,180,51,0.2833333333333333
8,10,67,10,0.14925373134328357
8,11,34,6,0.17647058823529413
8,13,21,3,0.14285714285714285
8,17,5,0,0.0
8,20,4,0,0.0
8,14,11,0,0.0
8,19,2,0,0.0
8,12,29,3,0.10344827586206896
8,16,4,1,0.25
8,15,5,1,0.2
8,21,1,0,0.0
9,2,1947,1609,0.8263995891114535
9,4,1410,928,0.6581560283687943
9,3,1734,1278,0.7370242214532872
9,5,984,551,0.5599593495934959
9,6,587,259,0.44122657580919933
9,9,127,36,0.28346456692913385
9,7,313,126,0.402555910543131
9,8,180,48,0.26666666666666666
9,10,67,9,0.13432835820895522
9,11,34,6,0.17647058823529413
9,13,21,3,0.14285714285714285
9,17,5,0,0.0
9,20,4,0,0.0
9,14,11,0,0.0
9,19,2,0,0.0
9,12,29,4,0.13793103448275862
9,16,4,1,0.25
9,15,5,1,0.2
9,21,1,0,0.0
10,2,1947,1609,0.8263995891114535
10,4,1410,931,0.6602836879432624
10,3,1734,1279,0.73760092272203
10,5,984,550,0.5589430894308943
10,6,587,260,0.44293015332197616
10,9,127,37,0.29133858267716534
10,7,313,125,0.3993610223642173
10,8,180,48,0.26666666666666666
10,10,67,10,0.14925373134328357
10,11,34,6,0.17647058823529413
10,13,21,3,0.14285714285714285
10,17,5,0,0.0
10,20,4,0,0.0
10,14,11,0,0.0
10,19,2,0,0.0
10,12,29,3,0.10344827586206896
10,16,4,1,0.25
10,15,5,1,0.2
10,21,1,0,0.0
