iter,utterance_length,nb_utterances,produced,production_score
1,4,2577,1838,0.713232440822662
1,2,3598,3195,0.8879933296275708
1,3,3707,2969,0.8009171837065012
1,5,1381,822,0.5952208544532948
1,7,310,126,0.4064516129032258
1,6,621,308,0.49597423510466987
1,8,124,45,0.3629032258064516
1,9,67,21,0.31343283582089554
1,10,33,6,0.18181818181818182
1,12,7,2,0.2857142857142857
1,11,16,3,0.1875
1,13,6,1,0.16666666666666666
1,14,4,1,0.25
1,18,1,0,0.0
1,17,1,0,0.0
1,25,1,0,0.0
1,15,1,0,0.0
2,4,2577,1827,0.7089639115250291
2,2,3598,3195,0.8879933296275708
2,3,3707,2970,0.8011869436201781
2,5,1381,822,0.5952208544532948
2,7,310,127,0.4096774193548387
2,6,621,308,0.49597423510466987
2,8,124,47,0.3790322580645161
2,9,67,21,0.31343283582089554
2,10,33,5,0.15151515151515152
2,12,7,1,0.14285714285714285
2,11,16,3,0.1875
2,13,6,1,0.16666666666666666
2,14,4,1,0.25
2,18,1,0,0.0
2,17,1,0,0.0
2,25,1,0,0.0
2,15,1,0,0.0
3,4,2577,1825,0.7081878152890958
3,2,3598,3195,0.8879933296275708
3,3,3707,2967,0.8003776638791475
3,5,1381,822,0.5952208544532948
3,7,310,125,0.4032258064516129
3,6,621,317,0.5104669887278583
3,8,124,46,0.3709677419354839
3,9,67,20,0.29850746268656714
3,10,33,7,0.21212121212121213
3,12,7,1,0.14285714285714285
3,11,16,3,0.1875
3,13,6,1,0.16666666666666666
3,14,4,1,0.25
3,18,1,0,0.0
3,17,1,0,0.0
3,25,1,0,0.0
3,15,1,0,0.0
4,4,2577,1834,0.7116802483507955
4,2,3598,3195,0.8879933296275708
4,3,3707,2968,0.8006474237928244
4,5,1381,817,0.5916002896451846
4,7,310,128,0.4129032258064516
4,6,621,322,0.5185185185185185
4,8,124,46,0.3709677419354839
4,9,67,20,0.29850746268656714
4,10,33,6,0.18181818181818182
4,12,7,1,0.14285714285714285
4,11,16,3,0.1875
4,13,6,1,0.16666666666666666
4,14,4,1,0.25
4,18,1,0,0.0
4,17,1,0,0.0
4,25,1,0,0.0
4,15,1,0,0.0
5,4,2577,1824,0.7077997671711292
5,2,3598,3195,0.8879933296275708
5,3,3707,2969,0.8009171837065012
5,5,1381,818,0.5923244026068066
5,7,310,125,0.4032258064516129
5,6,621,321,0.5169082125603864
5,8,124,46,0.3709677419354839
5,9,67,21,0.31343283582089554
5,10,33,6,0.18181818181818182
5,12,7,1,0.14285714285714285
5,11,16,3,0.1875
5,13,6,1,0.16666666666666666
5,14,4,1,0.25
5,18,1,0,0.0
5,17,1,0,0.0
5,25,1,0,0.0
5,15,1,0,0.0
6,4,2577,1827,0.7089639115250291
6,2,3598,3195,0.8879933296275708
6,3,3707,2970,0.8011869436201781
6,5,1381,824,0.5966690803765388
6,7,310,129,0.4161290322580645
6,6,621,318,0.5120772946859904
6,8,124,47,0.3790322580645161
6,9,67,20,0.29850746268656714
6,10,33,6,0.18181818181818182
6,12,7,1,0.14285714285714285
6,11,16,3,0.1875
6,13,6,1,0.16666666666666666
6,14,4,1,0.25
6,18,1,0,0.0
6,17,1,0,0.0
6,25,1,0,0.0
6,15,1,0,0.0
7,4,2577,1829,0.7097400077609624
7,2,3598,3195,0.8879933296275708
7,3,3707,2970,0.8011869436201781
7,5,1381,819,0.5930485155684286
7,7,310,124,0.4
7,6,621,317,0.5104669887278583
7,8,124,46,0.3709677419354839
7,9,67,20,0.29850746268656714
7,10,33,6,0.18181818181818182
7,12,7,1,0.14285714285714285
7,11,16,3,0.1875
7,13,6,1,0.16666666666666666
7,14,4,1,0.25
7,18,1,0,0.0
7,17,1,0,0.0
7,25,1,0,0.0
7,15,1,0,0.0
8,4,2577,1825,0.7081878152890958
8,2,3598,3195,0.8879933296275708
8,3,3707,2968,0.8006474237928244
8,5,1381,819,0.5930485155684286
8,7,310,127,0.4096774193548387
8,6,621,315,0.5072463768115942
8,8,124,45,0.3629032258064516
8,9,67,19,0.2835820895522388
8,10,33,6,0.18181818181818182
8,12,7,2,0.2857142857142857
8,11,16,3,0.1875
8,13,6,1,0.16666666666666666
8,14,4,2,0.5
8,18,1,0,0.0
8,17,1,0,0.0
8,25,1,0,0.0
8,15,1,0,0.0
9,4,2577,1839,0.7136204889406287
9,2,3598,3195,0.8879933296275708
9,3,3707,2970,0.8011869436201781
9,5,1381,819,0.5930485155684286
9,7,310,127,0.4096774193548387
9,6,621,318,0.5120772946859904
9,8,124,45,0.3629032258064516
9,9,67,21,0.31343283582089554
9,10,33,6,0.18181818181818182
9,12,7,1,0.14285714285714285
9,11,16,3,0.1875
9,13,6,1,0.16666666666666666
9,14,4,1,0.25
9,18,1,0,0.0
9,17,1,0,0.0
9,25,1,0,0.0
9,15,1,0,0.0
10,4,2577,1829,0.7097400077609624
10,2,3598,3195,0.8879933296275708
10,3,3707,2966,0.8001079039654707
10,5,1381,818,0.5923244026068066
10,7,310,128,0.4129032258064516
10,6,621,308,0.49597423510466987
10,8,124,46,0.3709677419354839
10,9,67,19,0.2835820895522388
10,10,33,7,0.21212121212121213
10,12,7,1,0.14285714285714285
10,11,16,3,0.1875
10,13,6,1,0.16666666666666666
10,14,4,2,0.5
10,18,1,0,0.0
10,17,1,0,0.0
10,25,1,0,0.0
10,15,1,0,0.0
