iter,utterance_length,nb_utterances,produced,production_score
1,2,76,73,0.9605263157894737
1,3,21,18,0.8571428571428571
1,4,8,7,0.875
1,5,4,3,0.75
1,6,1,0,0.0
2,2,76,74,0.9736842105263158
2,3,21,18,0.8571428571428571
2,4,8,7,0.875
2,5,4,3,0.75
2,6,1,0,0.0
3,2,76,73,0.9605263157894737
3,3,21,18,0.8571428571428571
3,4,8,7,0.875
3,5,4,3,0.75
3,6,1,0,0.0
4,2,76,73,0.9605263157894737
4,3,21,18,0.8571428571428571
4,4,8,7,0.875
4,5,4,3,0.75
4,6,1,0,0.0
5,2,76,73,0.9605263157894737
5,3,21,18,0.8571428571428571
5,4,8,7,0.875
5,5,4,3,0.75
5,6,1,0,0.0
6,2,76,73,0.9605263157894737
6,3,21,18,0.8571428571428571
6,4,8,7,0.875
6,5,4,3,0.75
6,6,1,0,0.0
7,2,76,72,0.9473684210526315
7,3,21,18,0.8571428571428571
7,4,8,7,0.875
7,5,4,3,0.75
7,6,1,0,0.0
8,2,76,73,0.9605263157894737
8,3,21,18,0.8571428571428571
8,4,8,7,0.875
8,5,4,3,0.75
8,6,1,0,0.0
9,2,76,72,0.9473684210526315
9,3,21,18,0.8571428571428571
9,4,8,7,0.875
9,5,4,3,0.75
9,6,1,0,0.0
10,2,76,74,0.9736842105263158
10,3,21,18,0.8571428571428571
10,4,8,7,0.875
10,5,4,3,0.75
10,6,1,0,0.0
