iter,utterance_length,nb_utterances,produced,production_score
1,2,1012,862,0.8517786561264822
1,3,1659,1233,0.7432188065099458
1,4,2011,1166,0.5798110392839383
1,5,1891,814,0.43046007403490216
1,7,1043,208,0.19942473633748803
1,8,758,91,0.12005277044854881
1,6,1522,440,0.2890932982917214
1,9,492,33,0.06707317073170732
1,11,212,6,0.02830188679245283
1,12,129,4,0.031007751937984496
1,14,43,0,0.0
1,10,312,14,0.04487179487179487
1,13,104,1,0.009615384615384616
1,16,30,0,0.0
1,17,23,0,0.0
1,15,50,0,0.0
1,19,6,0,0.0
1,26,1,0,0.0
1,20,5,0,0.0
1,21,4,0,0.0
1,18,17,0,0.0
1,25,1,0,0.0
1,22,1,0,0.0
1,23,3,0,0.0
1,27,1,0,0.0
1,28,1,0,0.0
2,2,1014,880,0.8678500986193294
2,4,1945,1137,0.5845758354755785
2,3,1672,1252,0.7488038277511961
2,5,1926,798,0.4143302180685358
2,8,727,74,0.10178817056396149
2,6,1520,426,0.2802631578947368
2,7,1095,210,0.1917808219178082
2,9,505,28,0.055445544554455446
2,11,206,6,0.02912621359223301
2,12,133,1,0.007518796992481203
2,13,98,1,0.01020408163265306
2,10,312,16,0.05128205128205128
2,15,41,0,0.0
2,16,30,0,0.0
2,14,54,2,0.037037037037037035
2,19,13,0,0.0
2,17,21,0,0.0
2,26,2,0,0.0
2,20,2,0,0.0
2,22,1,0,0.0
2,24,3,0,0.0
2,32,1,0,0.0
2,18,11,0,0.0
2,25,2,0,0.0
2,21,7,0,0.0
2,27,1,0,0.0
2,23,3,0,0.0
2,30,1,0,0.0
3,2,976,843,0.8637295081967213
3,4,1972,1149,0.5826572008113591
3,3,1678,1252,0.7461263408820024
3,5,1865,822,0.4407506702412869
3,9,487,27,0.055441478439425054
3,12,114,4,0.03508771929824561
3,7,1102,215,0.19509981851179672
3,6,1502,421,0.2802929427430093
3,8,729,78,0.10699588477366255
3,11,219,4,0.0182648401826484
3,10,312,11,0.035256410256410256
3,13,88,1,0.011363636363636364
3,16,37,0,0.0
3,17,16,0,0.0
3,18,14,0,0.0
3,14,43,1,0.023255813953488372
3,15,44,0,0.0
3,23,5,0,0.0
3,20,3,0,0.0
3,21,9,0,0.0
3,19,2,0,0.0
3,24,1,0,0.0
3,32,1,0,0.0
3,25,1,0,0.0
3,22,1,0,0.0
3,26,1,0,0.0
3,27,2,0,0.0
4,2,1027,878,0.8549172346640701
4,3,1616,1170,0.724009900990099
4,4,1960,1124,0.573469387755102
4,5,1876,844,0.44989339019189767
4,12,137,3,0.021897810218978103
4,7,1075,198,0.1841860465116279
4,6,1524,445,0.291994750656168
4,8,728,79,0.10851648351648352
4,11,194,4,0.020618556701030927
4,9,474,36,0.0759493670886076
4,16,33,0,0.0
4,13,100,0,0.0
4,10,307,7,0.02280130293159609
4,36,1,0,0.0
4,17,18,0,0.0
4,18,17,0,0.0
4,27,2,0,0.0
4,14,50,1,0.02
4,22,2,0,0.0
4,19,10,0,0.0
4,15,56,0,0.0
4,20,6,0,0.0
4,21,9,0,0.0
4,41,1,0,0.0
4,32,1,0,0.0
4,39,1,0,0.0
4,23,3,0,0.0
4,30,1,0,0.0
4,24,1,0,0.0
5,4,1974,1174,0.5947315096251267
5,2,1032,891,0.8633720930232558
5,3,1630,1194,0.7325153374233129
5,5,1928,819,0.42479253112033194
5,9,472,25,0.05296610169491525
5,7,1089,202,0.1854912764003673
5,6,1538,439,0.28543563068920674
5,8,693,75,0.10822510822510822
5,11,210,6,0.02857142857142857
5,13,100,0,0.0
5,12,140,4,0.02857142857142857
5,10,328,16,0.04878048780487805
5,15,49,0,0.0
5,16,30,0,0.0
5,36,1,0,0.0
5,17,20,0,0.0
5,14,53,1,0.018867924528301886
5,18,15,0,0.0
5,19,10,0,0.0
5,23,5,0,0.0
5,20,8,0,0.0
5,41,1,0,0.0
5,24,1,0,0.0
5,21,5,0,0.0
5,25,2,0,0.0
5,39,1,0,0.0
5,27,1,0,0.0
5,30,1,0,0.0
