iter,utterance_length,nb_utterances,produced,production_score
1,2,3720,3082,0.828494623655914
1,3,3664,2445,0.6673034934497817
1,6,1376,399,0.28997093023255816
1,7,775,143,0.18451612903225806
1,5,2003,749,0.37393909136295556
1,4,2920,1504,0.5150684931506849
1,8,437,58,0.13272311212814644
1,9,250,21,0.084
1,11,72,1,0.013888888888888888
1,12,56,2,0.03571428571428571
1,14,20,0,0.0
1,10,147,13,0.08843537414965986
1,13,31,2,0.06451612903225806
1,25,1,0,0.0
1,15,12,0,0.0
1,21,2,0,0.0
1,18,3,0,0.0
1,16,7,0,0.0
1,22,2,0,0.0
1,17,1,0,0.0
1,20,1,0,0.0
1,24,1,0,0.0
1,19,1,0,0.0
2,2,3678,3035,0.8251767264817835
2,3,3660,2447,0.6685792349726776
2,6,1332,410,0.3078078078078078
2,7,771,149,0.1932555123216602
2,5,2055,743,0.36155717761557177
2,4,2836,1465,0.5165726375176305
2,8,419,56,0.13365155131264916
2,12,56,1,0.017857142857142856
2,9,243,20,0.0823045267489712
2,11,63,2,0.031746031746031744
2,10,137,9,0.06569343065693431
2,13,29,0,0.0
2,14,12,0,0.0
2,15,14,0,0.0
2,16,8,0,0.0
2,20,3,0,0.0
2,17,1,0,0.0
2,18,2,0,0.0
2,19,2,0,0.0
2,30,1,0,0.0
2,21,1,0,0.0
3,2,3692,3020,0.8179848320693391
3,3,3671,2420,0.6592209207300463
3,6,1258,387,0.307631160572337
3,7,732,120,0.16393442622950818
3,5,2042,743,0.36385896180215477
3,4,2883,1497,0.5192507804370448
3,8,469,65,0.13859275053304904
3,11,75,2,0.02666666666666667
3,9,240,20,0.08333333333333333
3,13,23,0,0.0
3,10,144,9,0.0625
3,12,49,2,0.04081632653061224
3,15,13,0,0.0
3,14,18,0,0.0
3,18,3,0,0.0
3,21,3,0,0.0
3,44,1,1,1.0
3,16,5,0,0.0
3,22,1,0,0.0
3,19,2,0,0.0
3,17,2,0,0.0
3,30,1,0,0.0
4,2,3539,2946,0.832438541961006
4,3,3747,2499,0.66693354683747
4,6,1324,385,0.290785498489426
4,4,2779,1470,0.5289672544080605
