iter,utterance_length,nb_utterances,produced,production_score
1,4,769,332,0.4317295188556567
1,2,2195,1883,0.8578587699316629
1,8,76,10,0.13157894736842105
1,6,219,41,0.1872146118721461
1,7,120,17,0.14166666666666666
1,14,3,1,0.3333333333333333
1,3,1307,797,0.6097934200459066
1,10,18,1,0.05555555555555555
1,5,398,116,0.2914572864321608
1,11,9,1,0.1111111111111111
1,9,36,2,0.05555555555555555
1,12,8,1,0.125
1,13,5,0,0.0
1,22,1,0,0.0
1,17,1,0,0.0
1,15,3,1,0.3333333333333333
1,25,1,0,0.0
1,21,1,0,0.0
1,31,1,1,1.0
2,3,1293,798,0.617169373549884
2,4,777,363,0.4671814671814672
2,5,410,129,0.3146341463414634
2,6,208,41,0.1971153846153846
2,7,127,21,0.16535433070866143
2,2,2149,1845,0.8585388552815263
2,11,7,1,0.14285714285714285
2,12,10,2,0.2
2,8,77,7,0.09090909090909091
2,9,37,3,0.08108108108108109
2,14,5,1,0.2
2,10,23,3,0.13043478260869565
2,13,4,0,0.0
2,15,7,1,0.14285714285714285
2,17,2,0,0.0
2,16,2,1,0.5
2,25,1,0,0.0
2,23,2,0,0.0
2,20,1,0,0.0
3,2,2167,1854,0.8555606829718505
3,4,790,341,0.4316455696202532
3,10,22,0,0.0
3,5,402,140,0.3482587064676617
3,3,1272,762,0.5990566037735849
3,7,111,21,0.1891891891891892
3,6,207,46,0.2222222222222222
3,14,4,0,0.0
3,8,79,9,0.11392405063291139
3,17,3,0,0.0
3,11,9,1,0.1111111111111111
3,9,40,3,0.075
3,13,5,0,0.0
3,12,11,1,0.09090909090909091
3,15,5,0,0.0
3,22,1,0,0.0
3,16,1,1,1.0
3,27,2,0,0.0
3,31,1,0,0.0
3,20,1,0,0.0
4,7,133,28,0.21052631578947367
4,4,736,336,0.45652173913043476
4,8,73,17,0.2328767123287671
4,2,2116,1773,0.8379017013232514
4,3,1318,795,0.6031866464339909
4,9,43,3,0.06976744186046512
4,5,409,113,0.2762836185819071
4,6,218,42,0.1926605504587156
4,10,19,4,0.21052631578947367
4,11,8,1,0.125
4,17,3,0,0.0
4,13,4,1,0.25
4,12,12,0,0.0
4,14,2,0,0.0
4,16,1,1,1.0
4,15,4,1,0.25
4,27,1,0,0.0
4,23,1,0,0.0
5,4,733,311,0.4242837653478854
5,5,403,114,0.28287841191067
5,6,201,40,0.19900497512437812
5,7,134,21,0.15671641791044777
5,3,1295,816,0.6301158301158302
5,2,2181,1837,0.8422741861531408
5,8,61,9,0.14754098360655737
5,14,3,2,0.6666666666666666
5,10,20,2,0.1
5,11,5,0,0.0
5,21,2,0,0.0
5,9,38,3,0.07894736842105263
5,12,14,1,0.07142857142857142
5,15,6,0,0.0
5,22,1,0,0.0
5,13,3,0,0.0
5,17,3,0,0.0
5,16,1,1,1.0
5,23,1,0,0.0
5,27,1,0,0.0
6,4,791,355,0.44879898862199746
6,2,2203,1862,0.8452110758057195
6,8,68,12,0.17647058823529413
6,7,121,22,0.18181818181818182
6,3,1332,817,0.6133633633633634
6,9,41,2,0.04878048780487805
6,5,402,119,0.2960199004975124
6,6,241,47,0.1950207468879668
6,10,20,3,0.15
6,17,4,0,0.0
6,21,1,0,0.0
6,11,7,0,0.0
6,14,4,1,0.25
6,12,13,1,0.07692307692307693
6,13,3,0,0.0
6,15,3,1,0.3333333333333333
6,25,1,0,0.0
6,23,1,0,0.0
6,27,1,0,0.0
6,16,1,0,0.0
7,3,1360,848,0.6235294117647059
7,4,772,330,0.4274611398963731
7,6,227,45,0.19823788546255505
7,7,126,12,0.09523809523809523
7,11,10,1,0.1
7,2,2104,1774,0.8431558935361216
7,8,79,11,0.13924050632911392
7,9,39,5,0.1282051282051282
7,5,410,117,0.28536585365853656
7,10,20,3,0.15
7,12,13,1,0.07692307692307693
7,22,1,0,0.0
7,14,3,0,0.0
7,13,5,0,0.0
7,17,2,0,0.0
7,16,3,2,0.6666666666666666
7,15,2,1,0.5
7,23,2,0,0.0
7,21,1,0,0.0
7,27,1,0,0.0
8,3,1295,788,0.6084942084942085
8,5,386,110,0.2849740932642487
8,8,76,14,0.18421052631578946
8,6,210,46,0.21904761904761905
8,4,720,343,0.47638888888888886
8,2,2148,1861,0.8663873370577281
8,11,12,0,0.0
8,7,96,16,0.16666666666666666
8,10,19,1,0.05263157894736842
8,9,43,3,0.06976744186046512
8,13,6,0,0.0
8,21,1,0,0.0
8,14,4,1,0.25
8,12,14,1,0.07142857142857142
8,15,5,0,0.0
8,17,4,0,0.0
8,16,1,1,1.0
8,23,2,0,0.0
8,27,2,0,0.0
8,31,1,1,1.0
9,4,749,342,0.45660881174899864
9,2,2174,1858,0.8546458141674333
9,7,123,19,0.15447154471544716
9,3,1337,827,0.6185489902767389
9,5,438,140,0.319634703196347
9,8,73,12,0.1643835616438356
9,10,18,2,0.1111111111111111
9,11,10,0,0.0
