iter,utterance_length,nb_utterances,produced,production_score
1,3,1505,1021,0.6784053156146179
1,2,1830,1559,0.8519125683060109
1,4,830,411,0.4951807228915663
1,5,448,177,0.3950892857142857
1,7,80,11,0.1375
1,6,179,42,0.2346368715083799
1,8,28,3,0.10714285714285714
1,9,16,1,0.0625
1,10,6,0,0.0
1,12,3,0,0.0
1,13,2,0,0.0
1,11,2,0,0.0
2,2,1874,1562,0.8335112059765208
2,3,1496,1024,0.6844919786096256
2,4,784,397,0.5063775510204082
2,5,422,152,0.36018957345971564
2,7,66,13,0.19696969696969696
2,6,170,40,0.23529411764705882
2,8,31,5,0.16129032258064516
2,9,11,0,0.0
2,10,6,0,0.0
2,13,1,0,0.0
2,12,2,0,0.0
2,11,2,0,0.0
3,2,1848,1548,0.8376623376623377
3,3,1510,1007,0.666887417218543
3,4,805,417,0.5180124223602485
3,5,428,156,0.3644859813084112
3,7,83,12,0.14457831325301204
3,6,173,43,0.24855491329479767
3,9,17,0,0.0
3,10,4,0,0.0
3,8,33,1,0.030303030303030304
3,14,1,0,0.0
3,13,1,0,0.0
3,12,3,0,0.0
3,11,2,0,0.0
4,2,1864,1614,0.8658798283261803
4,3,1507,1001,0.6642335766423357
4,4,793,393,0.49558638083228246
4,5,394,143,0.3629441624365482
4,7,85,16,0.18823529411764706
4,6,179,43,0.24022346368715083
4,8,38,3,0.07894736842105263
4,11,6,0,0.0
4,10,10,0,0.0
4,9,14,2,0.14285714285714285
4,12,3,0,0.0
4,13,1,0,0.0
5,2,1794,1510,0.8416945373467113
5,3,1498,1026,0.684913217623498
5,4,830,387,0.46626506024096387
5,5,398,159,0.39949748743718594
5,7,86,15,0.1744186046511628
5,6,166,36,0.21686746987951808
5,8,31,4,0.12903225806451613
5,10,8,1,0.125
5,11,2,0,0.0
5,9,16,1,0.0625
5,12,1,0,0.0
5,13,1,0,0.0
6,2,1817,1534,0.8442487616951018
6,3,1473,997,0.6768499660556687
6,4,839,430,0.5125148986889154
6,5,447,167,0.37360178970917224
6,7,90,14,0.15555555555555556
6,6,151,36,0.23841059602649006
6,8,29,3,0.10344827586206896
6,10,8,0,0.0
6,9,15,0,0.0
6,13,1,0,0.0
6,12,3,0,0.0
6,11,3,0,0.0
6,45,1,0,0.0
7,2,1850,1552,0.8389189189189189
7,3,1510,1043,0.6907284768211921
7,4,810,426,0.5259259259259259
7,5,423,156,0.36879432624113473
7,7,86,18,0.20930232558139536
7,6,182,50,0.27472527472527475
7,8,38,2,0.05263157894736842
7,10,9,0,0.0
7,11,5,0,0.0
7,9,17,1,0.058823529411764705
7,13,3,0,0.0
7,14,1,0,0.0
7,12,3,1,0.3333333333333333
8,2,1797,1507,0.8386199220923762
8,3,1493,1008,0.6751507032819826
8,4,835,430,0.5149700598802395
8,5,454,165,0.3634361233480176
8,7,84,15,0.17857142857142858
8,6,158,42,0.26582278481012656
8,8,31,6,0.1935483870967742
8,11,6,1,0.16666666666666666
8,10,6,0,0.0
8,9,13,2,0.15384615384615385
8,13,3,1,0.3333333333333333
8,12,2,0,0.0
8,45,1,0,0.0
9,3,1532,1032,0.6736292428198434
9,2,1845,1564,0.8476964769647697
9,4,818,422,0.5158924205378973
9,5,435,150,0.3448275862068966
9,6,172,45,0.2616279069767442
9,7,97,11,0.1134020618556701
9,8,31,4,0.12903225806451613
9,9,19,2,0.10526315789473684
9,11,2,0,0.0
9,10,7,0,0.0
9,13,2,1,0.5
9,12,2,0,0.0
10,2,1831,1541,0.841616602949208
10,3,1514,1031,0.6809775429326288
10,4,860,432,0.5023255813953489
10,5,419,147,0.35083532219570407
10,7,91,15,0.16483516483516483
10,6,169,40,0.23668639053254437
10,10,10,0,0.0
10,11,2,0,0.0
10,8,27,5,0.18518518518518517
10,9,16,1,0.0625
10,14,1,0,0.0
10,12,1,0,0.0
10,13,1,0,0.0
