iter,utterance_length,nb_utterances,produced,production_score
1,2,1400,1144,0.8171428571428572
1,3,1179,785,0.6658184902459712
1,4,906,523,0.5772626931567328
1,5,517,222,0.42940038684719534
1,6,274,85,0.3102189781021898
1,7,126,17,0.1349206349206349
1,8,67,9,0.13432835820895522
1,9,30,2,0.06666666666666667
1,10,22,0,0.0
1,12,4,0,0.0
1,11,9,0,0.0
2,2,1461,1197,0.8193018480492813
2,3,1257,810,0.6443914081145584
2,4,865,481,0.5560693641618497
2,5,563,228,0.4049733570159858
2,7,132,14,0.10606060606060606
2,6,270,86,0.31851851851851853
2,8,61,5,0.08196721311475409
2,9,24,2,0.08333333333333333
2,10,19,0,0.0
2,12,3,0,0.0
2,11,10,0,0.0
2,13,2,0,0.0
2,17,1,0,0.0
2,14,1,0,0.0
3,2,1392,1140,0.8189655172413793
3,3,1200,768,0.64
3,4,902,488,0.541019955654102
3,5,547,236,0.43144424131627057
3,6,292,83,0.2842465753424658
3,7,144,22,0.1527777777777778
3,8,69,3,0.043478260869565216
3,9,27,0,0.0
3,12,2,0,0.0
3,11,7,0,0.0
3,10,11,1,0.09090909090909091
3,14,2,0,0.0
3,17,1,0,0.0
4,2,1479,1207,0.8160919540229885
4,3,1189,802,0.6745164003364171
4,4,911,510,0.5598243688254665
4,5,515,199,0.3864077669902913
4,6,253,77,0.30434782608695654
4,7,134,23,0.17164179104477612
4,8,61,8,0.13114754098360656
4,9,26,1,0.038461538461538464
4,12,3,0,0.0
4,10,18,1,0.05555555555555555
4,11,9,0,0.0
4,15,1,0,0.0
4,13,1,0,0.0
4,14,1,0,0.0
5,2,1415,1155,0.8162544169611308
5,3,1187,767,0.6461668070766639
5,4,906,508,0.5607064017660044
5,6,284,84,0.29577464788732394
5,5,524,201,0.383587786259542
5,7,134,22,0.16417910447761194
5,8,62,7,0.11290322580645161
5,9,28,0,0.0
5,10,17,0,0.0
5,12,4,0,0.0
5,11,5,1,0.2
5,14,1,0,0.0
5,13,1,0,0.0
6,2,1448,1172,0.8093922651933702
6,3,1169,775,0.6629597946963216
6,5,478,191,0.399581589958159
6,4,882,477,0.5408163265306123
6,6,263,78,0.2965779467680608
6,7,116,18,0.15517241379310345
6,8,56,9,0.16071428571428573
6,9,25,1,0.04
6,10,13,0,0.0
6,12,5,0,0.0
6,11,6,0,0.0
6,14,2,0,0.0
6,17,1,0,0.0
7,2,1469,1181,0.8039482641252553
7,3,1185,763,0.6438818565400843
7,4,837,454,0.5424133811230586
7,5,576,224,0.3888888888888889
7,7,156,30,0.19230769230769232
7,6,260,82,0.3153846153846154
7,8,71,8,0.11267605633802817
7,9,24,0,0.0
7,12,5,0,0.0
7,10,16,0,0.0
7,11,9,0,0.0
7,14,2,0,0.0
7,17,1,0,0.0
7,13,1,0,0.0
8,2,1415,1158,0.818374558303887
8,3,1208,803,0.6647350993377483
8,4,855,485,0.5672514619883041
8,6,267,76,0.2846441947565543
8,5,518,208,0.4015444015444015
8,7,136,29,0.21323529411764705
8,8,67,12,0.1791044776119403
8,9,35,1,0.02857142857142857
8,12,7,0,0.0
8,10,17,1,0.058823529411764705
8,11,8,0,0.0
8,14,1,0,0.0
8,13,3,0,0.0
8,17,1,0,0.0
9,2,1403,1161,0.827512473271561
9,3,1151,788,0.684622067767159
9,4,902,496,0.549889135254989
9,5,538,221,0.4107806691449814
9,6,272,85,0.3125
9,7,144,20,0.1388888888888889
9,9,26,1,0.038461538461538464
9,8,63,9,0.14285714285714285
9,10,15,0,0.0
9,12,7,0,0.0
9,11,5,1,0.2
9,15,1,0,0.0
9,14,2,0,0.0
9,13,2,0,0.0
9,17,1,0,0.0
10,2,1451,1188,0.8187456926257753
10,3,1245,809,0.6497991967871486
10,4,880,489,0.5556818181818182
10,5,543,199,0.3664825046040516
10,6,273,82,0.30036630036630035
10,7,131,18,0.13740458015267176
10,8,58,6,0.10344827586206896
10,9,23,1,0.043478260869565216
10,10,16,0,0.0
10,11,7,0,0.0
10,12,5,0,0.0
10,14,1,0,0.0
10,13,1,0,0.0
