iter,utterance_length,nb_utterances,produced,production_score
1,3,173,115,0.6647398843930635
1,6,84,23,0.27380952380952384
1,5,130,54,0.4153846153846154
1,2,160,130,0.8125
1,4,167,88,0.5269461077844312
1,8,30,2,0.06666666666666667
1,10,13,0,0.0
1,7,42,5,0.11904761904761904
1,9,16,0,0.0
1,11,4,0,0.0
1,13,1,0,0.0
1,25,1,0,0.0
1,12,1,0,0.0
1,14,1,0,0.0
2,3,185,125,0.6756756756756757
2,2,155,125,0.8064516129032258
2,6,90,20,0.2222222222222222
2,4,135,80,0.5925925925925926
2,5,128,43,0.3359375
2,7,61,2,0.03278688524590164
2,8,45,6,0.13333333333333333
2,11,5,0,0.0
2,9,15,2,0.13333333333333333
2,12,1,0,0.0
2,10,8,0,0.0
2,15,1,0,0.0
2,25,1,0,0.0
3,3,193,130,0.6735751295336787
3,5,124,35,0.28225806451612906
3,4,163,89,0.5460122699386503
3,2,134,112,0.835820895522388
3,8,28,2,0.07142857142857142
3,6,92,22,0.2391304347826087
3,7,51,7,0.13725490196078433
3,9,13,1,0.07692307692307693
3,10,8,0,0.0
3,11,7,0,0.0
3,16,1,0,0.0
3,12,1,0,0.0
4,3,186,132,0.7096774193548387
4,5,140,49,0.35
4,4,138,70,0.5072463768115942
4,2,157,129,0.821656050955414
4,6,92,25,0.2717391304347826
4,8,37,2,0.05405405405405406
4,9,17,0,0.0
4,10,8,0,0.0
4,7,48,6,0.125
4,11,7,0,0.0
4,12,1,0,0.0
4,14,1,0,0.0
5,5,144,51,0.3541666666666667
5,4,147,82,0.5578231292517006
5,6,96,31,0.3229166666666667
5,2,138,111,0.8043478260869565
5,8,41,2,0.04878048780487805
5,3,187,131,0.7005347593582888
5,7,46,6,0.13043478260869565
5,9,17,0,0.0
5,10,9,1,0.1111111111111111
5,11,5,0,0.0
5,12,2,0,0.0
6,2,161,132,0.8198757763975155
6,4,160,88,0.55
6,5,128,57,0.4453125
6,6,83,20,0.24096385542168675
6,3,197,141,0.7157360406091371
6,7,39,7,0.1794871794871795
6,9,15,1,0.06666666666666667
6,10,10,1,0.1
6,8,25,2,0.08
6,11,4,0,0.0
6,12,1,0,0.0
6,25,1,0,0.0
6,13,1,0,0.0
7,3,175,132,0.7542857142857143
7,2,146,121,0.8287671232876712
7,5,124,38,0.3064516129032258
7,4,162,84,0.5185185185185185
7,6,92,22,0.2391304347826087
7,8,36,6,0.16666666666666666
7,7,46,6,0.13043478260869565
7,9,16,0,0.0
7,10,12,1,0.08333333333333333
7,13,2,0,0.0
7,11,4,0,0.0
7,15,1,0,0.0
7,16,1,0,0.0
7,12,3,0,0.0
8,2,151,122,0.8079470198675497
8,3,175,130,0.7428571428571429
8,4,164,81,0.49390243902439024
8,5,129,45,0.3488372093023256
8,6,108,25,0.23148148148148148
8,7,47,5,0.10638297872340426
8,9,16,1,0.0625
8,10,8,0,0.0
8,8,32,3,0.09375
8,11,7,0,0.0
8,15,1,0,0.0
8,13,1,0,0.0
8,12,1,0,0.0
9,3,183,134,0.73224043715847
9,2,153,133,0.869281045751634
9,4,158,85,0.5379746835443038
9,6,86,28,0.32558139534883723
9,5,144,57,0.3958333333333333
9,7,55,7,0.12727272727272726
9,9,19,0,0.0
9,10,10,0,0.0
9,8,41,2,0.04878048780487805
9,11,5,0,0.0
9,13,2,0,0.0
9,25,1,0,0.0
9,12,3,0,0.0
9,14,1,0,0.0
10,3,181,136,0.7513812154696132
10,2,148,127,0.8581081081081081
10,8,33,2,0.06060606060606061
10,6,86,24,0.27906976744186046
10,4,161,85,0.5279503105590062
10,5,133,35,0.2631578947368421
10,7,48,11,0.22916666666666666
10,9,14,3,0.21428571428571427
10,11,4,0,0.0
10,10,11,1,0.09090909090909091
10,16,1,0,0.0
10,25,1,0,0.0
10,12,2,0,0.0
10,14,1,0,0.0
10,13,1,0,0.0
