iter,utterance_length,nb_utterances,produced,production_score
1,4,1041,535,0.5139289145052833
1,2,1975,1647,0.8339240506329114
1,3,1489,1044,0.7011417058428475
1,5,541,200,0.36968576709796674
1,6,287,76,0.26480836236933797
1,9,22,0,0.0
1,7,111,22,0.1981981981981982
1,8,60,3,0.05
1,10,3,0,0.0
1,11,8,1,0.125
1,12,2,0,0.0
1,13,1,0,0.0
2,4,1075,558,0.5190697674418605
2,2,1960,1655,0.8443877551020408
2,3,1535,1101,0.7172638436482085
2,5,545,200,0.3669724770642202
2,6,258,69,0.26744186046511625
2,7,122,20,0.16393442622950818
2,10,6,0,0.0
2,8,51,7,0.13725490196078433
2,9,19,1,0.05263157894736842
2,12,1,0,0.0
2,15,2,0,0.0
2,11,6,0,0.0
2,13,2,0,0.0
3,4,1056,563,0.5331439393939394
3,2,1972,1654,0.8387423935091278
3,3,1469,1060,0.7215793056501021
3,5,542,210,0.3874538745387454
3,6,276,79,0.286231884057971
3,7,123,28,0.22764227642276422
3,10,6,0,0.0
3,8,55,9,0.16363636363636364
3,9,20,1,0.05
3,12,3,0,0.0
3,11,5,0,0.0
3,15,2,0,0.0
3,13,2,0,0.0
4,4,1055,578,0.547867298578199
4,3,1529,1095,0.7161543492478745
4,2,1942,1612,0.8300720906282183
4,5,552,214,0.38768115942028986
4,9,16,0,0.0
4,6,277,86,0.3104693140794224
4,7,117,14,0.11965811965811966
4,10,10,1,0.1
4,8,70,7,0.1
4,13,2,0,0.0
4,15,1,0,0.0
4,12,1,0,0.0
4,11,2,0,0.0
5,2,1976,1675,0.8476720647773279
5,3,1533,1096,0.7149380300065231
5,4,1103,551,0.499546690843155
5,5,570,227,0.39824561403508774
5,6,267,77,0.2883895131086142
5,9,14,0,0.0
5,7,106,19,0.1792452830188679
5,8,59,7,0.11864406779661017
5,12,5,0,0.0
5,15,2,0,0.0
5,11,4,0,0.0
5,10,1,0,0.0
5,13,1,0,0.0
6,4,1016,541,0.53248031496063
6,2,1971,1644,0.8340943683409436
6,3,1548,1094,0.7067183462532299
6,5,546,213,0.3901098901098901
6,6,284,74,0.2605633802816901
6,7,138,20,0.14492753623188406
6,8,66,3,0.045454545454545456
6,9,25,1,0.04
6,10,4,0,0.0
6,13,1,0,0.0
6,12,4,0,0.0
6,11,9,0,0.0
6,15,1,0,0.0
7,3,1503,1080,0.718562874251497
7,2,1996,1687,0.8451903807615231
7,5,554,219,0.3953068592057762
7,4,1069,574,0.5369504209541628
7,6,278,84,0.302158273381295
7,9,19,0,0.0
7,7,122,26,0.21311475409836064
7,10,8,0,0.0
7,8,62,6,0.0967741935483871
7,15,1,0,0.0
7,11,5,0,0.0
7,12,1,0,0.0
7,13,1,0,0.0
8,4,1043,585,0.5608820709491851
8,2,1955,1638,0.837851662404092
8,3,1513,1077,0.7118307997356246
8,5,529,236,0.44612476370510395
8,6,303,80,0.264026402640264
8,7,111,23,0.2072072072072072
8,10,8,1,0.125
8,8,56,4,0.07142857142857142
8,9,20,0,0.0
8,12,2,0,0.0
8,11,7,0,0.0
8,15,1,0,0.0
9,2,1955,1638,0.837851662404092
9,3,1465,1044,0.7126279863481229
9,5,530,217,0.40943396226415096
9,4,1066,573,0.5375234521575984
9,6,263,67,0.25475285171102663
9,7,119,25,0.21008403361344538
9,8,49,8,0.16326530612244897
9,9,20,0,0.0
9,13,2,0,0.0
9,10,6,0,0.0
9,11,5,0,0.0
9,12,2,0,0.0
10,4,1047,571,0.545367717287488
10,2,1954,1646,0.842374616171955
10,3,1593,1133,0.7112366603892027
10,5,496,206,0.4153225806451613
10,6,281,74,0.26334519572953735
10,7,126,27,0.21428571428571427
10,10,2,0,0.0
10,8,51,4,0.0784313725490196
10,9,20,1,0.05
10,15,2,0,0.0
10,11,7,0,0.0
10,13,2,0,0.0
10,12,1,0,0.0
