iter,utterance_length,nb_utterances,produced,production_score
1,5,617,256,0.41491085899513774
1,3,2158,1599,0.7409638554216867
1,2,2831,2526,0.8922642175909573
1,4,1299,797,0.613548883756736
1,7,119,24,0.20168067226890757
1,6,284,87,0.30633802816901406
1,8,55,4,0.07272727272727272
1,11,6,0,0.0
1,9,16,3,0.1875
1,10,9,0,0.0
1,12,1,0,0.0
2,3,2143,1549,0.7228184787680821
2,2,2726,2428,0.8906823184152605
2,5,589,267,0.4533106960950764
2,4,1296,796,0.6141975308641975
2,7,125,21,0.168
2,6,272,80,0.29411764705882354
2,8,48,3,0.0625
2,12,1,0,0.0
2,11,4,0,0.0
2,9,16,1,0.0625
2,10,6,0,0.0
2,14,1,0,0.0
2,13,2,0,0.0
3,3,2231,1649,0.7391304347826086
3,4,1269,764,0.6020488573680063
3,2,2731,2445,0.8952764555108019
3,6,262,75,0.2862595419847328
3,5,594,266,0.4478114478114478
3,7,112,22,0.19642857142857142
3,8,55,8,0.14545454545454545
3,12,2,0,0.0
3,9,17,2,0.11764705882352941
3,11,5,0,0.0
3,10,9,4,0.4444444444444444
3,13,2,0,0.0
3,14,1,0,0.0
4,3,2236,1617,0.7231663685152058
4,2,2765,2459,0.8893309222423147
4,5,590,265,0.4491525423728814
4,4,1286,739,0.5746500777604977
4,7,132,20,0.15151515151515152
4,6,260,84,0.3230769230769231
4,8,37,2,0.05405405405405406
4,11,6,0,0.0
4,9,17,2,0.11764705882352941
4,10,20,0,0.0
4,12,2,0,0.0
4,14,1,0,0.0
4,13,3,0,0.0
5,3,2161,1570,0.7265155020823693
5,5,590,252,0.4271186440677966
5,2,2785,2492,0.8947935368043088
5,6,278,81,0.29136690647482016
5,4,1322,780,0.5900151285930408
5,7,121,27,0.2231404958677686
5,8,39,1,0.02564102564102564
5,11,7,0,0.0
5,12,3,0,0.0
5,9,12,4,0.3333333333333333
5,10,9,1,0.1111111111111111
5,14,1,0,0.0
5,13,2,1,0.5
6,2,2726,2424,0.8892149669845928
6,4,1287,741,0.5757575757575758
6,3,2202,1571,0.7134423251589465
6,6,290,85,0.29310344827586204
6,7,112,24,0.21428571428571427
6,5,573,244,0.4258289703315881
6,8,46,2,0.043478260869565216
6,11,8,0,0.0
6,12,2,0,0.0
6,10,11,0,0.0
6,9,10,2,0.2
6,14,2,0,0.0
6,13,1,0,0.0
7,3,2232,1616,0.7240143369175627
7,2,2696,2421,0.8979970326409495
7,4,1290,748,0.57984496124031
7,6,257,74,0.28793774319066145
7,5,587,239,0.4071550255536627
7,8,41,4,0.0975609756097561
7,11,9,0,0.0
7,7,123,18,0.14634146341463414
7,9,19,5,0.2631578947368421
7,10,9,2,0.2222222222222222
7,12,3,0,0.0
7,14,2,0,0.0
7,13,3,0,0.0
8,2,2714,2405,0.8861459100957996
8,4,1255,740,0.5896414342629482
8,3,2192,1621,0.739507299270073
8,6,287,81,0.28222996515679444
8,5,591,244,0.4128595600676819
8,8,53,3,0.05660377358490566
8,7,133,26,0.19548872180451127
8,9,20,3,0.15
8,10,12,1,0.08333333333333333
8,11,6,0,0.0
8,12,1,0,0.0
8,13,2,0,0.0
9,2,2781,2455,0.8827759798633585
9,5,597,253,0.423785594639866
9,3,2215,1607,0.725507900677201
9,4,1303,776,0.5955487336914812
9,7,129,20,0.15503875968992248
9,6,296,81,0.27364864864864863
9,8,47,6,0.1276595744680851
9,12,2,0,0.0
9,11,9,1,0.1111111111111111
9,9,15,2,0.13333333333333333
9,10,14,3,0.21428571428571427
9,13,2,0,0.0
10,3,2183,1552,0.7109482363719651
10,2,2691,2415,0.8974358974358975
10,5,607,260,0.42833607907743
10,4,1347,775,0.5753526354862658
10,7,121,15,0.12396694214876033
10,6,265,81,0.30566037735849055
10,8,48,3,0.0625
10,12,1,0,0.0
10,11,5,0,0.0
10,10,8,1,0.125
10,9,18,2,0.1111111111111111
10,14,1,0,0.0
10,13,3,0,0.0
