iter,utterance_length,nb_utterances,produced,production_score
1,3,208,131,0.6298076923076923
1,4,182,79,0.4340659340659341
1,2,205,161,0.7853658536585366
1,5,152,49,0.3223684210526316
1,8,46,4,0.08695652173913043
1,7,63,7,0.1111111111111111
1,6,101,26,0.25742574257425743
1,13,5,0,0.0
1,9,21,1,0.047619047619047616
1,10,28,0,0.0
1,12,11,0,0.0
1,23,1,0,0.0
1,15,5,0,0.0
1,18,1,0,0.0
1,22,1,0,0.0
1,11,2,0,0.0
1,27,1,0,0.0
1,14,3,0,0.0
2,3,216,139,0.6435185185185185
2,7,75,7,0.09333333333333334
2,6,89,22,0.24719101123595505
2,4,176,75,0.42613636363636365
2,5,144,36,0.25
2,10,20,0,0.0
2,2,181,134,0.7403314917127072
2,9,25,0,0.0
2,8,42,1,0.023809523809523808
2,12,7,0,0.0
2,13,7,0,0.0
2,15,3,0,0.0
2,16,4,0,0.0
2,23,1,0,0.0
2,22,1,0,0.0
2,11,4,0,0.0
3,6,89,18,0.20224719101123595
3,4,191,81,0.42408376963350786
3,3,202,132,0.6534653465346535
3,5,164,53,0.3231707317073171
3,2,184,139,0.7554347826086957
3,7,69,7,0.10144927536231885
3,10,12,0,0.0
3,9,20,1,0.05
3,13,4,0,0.0
3,8,35,1,0.02857142857142857
3,12,9,0,0.0
3,15,3,0,0.0
3,14,2,0,0.0
3,23,1,0,0.0
3,16,2,0,0.0
3,17,2,0,0.0
3,11,4,0,0.0
4,2,206,159,0.7718446601941747
4,6,100,14,0.14
4,3,200,135,0.675
4,5,149,44,0.2953020134228188
4,4,205,84,0.4097560975609756
4,10,22,1,0.045454545454545456
4,9,24,0,0.0
4,7,65,3,0.046153846153846156
4,8,40,4,0.1
4,12,9,0,0.0
4,13,4,0,0.0
4,11,3,0,0.0
4,23,1,0,0.0
4,15,4,0,0.0
4,17,1,0,0.0
4,16,2,0,0.0
5,4,192,71,0.3697916666666667
5,5,122,30,0.2459016393442623
5,6,94,11,0.11702127659574468
5,3,215,134,0.6232558139534884
5,2,188,145,0.7712765957446809
5,10,17,0,0.0
5,9,26,1,0.038461538461538464
5,13,3,0,0.0
5,7,65,4,0.06153846153846154
5,8,43,2,0.046511627906976744
5,12,5,0,0.0
5,14,2,0,0.0
5,15,6,0,0.0
5,16,3,0,0.0
5,23,1,0,0.0
5,18,1,0,0.0
5,22,1,0,0.0
5,11,2,0,0.0
5,17,1,0,0.0
5,27,1,0,0.0
6,3,204,128,0.6274509803921569
6,2,200,151,0.755
6,4,183,70,0.3825136612021858
6,5,137,38,0.2773722627737226
6,7,77,11,0.14285714285714285
6,6,96,25,0.2604166666666667
6,10,24,0,0.0
6,9,23,0,0.0
6,13,5,0,0.0
6,8,42,1,0.023809523809523808
6,12,9,0,0.0
6,24,1,0,0.0
6,14,3,0,0.0
6,15,4,0,0.0
6,16,3,0,0.0
6,23,1,0,0.0
6,18,1,0,0.0
6,22,1,0,0.0
7,3,187,118,0.6310160427807486
7,5,150,39,0.26
7,4,166,65,0.39156626506024095
7,7,68,8,0.11764705882352941
7,6,89,23,0.25842696629213485
7,2,215,152,0.7069767441860465
7,8,42,2,0.047619047619047616
7,9,26,0,0.0
7,13,4,0,0.0
7,12,10,0,0.0
7,10,24,0,0.0
7,24,1,0,0.0
7,15,5,0,0.0
7,11,3,0,0.0
7,23,1,0,0.0
7,22,1,0,0.0
7,27,1,0,0.0
7,17,1,0,0.0
7,16,1,0,0.0
7,14,1,0,0.0
8,6,98,22,0.22448979591836735
8,3,201,130,0.6467661691542289
8,4,183,61,0.3333333333333333
8,9,23,0,0.0
8,2,183,137,0.7486338797814208
8,10,20,0,0.0
8,5,148,46,0.3108108108108108
8,7,62,6,0.0967741935483871
8,8,41,4,0.0975609756097561
8,12,6,0,0.0
8,13,5,1,0.2
8,24,1,0,0.0
8,14,4,0,0.0
8,11,4,0,0.0
8,15,3,0,0.0
8,18,1,0,0.0
8,17,1,0,0.0
8,27,1,0,0.0
8,16,1,0,0.0
9,6,90,19,0.2111111111111111
9,2,201,148,0.736318407960199
9,4,177,67,0.3785310734463277
9,5,152,44,0.2894736842105263
9,3,213,132,0.6197183098591549
9,8,44,3,0.06818181818181818
9,7,64,6,0.09375
9,9,14,0,0.0
9,13,8,0,0.0
9,12,7,0,0.0
9,10,18,1,0.05555555555555555
9,23,1,0,0.0
9,15,4,0,0.0
9,22,1,0,0.0
9,11,3,0,0.0
9,16,2,0,0.0
9,14,1,0,0.0
10,3,208,135,0.6490384615384616
10,2,197,155,0.7868020304568528
10,4,178,78,0.43820224719101125
10,5,146,49,0.3356164383561644
10,7,61,4,0.06557377049180328
10,6,115,19,0.16521739130434782
10,9,18,0,0.0
10,8,32,2,0.0625
10,10,16,1,0.0625
10,13,3,0,0.0
10,14,4,0,0.0
10,12,6,0,0.0
10,16,3,0,0.0
10,15,4,0,0.0
10,22,1,0,0.0
10,11,4,0,0.0
10,17,2,0,0.0
