iter,utterance_length,nb_utterances,produced,production_score
1,2,2173,1795,0.8260469397146801
1,3,1297,849,0.6545875096376252
1,4,789,384,0.4866920152091255
1,5,347,115,0.3314121037463977
1,7,73,8,0.1095890410958904
1,6,143,30,0.2097902097902098
1,8,34,3,0.08823529411764706
1,9,19,1,0.05263157894736842
1,10,6,0,0.0
1,11,1,0,0.0
1,12,1,0,0.0
1,15,1,0,0.0
1,14,2,0,0.0
2,2,2102,1744,0.829686013320647
2,3,1345,843,0.6267657992565056
2,4,753,380,0.5046480743691899
2,5,343,108,0.31486880466472306
2,7,80,9,0.1125
2,6,160,34,0.2125
2,12,2,0,0.0
2,8,26,1,0.038461538461538464
2,9,12,1,0.08333333333333333
2,10,3,0,0.0
2,13,1,0,0.0
2,11,2,0,0.0
2,15,1,0,0.0
3,2,2108,1724,0.8178368121442126
3,3,1339,844,0.6303211351755041
3,9,17,3,0.17647058823529413
3,4,751,380,0.5059920106524634
3,5,392,125,0.31887755102040816
3,7,73,9,0.1232876712328767
3,6,164,29,0.17682926829268292
3,12,2,0,0.0
3,8,27,2,0.07407407407407407
3,10,7,0,0.0
3,13,1,0,0.0
3,11,1,0,0.0
4,2,2125,1733,0.8155294117647058
4,3,1350,858,0.6355555555555555
4,4,774,393,0.5077519379844961
4,5,375,125,0.3333333333333333
4,6,165,37,0.22424242424242424
4,7,76,14,0.18421052631578946
4,8,25,2,0.08
4,9,15,1,0.06666666666666667
4,10,5,0,0.0
4,13,1,0,0.0
4,11,2,0,0.0
4,14,1,0,0.0
5,2,2074,1677,0.8085824493731919
5,3,1282,850,0.6630265210608425
5,4,726,366,0.5041322314049587
5,5,375,118,0.31466666666666665
5,7,75,4,0.05333333333333334
5,6,166,34,0.20481927710843373
5,12,2,0,0.0
5,8,26,1,0.038461538461538464
5,9,11,0,0.0
5,10,5,0,0.0
5,11,3,0,0.0
5,14,1,0,0.0
6,2,2079,1715,0.8249158249158249
6,3,1337,832,0.6222887060583395
6,9,11,2,0.18181818181818182
6,5,356,108,0.30337078651685395
6,4,775,382,0.49290322580645163
6,6,173,35,0.2023121387283237
6,7,81,12,0.14814814814814814
6,8,24,0,0.0
6,10,3,0,0.0
6,11,2,0,0.0
6,15,1,0,0.0
7,2,2107,1718,0.8153773137161842
7,3,1350,865,0.6407407407407407
7,4,757,359,0.47424042272126815
7,5,360,129,0.35833333333333334
7,7,70,12,0.17142857142857143
7,6,179,35,0.19553072625698323
7,12,1,0,0.0
7,8,27,2,0.07407407407407407
7,9,19,1,0.05263157894736842
7,10,4,0,0.0
7,11,3,0,0.0
7,14,1,0,0.0
8,2,2049,1654,0.8072230356271352
8,4,785,387,0.4929936305732484
8,3,1284,832,0.6479750778816199
8,9,21,2,0.09523809523809523
8,5,347,96,0.276657060518732
8,6,175,36,0.2057142857142857
8,7,76,5,0.06578947368421052
8,12,3,0,0.0
8,8,38,1,0.02631578947368421
8,10,3,0,0.0
8,15,1,0,0.0
8,13,1,0,0.0
8,11,1,0,0.0
9,2,2111,1693,0.8019895783988631
9,3,1367,901,0.6591075347476225
9,4,793,403,0.5081967213114754
9,5,353,113,0.32011331444759206
9,6,166,47,0.28313253012048195
9,7,85,7,0.08235294117647059
9,8,34,1,0.029411764705882353
9,9,14,1,0.07142857142857142
9,10,7,0,0.0
9,13,1,0,0.0
9,11,1,0,0.0
9,12,1,0,0.0
9,14,1,0,0.0
10,2,2066,1694,0.8199419167473379
10,4,762,378,0.49606299212598426
10,3,1322,825,0.624054462934947
10,9,17,2,0.11764705882352941
10,5,369,106,0.2872628726287263
10,6,163,28,0.17177914110429449
10,7,68,8,0.11764705882352941
10,12,2,0,0.0
10,8,33,3,0.09090909090909091
10,10,2,0,0.0
10,13,1,0,0.0
10,11,1,0,0.0
10,14,1,0,0.0
