iter,utterance_length,nb_utterances,produced,production_score
1,4,258,110,0.4263565891472868
1,2,187,147,0.786096256684492
1,5,225,65,0.28888888888888886
1,3,264,171,0.6477272727272727
1,7,104,11,0.10576923076923077
1,8,63,4,0.06349206349206349
1,13,10,0,0.0
1,6,171,21,0.12280701754385964
1,11,19,0,0.0
1,12,8,0,0.0
1,10,28,0,0.0
1,9,36,0,0.0
1,22,1,0,0.0
1,14,6,0,0.0
1,17,4,0,0.0
1,16,1,0,0.0
1,18,1,0,0.0
1,19,1,0,0.0
1,15,1,0,0.0
2,2,215,174,0.8093023255813954
2,3,257,171,0.6653696498054474
2,5,193,57,0.29533678756476683
2,4,255,121,0.4745098039215686
2,7,94,14,0.14893617021276595
2,8,69,3,0.043478260869565216
2,20,1,0,0.0
2,10,30,1,0.03333333333333333
2,9,40,0,0.0
2,6,163,23,0.1411042944785276
2,14,7,0,0.0
2,12,11,0,0.0
2,23,1,0,0.0
2,11,14,0,0.0
2,22,1,0,0.0
2,13,11,0,0.0
2,15,2,0,0.0
2,16,2,0,0.0
2,17,1,0,0.0
3,3,248,153,0.6169354838709677
3,7,102,14,0.13725490196078433
3,5,207,57,0.2753623188405797
3,4,247,110,0.44534412955465585
3,2,193,149,0.772020725388601
3,8,60,1,0.016666666666666666
3,6,163,27,0.1656441717791411
3,9,42,2,0.047619047619047616
3,11,14,0,0.0
3,10,25,0,0.0
3,22,1,0,0.0
3,21,1,0,0.0
3,12,9,0,0.0
3,13,7,0,0.0
3,14,6,0,0.0
3,20,1,0,0.0
3,16,1,0,0.0
3,18,1,0,0.0
3,15,1,0,0.0
3,19,1,0,0.0
3,29,1,0,0.0
4,3,248,178,0.717741935483871
4,4,249,124,0.4979919678714859
4,2,188,157,0.8351063829787234
4,5,207,61,0.2946859903381642
4,8,65,3,0.046153846153846156
4,7,93,9,0.0967741935483871
4,9,35,0,0.0
4,6,150,16,0.10666666666666667
4,12,8,0,0.0
4,10,26,0,0.0
4,13,8,0,0.0
4,11,11,0,0.0
4,15,4,0,0.0
4,24,1,0,0.0
4,22,1,0,0.0
4,21,1,0,0.0
4,14,6,0,0.0
4,16,6,0,0.0
4,19,1,0,0.0
4,29,1,0,0.0
4,17,3,0,0.0
4,25,1,0,0.0
5,2,182,145,0.7967032967032966
5,4,255,122,0.47843137254901963
5,5,232,76,0.3275862068965517
5,7,101,17,0.16831683168316833
5,3,260,169,0.65
5,20,2,0,0.0
5,6,155,25,0.16129032258064516
5,14,8,0,0.0
5,8,65,6,0.09230769230769231
5,23,1,0,0.0
5,10,27,0,0.0
5,9,40,3,0.075
5,11,12,0,0.0
5,13,9,0,0.0
5,12,12,0,0.0
5,16,1,0,0.0
5,19,2,0,0.0
5,17,1,0,0.0
5,15,2,0,0.0
5,25,1,0,0.0
6,4,265,128,0.4830188679245283
6,2,182,152,0.8351648351648352
6,5,212,68,0.32075471698113206
6,7,96,11,0.11458333333333333
6,3,254,178,0.7007874015748031
6,8,55,3,0.05454545454545454
6,9,34,1,0.029411764705882353
6,6,157,25,0.1592356687898089
6,11,13,0,0.0
6,10,28,1,0.03571428571428571
6,24,1,0,0.0
6,12,8,0,0.0
6,15,2,0,0.0
6,13,8,0,0.0
6,14,5,0,0.0
6,16,3,0,0.0
6,20,2,0,0.0
6,25,1,0,0.0
7,2,192,163,0.8489583333333334
7,3,254,173,0.6811023622047244
7,7,102,18,0.17647058823529413
7,4,238,114,0.4789915966386555
7,5,233,74,0.31759656652360513
7,20,1,0,0.0
7,6,148,29,0.19594594594594594
7,9,37,2,0.05405405405405406
7,10,25,0,0.0
7,11,13,0,0.0
7,8,63,8,0.12698412698412698
7,12,6,0,0.0
7,14,5,0,0.0
7,24,1,0,0.0
7,22,1,0,0.0
7,13,5,0,0.0
7,15,5,0,0.0
7,17,3,0,0.0
7,16,2,0,0.0
7,19,1,0,0.0
7,29,1,0,0.0
8,2,201,167,0.8308457711442786
8,3,244,162,0.6639344262295082
8,7,96,11,0.11458333333333333
8,5,227,76,0.33480176211453744
8,4,251,120,0.47808764940239046
8,8,68,7,0.10294117647058823
8,13,9,0,0.0
8,20,2,0,0.0
8,6,151,18,0.11920529801324503
8,14,8,0,0.0
8,9,40,0,0.0
8,11,19,1,0.05263157894736842
8,12,8,0,0.0
8,10,23,1,0.043478260869565216
8,15,4,0,0.0
8,21,1,0,0.0
8,16,2,0,0.0
8,29,1,0,0.0
8,17,2,0,0.0
9,2,209,172,0.8229665071770335
9,7,107,13,0.12149532710280374
9,4,245,130,0.5306122448979592
9,5,220,73,0.33181818181818185
9,8,61,8,0.13114754098360656
9,3,270,180,0.6666666666666666
9,20,1,0,0.0
9,10,32,1,0.03125
9,9,42,3,0.07142857142857142
9,6,153,21,0.13725490196078433
9,14,6,0,0.0
9,12,7,0,0.0
9,11,17,0,0.0
9,13,10,0,0.0
9,24,1,0,0.0
9,22,1,0,0.0
9,15,2,0,0.0
9,17,2,0,0.0
9,16,2,0,0.0
9,18,1,0,0.0
9,19,1,0,0.0
9,25,1,0,0.0
10,3,274,175,0.6386861313868614
10,4,256,127,0.49609375
10,2,181,147,0.8121546961325967
10,7,100,13,0.13
10,13,8,0,0.0
10,5,205,69,0.33658536585365856
10,6,153,18,0.11764705882352941
10,14,6,0,0.0
10,12,9,0,0.0
10,9,37,1,0.02702702702702703
10,11,16,0,0.0
10,8,63,6,0.09523809523809523
10,10,29,0,0.0
10,22,1,0,0.0
10,15,2,0,0.0
10,16,5,0,0.0
10,25,1,0,0.0
