iter,utterance_length,nb_utterances,produced,production_score
1,3,394,277,0.7030456852791879
1,2,374,311,0.8315508021390374
1,4,299,140,0.4682274247491639
1,8,85,6,0.07058823529411765
1,6,198,50,0.25252525252525254
1,7,119,13,0.1092436974789916
1,5,274,84,0.30656934306569344
1,9,69,4,0.057971014492753624
1,10,44,1,0.022727272727272728
1,12,17,0,0.0
1,11,26,0,0.0
1,21,1,0,0.0
1,39,1,0,0.0
1,17,2,0,0.0
1,13,13,0,0.0
1,16,11,0,0.0
1,15,8,0,0.0
1,23,1,0,0.0
1,14,6,0,0.0
1,19,1,0,0.0
1,18,1,0,0.0
1,20,1,0,0.0
2,2,377,310,0.8222811671087533
2,3,394,278,0.7055837563451777
2,4,332,163,0.49096385542168675
2,5,272,87,0.31985294117647056
2,6,212,46,0.2169811320754717
2,7,122,9,0.07377049180327869
2,9,62,2,0.03225806451612903
2,8,92,7,0.07608695652173914
2,10,42,2,0.047619047619047616
2,12,17,0,0.0
2,11,37,0,0.0
2,13,8,0,0.0
2,16,11,0,0.0
2,22,1,0,0.0
2,17,1,0,0.0
2,15,10,0,0.0
2,14,9,0,0.0
2,18,1,0,0.0
2,20,1,0,0.0
2,21,1,0,0.0
3,3,379,262,0.6912928759894459
3,2,354,297,0.8389830508474576
3,4,328,153,0.46646341463414637
3,8,79,3,0.0379746835443038
3,5,280,107,0.3821428571428571
3,6,200,41,0.205
3,7,133,15,0.11278195488721804
3,9,76,7,0.09210526315789473
3,10,42,0,0.0
3,13,12,0,0.0
3,11,28,0,0.0
3,12,20,0,0.0
3,14,6,0,0.0
3,15,11,0,0.0
3,39,1,0,0.0
3,22,1,0,0.0
3,16,6,0,0.0
3,23,1,0,0.0
3,20,2,0,0.0
4,2,377,312,0.8275862068965517
4,3,377,257,0.6816976127320955
4,4,325,159,0.48923076923076925
4,5,286,102,0.35664335664335667
4,6,179,42,0.2346368715083799
4,7,105,13,0.12380952380952381
4,13,15,0,0.0
4,8,77,3,0.03896103896103896
4,9,67,2,0.029850746268656716
4,10,32,0,0.0
4,12,14,0,0.0
4,11,33,0,0.0
4,22,1,0,0.0
4,17,4,0,0.0
4,15,10,0,0.0
4,32,1,0,0.0
4,16,4,0,0.0
4,14,6,0,0.0
4,19,1,0,0.0
4,18,2,0,0.0
4,20,1,0,0.0
4,21,1,0,0.0
5,3,378,262,0.6931216931216931
5,2,334,288,0.8622754491017964
5,4,315,162,0.5142857142857142
5,8,77,5,0.06493506493506493
5,6,191,46,0.24083769633507854
5,7,133,12,0.09022556390977443
5,5,272,101,0.3713235294117647
5,13,12,0,0.0
5,9,64,1,0.015625
5,12,16,0,0.0
5,10,47,1,0.02127659574468085
5,11,23,0,0.0
5,17,1,0,0.0
5,14,7,0,0.0
5,16,4,0,0.0
5,15,8,0,0.0
5,32,1,0,0.0
5,19,2,0,0.0
5,18,2,0,0.0
5,20,2,0,0.0
6,3,378,262,0.6931216931216931
6,2,356,293,0.8230337078651685
6,4,301,164,0.5448504983388704
6,7,127,16,0.12598425196850394
6,5,231,82,0.354978354978355
6,6,226,47,0.2079646017699115
6,13,15,0,0.0
6,9,68,5,0.07352941176470588
6,10,37,1,0.02702702702702703
6,8,85,6,0.07058823529411765
6,11,34,2,0.058823529411764705
6,12,13,0,0.0
6,14,8,0,0.0
6,15,8,0,0.0
6,16,7,0,0.0
6,30,1,0,0.0
6,18,1,0,0.0
6,17,2,0,0.0
6,20,2,0,0.0
7,3,375,254,0.6773333333333333
7,2,340,295,0.8676470588235294
7,4,329,169,0.513677811550152
7,8,90,9,0.1
7,5,263,86,0.3269961977186312
7,7,126,9,0.07142857142857142
7,6,190,40,0.21052631578947367
7,9,82,6,0.07317073170731707
7,12,18,0,0.0
7,10,38,1,0.02631578947368421
7,11,26,1,0.038461538461538464
7,21,1,0,0.0
7,14,9,0,0.0
7,16,8,0,0.0
7,13,12,0,0.0
7,15,9,0,0.0
7,17,3,0,0.0
7,19,2,0,0.0
7,18,1,0,0.0
7,20,2,0,0.0
8,3,438,282,0.6438356164383562
8,2,358,303,0.8463687150837989
8,4,317,157,0.4952681388012618
8,8,86,7,0.08139534883720931
8,7,138,17,0.12318840579710146
8,6,206,46,0.22330097087378642
8,5,292,103,0.3527397260273973
8,9,71,5,0.07042253521126761
8,13,16,0,0.0
8,10,31,1,0.03225806451612903
8,11,32,0,0.0
8,12,18,0,0.0
8,39,1,0,0.0
8,16,7,0,0.0
8,17,3,0,0.0
8,15,11,0,0.0
8,14,8,0,0.0
8,18,1,0,0.0
8,19,1,0,0.0
8,20,1,0,0.0
9,2,365,305,0.8356164383561644
9,4,350,171,0.48857142857142855
9,6,203,44,0.21674876847290642
9,3,356,253,0.7106741573033708
9,7,132,11,0.08333333333333333
9,5,274,105,0.38321167883211676
9,8,82,7,0.08536585365853659
9,9,62,8,0.12903225806451613
9,10,40,0,0.0
9,12,23,0,0.0
9,13,12,0,0.0
9,11,25,0,0.0
9,15,9,0,0.0
9,39,1,0,0.0
9,22,1,0,0.0
9,17,4,0,0.0
9,14,7,0,0.0
9,16,9,0,0.0
9,19,2,0,0.0
9,18,2,0,0.0
9,20,1,0,0.0
9,21,1,0,0.0
10,3,387,263,0.6795865633074936
10,2,375,315,0.84
10,4,324,161,0.49691358024691357
10,5,269,95,0.35315985130111527
10,7,127,12,0.09448818897637795
10,6,207,41,0.19806763285024154
10,8,93,10,0.10752688172043011
10,9,69,6,0.08695652173913043
10,10,40,1,0.025
10,12,22,0,0.0
10,11,29,0,0.0
10,16,8,0,0.0
10,22,1,0,0.0
10,14,5,0,0.0
10,13,14,0,0.0
10,15,5,0,0.0
10,30,1,0,0.0
10,17,4,0,0.0
10,19,1,0,0.0
10,23,2,0,0.0
10,20,2,0,0.0
