iter,utterance_length,nb_utterances,produced,production_score
1,2,1198,956,0.7979966611018364
1,11,15,2,0.13333333333333333
1,3,996,599,0.6014056224899599
1,4,691,329,0.4761215629522431
1,5,457,127,0.2778993435448578
1,6,259,54,0.2084942084942085
1,8,84,7,0.08333333333333333
1,7,152,20,0.13157894736842105
1,10,30,2,0.06666666666666667
1,18,1,0,0.0
1,9,42,2,0.047619047619047616
1,12,8,0,0.0
1,14,2,0,0.0
1,13,4,0,0.0
1,15,1,0,0.0
1,23,1,0,0.0
2,2,1180,933,0.7906779661016949
2,4,706,349,0.4943342776203966
2,3,979,591,0.6036772216547498
2,5,452,140,0.30973451327433627
2,6,270,42,0.15555555555555556
2,7,148,16,0.10810810810810811
2,8,84,6,0.07142857142857142
2,9,40,2,0.05
2,10,25,1,0.04
2,12,9,0,0.0
2,11,14,0,0.0
2,14,1,0,0.0
2,16,1,0,0.0
2,13,1,0,0.0
2,15,1,0,0.0
3,2,1179,942,0.7989821882951654
3,3,1017,592,0.5821042281219272
3,7,145,16,0.1103448275862069
3,4,662,311,0.4697885196374622
3,8,81,9,0.1111111111111111
3,6,262,49,0.18702290076335878
3,10,24,4,0.16666666666666666
3,5,448,134,0.29910714285714285
3,9,42,0,0.0
3,18,1,0,0.0
3,11,14,1,0.07142857142857142
3,12,10,0,0.0
3,15,1,0,0.0
3,14,2,0,0.0
3,16,1,0,0.0
3,13,4,0,0.0
3,23,1,0,0.0
4,2,1163,902,0.7755803955288049
4,4,688,320,0.46511627906976744
4,11,20,2,0.1
4,3,949,557,0.5869336143308747
4,6,271,50,0.18450184501845018
4,5,455,144,0.31648351648351647
4,7,152,17,0.1118421052631579
4,10,31,1,0.03225806451612903
4,8,78,5,0.0641025641025641
4,9,56,1,0.017857142857142856
4,12,4,0,0.0
4,16,2,0,0.0
4,17,1,0,0.0
4,13,1,0,0.0
5,2,1187,933,0.7860151642796968
5,3,995,568,0.5708542713567839
5,8,94,7,0.07446808510638298
5,4,673,293,0.43536404160475484
5,6,275,43,0.15636363636363637
5,5,426,119,0.2793427230046948
5,7,167,20,0.11976047904191617
5,10,33,3,0.09090909090909091
5,9,43,1,0.023255813953488372
5,11,11,0,0.0
5,15,1,0,0.0
5,12,6,0,0.0
5,13,2,0,0.0
5,17,2,0,0.0
5,16,2,0,0.0
6,2,1216,948,0.7796052631578947
6,3,952,578,0.6071428571428571
6,7,153,18,0.11764705882352941
6,8,78,7,0.08974358974358974
6,4,707,306,0.4328147100424328
6,5,472,150,0.3177966101694915
6,6,275,50,0.18181818181818182
6,9,42,1,0.023809523809523808
6,18,1,0,0.0
6,10,26,4,0.15384615384615385
6,11,11,0,0.0
6,13,6,0,0.0
6,12,8,0,0.0
6,14,1,0,0.0
6,16,2,0,0.0
6,17,1,0,0.0
6,23,1,0,0.0
7,2,1164,915,0.7860824742268041
7,4,706,336,0.47592067988668557
7,8,82,5,0.06097560975609756
7,3,965,580,0.6010362694300518
7,5,433,128,0.2956120092378753
7,6,261,48,0.1839080459770115
7,10,34,0,0.0
7,9,41,0,0.0
7,7,140,19,0.1357142857142857
7,11,17,1,0.058823529411764705
7,12,8,0,0.0
7,17,3,0,0.0
7,13,1,0,0.0
7,16,2,0,0.0
7,14,1,0,0.0
8,2,1160,905,0.7801724137931034
8,11,17,3,0.17647058823529413
8,4,706,310,0.43909348441926344
8,3,1009,596,0.5906838453914767
8,6,252,56,0.2222222222222222
8,8,88,6,0.06818181818181818
8,5,448,131,0.2924107142857143
8,7,165,18,0.10909090909090909
8,10,26,0,0.0
8,9,49,2,0.04081632653061224
8,18,1,0,0.0
8,12,10,0,0.0
8,13,4,0,0.0
8,16,1,0,0.0
8,14,1,0,0.0
9,2,1172,927,0.7909556313993175
9,4,688,308,0.4476744186046512
9,11,16,1,0.0625
9,3,998,617,0.6182364729458918
9,7,151,17,0.11258278145695365
9,6,259,57,0.22007722007722008
9,8,87,8,0.09195402298850575
9,10,25,3,0.12
9,5,449,129,0.2873051224944321
9,9,42,1,0.023809523809523808
9,18,1,0,0.0
9,12,6,0,0.0
9,16,2,0,0.0
9,17,1,0,0.0
9,13,2,0,0.0
9,15,1,0,0.0
9,23,1,0,0.0
10,2,1197,959,0.8011695906432749
10,4,693,306,0.44155844155844154
10,11,19,4,0.21052631578947367
10,3,974,571,0.5862422997946611
10,8,80,3,0.0375
10,6,252,50,0.1984126984126984
10,5,430,125,0.29069767441860467
10,7,153,16,0.10457516339869281
10,9,39,2,0.05128205128205128
10,12,13,0,0.0
10,13,6,0,0.0
10,10,31,2,0.06451612903225806
10,16,1,0,0.0
10,17,1,0,0.0
10,15,1,0,0.0
