iter,utterance_length,nb_utterances,produced,production_score
1,2,1058,915,0.8648393194706995
1,8,62,7,0.11290322580645161
1,3,866,546,0.6304849884526559
1,11,8,0,0.0
1,5,347,128,0.3688760806916426
1,4,642,321,0.5
1,6,216,59,0.27314814814814814
1,10,14,0,0.0
1,9,29,2,0.06896551724137931
1,14,3,0,0.0
1,7,105,20,0.19047619047619047
1,13,6,0,0.0
1,12,3,0,0.0
1,18,2,0,0.0
1,17,1,0,0.0
1,15,1,0,0.0
2,3,926,605,0.6533477321814255
2,2,957,809,0.845350052246604
2,4,649,336,0.5177195685670262
2,11,10,0,0.0
2,5,344,115,0.33430232558139533
2,9,27,2,0.07407407407407407
2,6,213,59,0.27699530516431925
2,8,63,5,0.07936507936507936
2,10,15,2,0.13333333333333333
2,7,104,19,0.18269230769230768
2,13,5,0,0.0
2,20,1,0,0.0
2,14,3,0,0.0
2,24,1,0,0.0
2,12,6,0,0.0
2,15,2,0,0.0
3,2,998,856,0.8577154308617234
3,8,62,5,0.08064516129032258
3,4,644,318,0.4937888198757764
3,11,14,0,0.0
3,5,368,138,0.375
3,3,927,596,0.6429341963322546
3,9,36,5,0.1388888888888889
3,6,183,48,0.26229508196721313
3,7,102,28,0.27450980392156865
3,13,4,0,0.0
3,10,13,1,0.07692307692307693
3,12,8,0,0.0
3,14,2,1,0.5
4,3,930,575,0.6182795698924731
4,2,1028,875,0.8511673151750972
4,10,13,0,0.0
4,4,639,310,0.48513302034428796
4,11,8,1,0.125
4,5,366,132,0.36065573770491804
4,14,2,0,0.0
4,6,213,44,0.20657276995305165
4,8,66,5,0.07575757575757576
4,7,98,16,0.16326530612244897
4,9,23,2,0.08695652173913043
4,12,9,0,0.0
4,13,5,0,0.0
4,17,1,0,0.0
5,2,995,864,0.8683417085427135
5,4,631,312,0.49445324881141045
5,3,925,602,0.6508108108108108
5,8,63,10,0.15873015873015872
5,5,379,124,0.32717678100263853
5,10,13,0,0.0
5,6,210,49,0.23333333333333334
5,7,111,17,0.15315315315315314
5,9,26,1,0.038461538461538464
5,13,7,0,0.0
5,12,7,0,0.0
5,11,10,0,0.0
5,14,2,0,0.0
5,25,1,0,0.0
6,2,995,855,0.8592964824120602
6,3,918,584,0.6361655773420479
6,10,13,0,0.0
6,4,622,289,0.4646302250803859
6,5,362,132,0.36464088397790057
6,6,209,47,0.22488038277511962
6,14,1,0,0.0
6,8,66,4,0.06060606060606061
6,7,91,12,0.13186813186813187
6,9,25,2,0.08
6,18,2,0,0.0
6,13,4,0,0.0
6,12,8,0,0.0
6,11,16,1,0.0625
6,25,1,0,0.0
6,17,2,0,0.0
6,15,1,0,0.0
7,4,648,321,0.49537037037037035
7,3,935,580,0.6203208556149733
7,2,1000,855,0.855
7,8,52,12,0.23076923076923078
7,10,14,2,0.14285714285714285
7,11,14,0,0.0
7,5,347,130,0.3746397694524496
7,9,27,2,0.07407407407407407
7,6,220,59,0.2681818181818182
7,7,94,15,0.1595744680851064
7,18,2,1,0.5
7,13,3,0,0.0
7,12,4,1,0.25
7,25,1,0,0.0
7,14,2,0,0.0
7,15,1,0,0.0
7,20,1,0,0.0
8,2,1008,849,0.8422619047619048
8,3,966,580,0.6004140786749482
8,4,630,310,0.49206349206349204
8,11,10,0,0.0
8,5,360,126,0.35
8,14,3,1,0.3333333333333333
8,8,59,9,0.15254237288135594
8,6,194,52,0.26804123711340205
8,7,92,19,0.20652173913043478
8,13,6,0,0.0
8,10,12,2,0.16666666666666666
8,9,24,2,0.08333333333333333
8,12,6,0,0.0
8,17,1,0,0.0
8,20,1,0,0.0
9,2,1011,878,0.8684470820969338
9,10,20,1,0.05
9,3,926,596,0.6436285097192225
9,4,610,311,0.5098360655737705
9,11,10,0,0.0
9,5,375,129,0.344
9,9,25,0,0.0
9,14,4,1,0.25
9,6,215,50,0.23255813953488372
9,8,60,8,0.13333333333333333
9,7,97,14,0.14432989690721648
9,13,5,0,0.0
9,18,2,0,0.0
9,12,5,0,0.0
9,17,1,0,0.0
9,16,1,0,0.0
10,2,1044,898,0.8601532567049809
10,4,645,320,0.49612403100775193
10,3,940,605,0.6436170212765957
10,8,68,7,0.10294117647058823
10,10,13,1,0.07692307692307693
10,11,12,0,0.0
10,5,370,134,0.3621621621621622
10,6,204,44,0.21568627450980393
10,7,95,22,0.23157894736842105
10,9,23,0,0.0
10,18,2,0,0.0
10,13,5,0,0.0
10,12,6,0,0.0
10,14,1,1,1.0
10,17,1,0,0.0
