iter,utterance_length,nb_utterances,produced,production_score
1,3,1201,785,0.6536219816819318
1,2,1327,1116,0.8409947249434815
1,4,810,397,0.4901234567901235
1,5,412,173,0.4199029126213592
1,8,24,3,0.125
1,6,203,61,0.30049261083743845
1,7,80,12,0.15
1,9,15,0,0.0
1,11,5,0,0.0
1,10,9,0,0.0
1,12,1,0,0.0
1,13,1,0,0.0
2,3,1160,788,0.6793103448275862
2,2,1321,1089,0.8243754731264193
2,4,800,388,0.485
2,5,419,153,0.36515513126491644
2,8,39,2,0.05128205128205128
2,6,205,62,0.3024390243902439
2,7,83,14,0.1686746987951807
2,9,10,0,0.0
2,11,5,0,0.0
2,10,12,0,0.0
2,13,4,0,0.0
3,3,1187,811,0.6832350463352991
3,2,1317,1095,0.8314350797266514
3,4,825,423,0.5127272727272727
3,5,441,174,0.3945578231292517
3,8,30,1,0.03333333333333333
3,7,80,17,0.2125
3,6,187,65,0.34759358288770054
3,9,14,1,0.07142857142857142
3,10,9,0,0.0
3,12,2,0,0.0
3,13,2,0,0.0
4,3,1157,805,0.6957649092480553
4,2,1347,1130,0.8389012620638456
4,4,758,366,0.48284960422163586
4,5,420,169,0.4023809523809524
4,7,79,12,0.1518987341772152
4,6,184,52,0.2826086956521739
4,9,12,1,0.08333333333333333
4,8,32,1,0.03125
4,11,4,0,0.0
4,10,9,1,0.1111111111111111
4,13,1,0,0.0
4,12,2,0,0.0
4,14,1,0,0.0
5,3,1194,829,0.6943048576214406
5,2,1318,1096,0.8315629742033384
5,4,786,389,0.494910941475827
5,5,415,161,0.38795180722891565
5,9,10,0,0.0
5,6,188,54,0.2872340425531915
5,7,76,14,0.18421052631578946
5,8,30,3,0.1
5,11,5,0,0.0
5,12,1,0,0.0
5,13,4,0,0.0
5,10,7,0,0.0
6,3,1174,798,0.6797274275979557
6,2,1328,1103,0.8305722891566265
6,4,783,404,0.5159642401021711
6,5,412,178,0.4320388349514563
6,6,217,66,0.30414746543778803
6,7,74,12,0.16216216216216217
6,9,14,0,0.0
6,8,34,4,0.11764705882352941
6,11,4,0,0.0
6,10,8,1,0.125
6,13,4,0,0.0
6,12,2,0,0.0
7,3,1167,805,0.689802913453299
7,2,1336,1124,0.8413173652694611
7,4,801,415,0.5181023720349563
7,5,398,171,0.4296482412060301
7,7,83,8,0.0963855421686747
7,6,187,56,0.2994652406417112
7,9,10,0,0.0
7,8,31,5,0.16129032258064516
7,11,3,0,0.0
7,10,7,1,0.14285714285714285
7,16,1,0,0.0
8,2,1266,1056,0.8341232227488151
8,4,792,385,0.4861111111111111
8,3,1162,778,0.6695352839931153
8,7,77,15,0.19480519480519481
8,5,400,164,0.41
8,6,198,56,0.2828282828282828
8,9,14,0,0.0
8,8,28,1,0.03571428571428571
8,11,4,0,0.0
8,10,9,1,0.1111111111111111
8,12,1,0,0.0
8,13,2,0,0.0
9,3,1130,758,0.6707964601769911
9,2,1296,1084,0.8364197530864198
9,4,802,372,0.46384039900249374
9,5,406,170,0.4187192118226601
9,7,80,5,0.0625
9,6,190,58,0.30526315789473685
9,8,29,2,0.06896551724137931
9,9,11,0,0.0
9,11,5,1,0.2
9,10,3,0,0.0
9,16,1,0,0.0
9,13,3,0,0.0
9,12,1,0,0.0
10,3,1182,824,0.6971235194585449
10,2,1304,1101,0.8443251533742331
10,4,845,427,0.5053254437869823
10,5,424,161,0.37971698113207547
10,6,194,53,0.27319587628865977
10,7,80,18,0.225
10,9,8,0,0.0
10,11,6,0,0.0
10,8,23,1,0.043478260869565216
10,10,9,0,0.0
10,12,2,0,0.0
10,13,1,0,0.0
