iter,utterance_length,nb_utterances,produced,production_score
1,4,389,153,0.39331619537275064
1,3,472,306,0.6483050847457628
1,8,38,1,0.02631578947368421
1,5,255,82,0.3215686274509804
1,2,510,432,0.8470588235294118
1,11,5,1,0.2
1,6,155,29,0.1870967741935484
1,21,2,0,0.0
1,7,96,10,0.10416666666666667
1,24,1,0,0.0
1,9,32,1,0.03125
1,10,20,0,0.0
1,13,2,0,0.0
1,12,7,0,0.0
1,19,1,0,0.0
1,15,1,0,0.0
2,4,408,178,0.4362745098039216
2,2,518,431,0.832046332046332
2,7,82,8,0.0975609756097561
2,3,480,291,0.60625
2,6,154,27,0.17532467532467533
2,5,272,71,0.2610294117647059
2,17,2,0,0.0
2,11,6,0,0.0
2,21,2,0,0.0
2,24,2,0,0.0
2,10,16,0,0.0
2,8,42,2,0.047619047619047616
2,9,42,2,0.047619047619047616
2,12,9,0,0.0
2,13,3,0,0.0
2,14,1,0,0.0
2,19,1,0,0.0
3,6,169,34,0.20118343195266272
3,2,511,429,0.8395303326810176
3,4,386,168,0.43523316062176165
3,3,456,291,0.6381578947368421
3,5,285,77,0.27017543859649124
3,11,6,0,0.0
3,7,76,13,0.17105263157894737
3,8,44,2,0.045454545454545456
3,17,2,0,0.0
3,9,28,0,0.0
3,21,1,0,0.0
3,10,22,0,0.0
3,12,3,0,0.0
3,13,2,0,0.0
3,18,1,0,0.0
3,14,1,0,0.0
4,6,157,31,0.19745222929936307
4,3,472,318,0.673728813559322
4,4,390,173,0.44358974358974357
4,7,85,9,0.10588235294117647
4,8,48,2,0.041666666666666664
4,2,473,398,0.8414376321353065
4,5,259,76,0.29343629343629346
4,9,32,2,0.0625
4,10,15,0,0.0
4,12,7,0,0.0
4,17,1,0,0.0
4,21,1,0,0.0
4,11,5,0,0.0
4,13,4,0,0.0
4,16,1,0,0.0
5,4,396,167,0.4217171717171717
5,2,504,419,0.8313492063492064
5,7,91,8,0.08791208791208792
5,3,463,301,0.6501079913606912
5,6,143,28,0.1958041958041958
5,11,11,1,0.09090909090909091
5,5,266,84,0.3157894736842105
5,9,37,1,0.02702702702702703
5,24,1,0,0.0
5,8,39,1,0.02564102564102564
5,10,19,0,0.0
5,12,4,0,0.0
5,17,1,0,0.0
5,13,4,0,0.0
5,14,3,0,0.0
5,19,1,0,0.0
5,15,1,0,0.0
6,2,483,391,0.8095238095238095
6,4,393,183,0.46564885496183206
6,7,99,10,0.10101010101010101
6,8,31,0,0.0
6,5,252,77,0.3055555555555556
6,3,478,300,0.6276150627615062
6,11,3,0,0.0
6,6,163,18,0.11042944785276074
6,9,35,1,0.02857142857142857
6,21,1,0,0.0
6,13,2,0,0.0
6,10,18,0,0.0
6,12,3,0,0.0
6,14,1,0,0.0
6,15,1,0,0.0
7,4,403,175,0.43424317617866004
7,6,155,19,0.12258064516129032
7,2,487,406,0.8336755646817249
7,7,86,6,0.06976744186046512
7,3,468,301,0.6431623931623932
7,5,268,83,0.30970149253731344
7,17,1,0,0.0
7,8,46,2,0.043478260869565216
7,11,4,0,0.0
7,9,31,2,0.06451612903225806
7,21,2,0,0.0
7,10,16,0,0.0
7,14,1,0,0.0
7,12,6,0,0.0
7,13,1,0,0.0
7,18,1,0,0.0
7,19,1,0,0.0
7,15,1,0,0.0
8,4,384,161,0.4192708333333333
8,2,506,422,0.83399209486166
8,3,497,315,0.6338028169014085
8,5,259,85,0.3281853281853282
8,11,8,1,0.125
8,8,42,2,0.047619047619047616
8,6,142,34,0.23943661971830985
8,7,85,9,0.10588235294117647
8,9,35,1,0.02857142857142857
8,10,21,0,0.0
8,13,2,0,0.0
8,12,4,0,0.0
8,17,1,0,0.0
8,14,1,0,0.0
8,18,1,0,0.0
9,4,403,166,0.4119106699751861
9,2,529,446,0.8431001890359168
9,7,84,11,0.13095238095238096
9,8,38,1,0.02631578947368421
9,3,481,313,0.6507276507276507
9,6,143,37,0.25874125874125875
9,5,271,79,0.2915129151291513
9,17,2,0,0.0
9,11,6,0,0.0
9,9,26,1,0.038461538461538464
9,12,1,0,0.0
9,10,13,0,0.0
9,14,3,0,0.0
9,13,3,0,0.0
9,16,1,0,0.0
10,4,418,188,0.44976076555023925
10,7,79,10,0.12658227848101267
10,8,36,1,0.027777777777777776
10,3,464,303,0.6530172413793104
10,5,256,66,0.2578125
10,2,498,418,0.8393574297188755
10,11,4,0,0.0
10,6,153,36,0.23529411764705882
10,9,19,1,0.05263157894736842
10,21,1,0,0.0
10,12,6,0,0.0
10,17,1,0,0.0
10,10,13,0,0.0
10,24,1,0,0.0
10,14,2,0,0.0
10,13,2,0,0.0
10,19,1,0,0.0
