iter,utterance_length,nb_utterances,produced,production_score
1,2,1589,1334,0.8395217117684078
1,3,1255,829,0.6605577689243027
1,4,773,409,0.5291073738680466
1,7,76,21,0.27631578947368424
1,5,398,152,0.38190954773869346
1,6,173,42,0.24277456647398843
1,14,1,0,0.0
1,11,4,0,0.0
1,8,21,4,0.19047619047619047
1,9,11,0,0.0
1,15,1,0,0.0
1,10,2,0,0.0
1,12,1,0,0.0
1,13,1,0,0.0
2,2,1715,1445,0.8425655976676385
2,3,1325,897,0.6769811320754717
2,4,749,380,0.507343124165554
2,5,393,144,0.366412213740458
2,6,170,40,0.23529411764705882
2,11,3,0,0.0
2,10,3,0,0.0
2,7,88,20,0.22727272727272727
2,9,8,0,0.0
2,8,22,4,0.18181818181818182
2,15,1,0,0.0
2,13,1,0,0.0
3,2,1633,1347,0.8248622167789345
3,3,1265,863,0.6822134387351778
3,7,74,15,0.20270270270270271
3,5,397,151,0.380352644836272
3,4,771,378,0.490272373540856
3,6,167,37,0.2215568862275449
3,10,4,0,0.0
3,8,28,6,0.21428571428571427
3,11,2,0,0.0
3,9,9,0,0.0
3,15,1,0,0.0
3,12,1,0,0.0
4,2,1683,1445,0.8585858585858586
4,3,1260,868,0.6888888888888889
4,4,755,393,0.5205298013245033
4,5,369,143,0.3875338753387534
4,6,158,44,0.27848101265822783
4,7,81,19,0.2345679012345679
4,14,1,0,0.0
4,11,2,0,0.0
4,9,15,1,0.06666666666666667
4,8,31,4,0.12903225806451613
4,15,1,0,0.0
4,13,2,1,0.5
4,10,1,0,0.0
5,2,1655,1364,0.8241691842900302
5,4,761,402,0.5282522996057819
5,3,1255,862,0.6868525896414343
5,7,81,23,0.2839506172839506
5,6,163,36,0.22085889570552147
5,5,415,164,0.39518072289156625
5,10,2,0,0.0
5,14,1,0,0.0
5,11,2,0,0.0
5,8,37,4,0.10810810810810811
5,9,11,1,0.09090909090909091
6,2,1636,1385,0.8465770171149144
6,4,742,398,0.5363881401617251
6,3,1235,839,0.6793522267206478
6,7,71,15,0.2112676056338028
6,5,363,159,0.4380165289256198
6,6,154,46,0.2987012987012987
6,14,1,0,0.0
6,11,3,0,0.0
6,8,31,4,0.12903225806451613
6,9,11,0,0.0
6,13,1,1,1.0
6,12,1,0,0.0
6,10,1,0,0.0
7,2,1602,1347,0.8408239700374532
7,3,1269,830,0.6540583136327817
7,4,772,415,0.5375647668393783
7,7,84,21,0.25
7,6,166,45,0.2710843373493976
7,5,401,170,0.4239401496259352
7,14,1,0,0.0
7,11,3,0,0.0
7,9,6,0,0.0
7,8,31,6,0.1935483870967742
7,13,2,1,0.5
7,10,2,0,0.0
8,2,1668,1400,0.8393285371702638
8,3,1243,815,0.6556717618664522
8,4,758,394,0.5197889182058048
8,5,404,148,0.36633663366336633
8,6,161,54,0.33540372670807456
8,10,2,0,0.0
8,7,80,22,0.275
8,8,29,4,0.13793103448275862
8,11,2,0,0.0
8,9,8,0,0.0
8,12,1,0,0.0
9,2,1629,1393,0.8551258440761204
9,3,1263,861,0.6817102137767221
9,4,753,393,0.5219123505976095
9,5,397,149,0.37531486146095716
9,6,169,45,0.26627218934911245
9,14,1,0,0.0
9,8,29,5,0.1724137931034483
9,7,71,19,0.2676056338028169
9,9,11,0,0.0
9,13,1,1,1.0
9,10,2,0,0.0
9,11,2,0,0.0
10,2,1648,1383,0.8391990291262136
10,4,800,431,0.53875
10,3,1219,827,0.6784249384741592
10,5,402,177,0.44029850746268656
10,6,171,51,0.2982456140350877
10,7,72,19,0.2638888888888889
10,10,3,0,0.0
10,14,1,0,0.0
10,11,3,0,0.0
10,8,26,4,0.15384615384615385
10,9,13,2,0.15384615384615385
