iter,utterance_length,nb_utterances,produced,production_score
1,2,1310,1107,0.8450381679389313
1,4,446,256,0.5739910313901345
1,3,1066,785,0.7363977485928705
1,6,70,28,0.4
1,5,200,71,0.355
1,7,42,12,0.2857142857142857
1,8,12,1,0.08333333333333333
1,9,10,1,0.1
1,10,2,0,0.0
2,4,465,234,0.5032258064516129
2,2,1372,1151,0.8389212827988338
2,3,1075,768,0.7144186046511628
2,5,186,70,0.3763440860215054
2,6,61,26,0.4262295081967213
2,7,31,5,0.16129032258064516
2,8,9,0,0.0
2,9,4,0,0.0
2,11,1,0,0.0
2,10,1,0,0.0
2,12,1,0,0.0
3,2,1221,1031,0.8443898443898444
3,3,1040,738,0.7096153846153846
3,4,461,239,0.5184381778741866
3,5,205,75,0.36585365853658536
3,6,57,23,0.40350877192982454
3,7,35,7,0.2
3,8,14,0,0.0
3,10,3,0,0.0
3,9,6,0,0.0
4,2,1236,1045,0.8454692556634305
4,4,460,253,0.55
4,3,1083,768,0.7091412742382271
4,5,204,86,0.4215686274509804
4,7,29,5,0.1724137931034483
4,6,54,19,0.35185185185185186
4,8,13,1,0.07692307692307693
4,11,1,0,0.0
4,9,8,0,0.0
4,10,5,1,0.2
4,12,1,0,0.0
5,2,1344,1143,0.8504464285714286
5,3,1090,781,0.7165137614678899
5,4,463,261,0.5637149028077754
5,6,67,21,0.31343283582089554
5,5,197,71,0.3604060913705584
5,7,39,7,0.1794871794871795
5,8,13,2,0.15384615384615385
5,9,5,1,0.2
5,11,2,0,0.0
5,10,5,0,0.0
6,2,1300,1110,0.8538461538461538
6,3,1094,799,0.7303473491773309
6,5,180,65,0.3611111111111111
6,4,464,266,0.5732758620689655
6,6,66,22,0.3333333333333333
6,7,31,5,0.16129032258064516
6,8,14,1,0.07142857142857142
6,10,7,1,0.14285714285714285
6,9,2,0,0.0
6,18,1,0,0.0
7,2,1306,1096,0.8392036753445635
7,4,465,251,0.5397849462365591
7,3,1093,782,0.7154620311070449
7,5,180,67,0.37222222222222223
7,6,68,24,0.35294117647058826
7,7,44,6,0.13636363636363635
7,9,7,0,0.0
7,10,6,0,0.0
7,8,9,1,0.1111111111111111
7,18,1,0,0.0
8,2,1253,1054,0.8411811652035116
8,3,1112,792,0.7122302158273381
8,4,462,270,0.5844155844155844
8,6,69,24,0.34782608695652173
8,5,204,72,0.35294117647058826
8,7,37,8,0.21621621621621623
8,8,12,0,0.0
8,10,4,0,0.0
8,9,12,2,0.16666666666666666
9,2,1303,1103,0.8465080583269379
9,4,456,246,0.5394736842105263
9,3,1072,759,0.7080223880597015
9,5,196,83,0.42346938775510207
9,7,35,9,0.2571428571428571
9,6,63,26,0.4126984126984127
9,8,14,0,0.0
9,9,7,0,0.0
9,10,4,0,0.0
9,18,1,0,0.0
9,12,1,0,0.0
10,2,1281,1087,0.8485558157689306
10,4,477,265,0.5555555555555556
10,3,1081,769,0.7113783533765032
10,6,63,22,0.3492063492063492
10,5,193,79,0.40932642487046633
10,7,32,6,0.1875
10,8,16,1,0.0625
10,10,1,0,0.0
10,9,8,0,0.0
10,11,2,0,0.0
