iter,utterance_length,nb_utterances,produced,production_score
1,3,3757,3016,0.8027681660899654
1,2,3172,2739,0.8634930643127364
1,4,3332,2354,0.7064825930372148
1,6,1261,583,0.4623314829500397
1,5,2201,1296,0.5888232621535665
1,10,104,10,0.09615384615384616
1,8,366,91,0.24863387978142076
1,7,699,242,0.34620886981402005
1,9,171,29,0.1695906432748538
1,11,47,0,0.0
1,12,28,2,0.07142857142857142
1,13,15,1,0.06666666666666667
1,14,11,0,0.0
1,15,7,0,0.0
1,16,4,0,0.0
1,17,5,0,0.0
1,18,2,0,0.0
1,23,1,0,0.0
1,20,1,0,0.0
2,3,3769,3029,0.803661448660122
2,2,3278,2834,0.8645515558267236
2,4,3285,2319,0.7059360730593607
2,6,1321,594,0.44965934897804694
2,5,2225,1283,0.5766292134831461
2,10,93,7,0.07526881720430108
2,7,697,232,0.3328550932568149
2,8,352,76,0.2159090909090909
2,9,150,18,0.12
2,11,55,3,0.05454545454545454
2,12,30,1,0.03333333333333333
2,19,2,0,0.0
2,13,15,1,0.06666666666666667
2,14,9,0,0.0
2,20,2,0,0.0
2,16,4,0,0.0
2,15,5,0,0.0
2,18,1,0,0.0
2,17,1,0,0.0
2,22,1,0,0.0
2,30,1,0,0.0
2,21,1,0,0.0
3,2,3193,2747,0.8603194487942374
3,3,3714,2967,0.7988691437802908
3,4,3279,2291,0.6986886245806648
3,5,2248,1277,0.5680604982206405
3,10,86,7,0.08139534883720931
3,6,1267,544,0.4293606945540647
3,8,360,74,0.20555555555555555
3,7,676,237,0.3505917159763314
3,9,167,26,0.15568862275449102
3,11,58,0,0.0
3,12,37,1,0.02702702702702703
3,19,1,0,0.0
3,13,19,1,0.05263157894736842
3,14,8,0,0.0
3,20,2,0,0.0
3,15,6,0,0.0
3,18,5,0,0.0
3,16,3,0,0.0
3,17,2,0,0.0
3,22,1,0,0.0
3,23,1,0,0.0
3,21,1,0,0.0
4,3,3642,2924,0.8028555738605162
4,4,3304,2362,0.7148910411622276
4,2,3189,2749,0.8620257133897774
4,5,2211,1301,0.5884215287200362
4,10,81,6,0.07407407407407407
4,6,1279,569,0.44487881157154024
4,7,702,251,0.3575498575498576
4,8,367,84,0.22888283378746593
4,9,178,20,0.11235955056179775
4,11,53,2,0.03773584905660377
4,12,33,2,0.06060606060606061
4,13,15,1,0.06666666666666667
4,14,12,0,0.0
4,15,8,0,0.0
4,16,3,0,0.0
4,18,2,0,0.0
4,17,2,0,0.0
4,21,2,0,0.0
5,2,3163,2722,0.8605754030983244
5,3,3743,3014,0.8052364413572001
5,4,3302,2319,0.7023016353725016
5,5,2208,1241,0.5620471014492754
5,7,708,228,0.3220338983050847
5,6,1354,571,0.4217134416543575
5,9,169,20,0.11834319526627218
5,8,386,96,0.24870466321243523
5,10,82,8,0.0975609756097561
5,11,57,3,0.05263157894736842
5,12,32,0,0.0
5,13,23,0,0.0
5,14,11,0,0.0
5,15,6,0,0.0
5,16,3,0,0.0
5,18,1,0,0.0
5,17,3,0,0.0
5,21,1,0,0.0
6,2,3128,2704,0.8644501278772379
6,3,3799,3010,0.7923137667807317
6,4,3357,2415,0.7193923145665773
6,5,2178,1280,0.5876951331496786
6,10,99,7,0.0707070707070707
6,6,1268,565,0.44558359621451105
6,7,684,223,0.3260233918128655
6,8,354,82,0.23163841807909605
6,9,169,22,0.1301775147928994
6,11,52,2,0.038461538461538464
6,12,33,4,0.12121212121212122
6,19,1,0,0.0
6,16,5,1,0.2
6,13,14,0,0.0
6,14,8,0,0.0
6,18,2,0,0.0
6,15,3,0,0.0
