iter,utterance_length,nb_utterances,produced,production_score
1,2,1878,1518,0.8083067092651757
1,3,1693,1143,0.6751329001772003
1,9,143,2,0.013986013986013986
1,4,1244,646,0.5192926045016077
1,8,255,14,0.054901960784313725
1,5,839,301,0.35876042908224076
1,6,554,118,0.21299638989169675
1,12,54,1,0.018518518518518517
1,7,343,56,0.16326530612244897
1,10,86,6,0.06976744186046512
1,14,31,0,0.0
1,18,6,0,0.0
1,11,63,1,0.015873015873015872
1,13,35,1,0.02857142857142857
1,16,16,0,0.0
1,22,3,0,0.0
1,20,2,0,0.0
1,15,18,0,0.0
1,19,5,0,0.0
1,17,13,0,0.0
1,23,1,0,0.0
1,33,1,0,0.0
1,27,1,0,0.0
1,21,5,0,0.0
1,43,1,0,0.0
1,26,1,0,0.0
2,2,1954,1596,0.8167860798362334
2,3,1561,1050,0.672645739910314
2,4,1301,698,0.536510376633359
2,16,15,0,0.0
2,12,48,1,0.020833333333333332
2,5,942,347,0.36836518046709127
2,8,238,21,0.08823529411764706
2,7,319,42,0.13166144200626959
2,15,24,0,0.0
2,6,557,137,0.2459605026929982
2,10,94,4,0.0425531914893617
2,14,21,0,0.0
2,9,143,7,0.04895104895104895
2,11,56,0,0.0
2,13,31,0,0.0
2,22,3,0,0.0
2,20,5,0,0.0
2,18,6,0,0.0
2,19,8,0,0.0
2,17,6,0,0.0
2,23,2,0,0.0
2,33,1,0,0.0
2,27,1,0,0.0
2,28,3,0,0.0
2,43,1,0,0.0
2,21,2,0,0.0
2,25,1,0,0.0
3,2,1934,1565,0.8092037228541882
3,7,333,51,0.15315315315315314
3,3,1585,1080,0.6813880126182965
3,4,1262,674,0.5340729001584786
3,16,16,0,0.0
3,12,41,2,0.04878048780487805
3,5,869,308,0.35443037974683544
3,8,216,17,0.0787037037037037
3,6,540,120,0.2222222222222222
3,10,86,6,0.06976744186046512
3,9,140,2,0.014285714285714285
3,18,3,0,0.0
3,14,25,0,0.0
3,11,66,1,0.015151515151515152
3,13,37,0,0.0
3,15,21,0,0.0
3,19,10,0,0.0
3,32,1,0,0.0
3,28,3,0,0.0
3,33,1,0,0.0
3,24,2,0,0.0
3,21,3,0,0.0
3,17,9,0,0.0
3,20,1,0,0.0
3,30,1,0,0.0
3,25,1,0,0.0
3,23,1,0,0.0
4,2,1962,1624,0.8277268093781855
4,7,347,49,0.14121037463976946
4,3,1618,1103,0.6817058096415327
4,9,125,5,0.04
4,4,1296,694,0.5354938271604939
4,5,878,310,0.3530751708428246
4,15,24,0,0.0
4,8,220,24,0.10909090909090909
4,6,533,127,0.23827392120075047
4,12,44,2,0.045454545454545456
4,10,76,1,0.013157894736842105
4,14,25,0,0.0
4,11,71,0,0.0
4,18,5,0,0.0
4,16,14,0,0.0
4,13,22,0,0.0
4,19,7,0,0.0
4,32,1,0,0.0
4,21,11,1,0.09090909090909091
4,23,2,0,0.0
4,28,3,0,0.0
4,33,1,0,0.0
4,35,1,0,0.0
4,17,9,0,0.0
4,27,1,0,0.0
4,22,1,0,0.0
4,25,1,0,0.0
4,30,1,0,0.0
4,43,1,0,0.0
4,20,2,0,0.0
4,24,1,0,0.0
5,2,1910,1559,0.8162303664921466
5,7,344,48,0.13953488372093023
5,3,1657,1101,0.6644538322269161
5,4,1300,683,0.5253846153846153
5,16,12,0,0.0
5,8,229,16,0.06986899563318777
5,5,866,309,0.3568129330254042
5,6,564,131,0.2322695035460993
5,15,20,0,0.0
5,12,46,2,0.043478260869565216
5,10,103,6,0.05825242718446602
5,9,121,4,0.03305785123966942
5,11,63,1,0.015873015873015872
5,13,30,1,0.03333333333333333
5,14,27,0,0.0
5,20,3,0,0.0
5,19,5,0,0.0
5,17,12,0,0.0
5,21,3,0,0.0
5,23,2,0,0.0
5,18,5,0,0.0
5,27,1,0,0.0
5,22,1,0,0.0
5,25,1,0,0.0
5,43,1,0,0.0
5,24,1,0,0.0
5,28,1,0,0.0
6,2,1866,1502,0.804930332261522
6,7,334,55,0.16467065868263472
6,3,1591,1079,0.6781898177247014
6,12,53,1,0.018867924528301886
6,4,1231,655,0.5320877335499594
6,5,891,322,0.3613916947250281
6,6,529,125,0.23629489603024575
6,15,21,1,0.047619047619047616
6,8,226,20,0.08849557522123894
6,16,15,0,0.0
6,23,2,0,0.0
6,10,90,5,0.05555555555555555
6,11,71,2,0.028169014084507043
6,9,138,3,0.021739130434782608
6,18,5,0,0.0
6,13,32,1,0.03125
6,14,30,0,0.0
6,20,6,0,0.0
6,17,7,0,0.0
6,19,6,0,0.0
6,21,6,1,0.16666666666666666
6,35,1,0,0.0
6,25,1,0,0.0
6,43,1,0,0.0
6,27,1,0,0.0
6,26,2,0,0.0
6,22,2,0,0.0
6,28,1,0,0.0
7,2,1972,1606,0.8144016227180527
7,3,1607,1080,0.6720597386434349
7,4,1260,681,0.5404761904761904
7,5,872,323,0.3704128440366973
7,8,222,25,0.11261261261261261
7,7,340,55,0.16176470588235295
7,15,20,0,0.0
7,6,551,130,0.23593466424682397
7,10,99,7,0.0707070707070707
7,9,147,4,0.027210884353741496
7,23,3,0,0.0
7,14,29,0,0.0
7,11,57,1,0.017543859649122806
7,16,17,0,0.0
7,13,36,0,0.0
7,12,47,2,0.0425531914893617
7,22,4,0,0.0
7,20,2,0,0.0
7,18,6,0,0.0
7,35,1,0,0.0
7,24,1,0,0.0
7,25,2,0,0.0
7,19,4,0,0.0
7,28,2,0,0.0
7,21,3,0,0.0
7,26,1,0,0.0
7,17,2,0,0.0
8,2,1956,1589,0.8123721881390593
8,7,351,48,0.13675213675213677
8,3,1628,1080,0.6633906633906634
8,4,1186,637,0.5370994940978078
8,8,216,16,0.07407407407407407
8,5,823,282,0.34264884568651277
8,6,541,135,0.24953789279112754
8,9,143,6,0.04195804195804196
8,15,18,0,0.0
8,10,89,6,0.06741573033707865
8,14,25,0,0.0
8,11,49,1,0.02040816326530612
8,13,36,2,0.05555555555555555
8,12,41,2,0.04878048780487805
8,22,2,0,0.0
8,20,3,0,0.0
8,18,5,0,0.0
8,16,14,0,0.0
8,17,13,0,0.0
8,32,1,0,0.0
8,28,4,0,0.0
8,19,4,0,0.0
8,21,5,0,0.0
8,27,1,0,0.0
8,26,1,0,0.0
8,24,1,0,0.0
8,30,1,0,0.0
9,2,1969,1616,0.8207211782630777
9,3,1566,1073,0.6851851851851852
9,7,327,56,0.1712538226299694
9,4,1259,653,0.5186656076250993
9,8,219,25,0.1141552511415525
9,5,872,307,0.35206422018348627
9,6,500,120,0.24
9,15,21,0,0.0
9,10,88,8,0.09090909090909091
9,9,132,6,0.045454545454545456
9,16,13,0,0.0
9,23,4,0,0.0
9,11,75,0,0.0
9,13,35,0,0.0
9,14,24,0,0.0
9,12,46,2,0.043478260869565216
9,22,3,0,0.0
9,20,6,0,0.0
9,18,8,0,0.0
9,19,5,0,0.0
9,17,9,0,0.0
9,21,4,0,0.0
9,33,1,0,0.0
9,27,1,0,0.0
9,28,2,0,0.0
9,25,1,0,0.0
9,43,1,0,0.0
10,7,335,44,0.13134328358208955
10,2,1939,1574,0.8117586384734399
10,3,1616,1106,0.6844059405940595
10,9,143,4,0.027972027972027972
10,4,1247,669,0.5364875701684042
10,16,12,0,0.0
10,8,203,19,0.09359605911330049
10,5,865,305,0.35260115606936415
10,6,554,111,0.2003610108303249
10,10,92,7,0.07608695652173914
10,15,23,0,0.0
10,23,2,0,0.0
10,11,76,0,0.0
10,18,6,0,0.0
10,13,30,0,0.0
10,14,32,0,0.0
10,12,47,0,0.0
10,20,4,0,0.0
10,19,6,0,0.0
10,17,9,0,0.0
10,32,1,0,0.0
10,22,1,0,0.0
10,33,1,0,0.0
10,24,2,0,0.0
10,27,1,0,0.0
10,25,2,0,0.0
10,21,6,1,0.16666666666666666
10,26,1,0,0.0
