iter,utterance_length,nb_utterances,produced,production_score
1,2,1454,1208,0.8308115543328748
1,3,1141,784,0.6871165644171779
1,4,647,368,0.5687789799072643
1,5,332,132,0.39759036144578314
1,6,186,56,0.3010752688172043
1,9,35,4,0.11428571428571428
1,7,103,19,0.18446601941747573
1,8,58,4,0.06896551724137931
1,12,2,0,0.0
1,11,6,0,0.0
1,13,2,0,0.0
1,10,11,1,0.09090909090909091
1,17,1,0,0.0
1,14,1,0,0.0
2,2,1432,1183,0.8261173184357542
2,3,1105,781,0.7067873303167421
2,4,653,357,0.5467075038284839
2,6,152,53,0.34868421052631576
2,9,40,1,0.025
2,5,321,153,0.4766355140186916
2,7,102,21,0.20588235294117646
2,8,50,4,0.08
2,12,1,0,0.0
2,10,17,0,0.0
2,11,10,0,0.0
2,14,3,0,0.0
2,13,3,0,0.0
3,2,1482,1226,0.8272604588394062
3,3,1130,775,0.6858407079646017
3,5,369,151,0.4092140921409214
3,4,633,346,0.5466034755134281
3,6,178,51,0.28651685393258425
3,9,34,1,0.029411764705882353
3,7,101,18,0.1782178217821782
3,8,50,3,0.06
3,10,10,0,0.0
3,11,8,0,0.0
3,14,3,0,0.0
3,12,3,0,0.0
4,2,1428,1167,0.8172268907563025
4,3,1106,748,0.6763110307414105
4,4,632,352,0.5569620253164557
4,5,354,129,0.3644067796610169
4,6,182,64,0.3516483516483517
4,7,107,22,0.205607476635514
4,8,63,7,0.1111111111111111
4,9,22,0,0.0
4,12,2,1,0.5
4,10,13,0,0.0
4,14,5,0,0.0
4,11,7,0,0.0
4,15,1,0,0.0
4,17,1,0,0.0
5,2,1466,1186,0.8090040927694406
5,3,1063,735,0.691439322671684
5,4,656,362,0.551829268292683
5,5,357,152,0.4257703081232493
5,6,170,59,0.34705882352941175
5,7,102,15,0.14705882352941177
5,9,29,2,0.06896551724137931
5,8,57,7,0.12280701754385964
5,10,16,0,0.0
5,11,6,0,0.0
5,13,1,0,0.0
5,14,2,0,0.0
5,12,1,0,0.0
6,2,1453,1186,0.8162422573984859
6,3,1152,800,0.6944444444444444
6,4,665,348,0.5233082706766917
6,5,374,148,0.39572192513368987
6,6,153,47,0.30718954248366015
6,7,93,21,0.22580645161290322
6,9,25,2,0.08
6,8,69,8,0.11594202898550725
6,10,13,0,0.0
6,13,2,0,0.0
6,11,5,0,0.0
6,14,4,0,0.0
6,12,2,0,0.0
7,2,1422,1169,0.8220815752461322
7,3,1072,761,0.7098880597014925
7,4,679,370,0.5449189985272459
7,5,351,121,0.34472934472934474
7,7,99,18,0.18181818181818182
7,6,165,50,0.30303030303030304
7,8,50,6,0.12
7,11,5,0,0.0
7,10,11,0,0.0
7,9,29,0,0.0
7,13,1,0,0.0
7,14,3,0,0.0
8,2,1499,1251,0.8345563709139426
8,3,1104,758,0.6865942028985508
8,4,661,358,0.5416036308623298
8,5,369,144,0.3902439024390244
8,6,179,53,0.29608938547486036
8,7,94,20,0.2127659574468085
8,9,28,2,0.07142857142857142
8,8,47,4,0.0851063829787234
8,12,3,0,0.0
8,10,14,0,0.0
8,11,4,0,0.0
8,13,3,0,0.0
8,14,2,0,0.0
8,15,1,0,0.0
8,17,1,0,0.0
9,2,1462,1219,0.8337893296853626
9,3,1080,742,0.687037037037037
9,4,630,322,0.5111111111111111
9,5,337,154,0.456973293768546
9,6,171,50,0.29239766081871343
9,7,96,19,0.19791666666666666
9,8,54,8,0.14814814814814814
9,9,32,1,0.03125
9,12,4,1,0.25
9,10,13,1,0.07692307692307693
9,11,6,0,0.0
9,13,2,0,0.0
9,14,2,0,0.0
9,15,1,0,0.0
10,2,1412,1146,0.8116147308781869
10,3,1090,735,0.6743119266055045
10,4,644,346,0.5372670807453416
10,5,322,122,0.37888198757763975
10,6,157,38,0.24203821656050956
10,7,102,20,0.19607843137254902
10,8,55,8,0.14545454545454545
10,10,15,1,0.06666666666666667
10,9,31,0,0.0
10,14,3,0,0.0
10,11,4,0,0.0
10,15,1,0,0.0
10,13,1,0,0.0
