iter,utterance_length,nb_utterances,produced,production_score
1,2,609,529,0.8686371100164204
1,4,467,256,0.5481798715203426
1,3,553,378,0.6835443037974683
1,6,250,73,0.292
1,5,320,128,0.4
1,7,210,38,0.18095238095238095
1,8,140,11,0.07857142857142857
1,12,40,1,0.025
1,9,98,5,0.05102040816326531
1,13,23,0,0.0
1,16,12,0,0.0
1,10,77,5,0.06493506493506493
1,11,57,1,0.017543859649122806
1,18,11,0,0.0
1,15,21,0,0.0
1,20,9,0,0.0
1,17,12,0,0.0
1,45,1,0,0.0
1,32,1,0,0.0
1,22,6,0,0.0
1,36,1,0,0.0
1,14,21,0,0.0
1,29,3,0,0.0
1,19,7,0,0.0
1,23,7,0,0.0
1,55,1,0,0.0
1,25,3,0,0.0
1,21,4,0,0.0
1,24,2,0,0.0
1,30,3,0,0.0
1,26,3,0,0.0
1,34,1,0,0.0
1,27,2,0,0.0
1,33,1,0,0.0
1,37,2,0,0.0
1,38,2,0,0.0
1,28,1,0,0.0
1,41,1,0,0.0
1,80,1,0,0.0
2,2,606,517,0.8531353135313532
2,6,256,79,0.30859375
2,4,436,235,0.5389908256880734
2,5,340,132,0.38823529411764707
2,3,546,359,0.6575091575091575
2,7,222,51,0.22972972972972974
2,8,156,9,0.057692307692307696
2,9,106,6,0.05660377358490566
2,11,67,0,0.0
2,12,39,2,0.05128205128205128
2,16,12,0,0.0
2,15,23,0,0.0
2,10,83,0,0.0
2,17,14,0,0.0
2,13,35,0,0.0
2,19,6,0,0.0
2,22,3,0,0.0
2,20,6,0,0.0
2,21,4,0,0.0
2,27,4,0,0.0
2,14,20,0,0.0
2,35,1,0,0.0
2,18,5,0,0.0
2,25,1,0,0.0
2,34,2,0,0.0
2,49,1,0,0.0
2,55,1,0,0.0
2,41,1,0,0.0
2,28,1,0,0.0
2,56,1,0,0.0
2,33,2,0,0.0
2,23,1,0,0.0
2,26,3,0,0.0
2,38,3,0,0.0
2,39,1,0,0.0
2,24,1,0,0.0
3,2,587,501,0.8534923339011925
3,3,579,414,0.7150259067357513
3,4,442,248,0.5610859728506787
3,5,370,141,0.3810810810810811
3,6,249,69,0.27710843373493976
3,7,215,39,0.1813953488372093
3,8,141,17,0.12056737588652482
3,9,91,3,0.03296703296703297
3,11,56,0,0.0
3,15,24,0,0.0
3,13,31,0,0.0
3,16,12,0,0.0
3,10,64,4,0.0625
3,12,42,1,0.023809523809523808
3,14,21,1,0.047619047619047616
3,17,16,0,0.0
3,18,7,0,0.0
3,22,3,0,0.0
3,21,5,0,0.0
3,35,1,0,0.0
3,27,1,0,0.0
3,23,8,0,0.0
3,34,1,0,0.0
3,31,1,0,0.0
3,19,6,0,0.0
3,25,2,0,0.0
3,20,5,0,0.0
3,29,2,0,0.0
3,24,1,0,0.0
3,64,1,0,0.0
3,38,3,0,0.0
3,41,1,0,0.0
3,30,2,0,0.0
3,39,1,0,0.0
3,26,1,0,0.0
4,2,602,505,0.8388704318936877
4,3,548,387,0.7062043795620438
4,8,147,11,0.07482993197278912
4,5,349,139,0.3982808022922636
4,6,270,90,0.3333333333333333
4,4,473,238,0.5031712473572939
4,9,93,3,0.03225806451612903
4,7,201,54,0.26865671641791045
4,11,61,0,0.0
4,16,17,0,0.0
4,15,20,0,0.0
4,10,68,1,0.014705882352941176
4,12,27,0,0.0
4,13,28,0,0.0
4,19,9,0,0.0
4,45,1,0,0.0
4,14,15,0,0.0
4,18,9,0,0.0
4,21,5,0,0.0
4,27,3,0,0.0
4,23,6,0,0.0
4,49,1,0,0.0
4,31,1,0,0.0
4,17,17,0,0.0
4,41,2,0,0.0
