iter,utterance_length,nb_utterances,produced,production_score
1,2,152,119,0.7828947368421053
1,4,190,90,0.47368421052631576
1,3,244,170,0.6967213114754098
1,5,164,66,0.4024390243902439
1,7,95,8,0.08421052631578947
1,6,116,30,0.25862068965517243
1,13,9,0,0.0
1,14,3,0,0.0
1,8,64,8,0.125
1,16,1,0,0.0
1,12,5,0,0.0
1,11,13,0,0.0
1,10,24,1,0.041666666666666664
1,15,2,0,0.0
1,9,41,2,0.04878048780487805
1,19,1,0,0.0
1,17,1,0,0.0
1,20,1,0,0.0
2,2,160,121,0.75625
2,3,251,178,0.7091633466135459
2,5,162,58,0.35802469135802467
2,7,85,16,0.18823529411764706
2,6,129,34,0.26356589147286824
2,13,8,0,0.0
2,4,191,94,0.49214659685863876
2,9,43,1,0.023255813953488372
2,14,4,0,0.0
2,12,4,0,0.0
2,11,13,0,0.0
2,8,60,4,0.06666666666666667
2,15,1,0,0.0
2,10,20,1,0.05
2,16,1,0,0.0
2,19,1,0,0.0
2,37,1,0,0.0
3,2,160,127,0.79375
3,3,220,157,0.7136363636363636
3,6,119,24,0.20168067226890757
3,13,6,0,0.0
3,4,199,99,0.49748743718592964
3,5,152,56,0.3684210526315789
3,14,5,0,0.0
3,7,89,8,0.0898876404494382
3,16,4,0,0.0
3,10,18,0,0.0
3,8,62,8,0.12903225806451613
3,15,2,0,0.0
3,9,33,1,0.030303030303030304
3,11,11,0,0.0
3,19,1,0,0.0
3,20,1,0,0.0
3,37,1,0,0.0
3,12,3,0,0.0
3,17,1,0,0.0
4,2,159,122,0.7672955974842768
4,3,252,175,0.6944444444444444
4,7,97,12,0.12371134020618557
4,5,163,51,0.3128834355828221
4,4,206,109,0.529126213592233
4,18,1,0,0.0
4,11,18,0,0.0
4,14,6,0,0.0
4,6,129,24,0.18604651162790697
4,16,3,0,0.0
4,10,18,0,0.0
4,8,64,9,0.140625
4,9,43,1,0.023255813953488372
4,13,8,0,0.0
4,15,3,0,0.0
4,12,2,0,0.0
4,37,1,0,0.0
4,17,2,0,0.0
4,20,1,0,0.0
5,2,181,141,0.7790055248618785
5,3,250,175,0.7
5,7,97,13,0.13402061855670103
5,18,1,0,0.0
5,11,16,0,0.0
5,13,5,0,0.0
5,5,168,60,0.35714285714285715
5,4,200,91,0.455
5,8,73,6,0.0821917808219178
5,6,120,32,0.26666666666666666
5,14,7,0,0.0
5,16,2,0,0.0
5,9,40,1,0.025
5,15,1,0,0.0
5,10,17,0,0.0
5,20,1,0,0.0
5,19,1,0,0.0
5,17,3,0,0.0
5,12,4,0,0.0
6,2,169,134,0.7928994082840237
6,3,259,196,0.7567567567567568
6,4,204,97,0.47549019607843135
6,5,165,62,0.37575757575757573
6,13,6,0,0.0
6,7,100,16,0.16
6,8,63,5,0.07936507936507936
6,6,113,32,0.2831858407079646
6,14,6,0,0.0
6,16,1,0,0.0
6,10,16,0,0.0
6,9,45,2,0.044444444444444446
6,11,14,1,0.07142857142857142
6,15,2,0,0.0
6,12,5,0,0.0
6,17,1,0,0.0
6,20,1,0,0.0
7,2,161,123,0.7639751552795031
7,3,231,170,0.7359307359307359
7,7,89,16,0.1797752808988764
7,4,205,109,0.5317073170731708
7,10,19,0,0.0
7,18,1,0,0.0
7,5,179,64,0.3575418994413408
7,13,7,0,0.0
7,6,148,35,0.23648648648648649
7,14,5,0,0.0
7,15,3,0,0.0
7,8,65,4,0.06153846153846154
7,9,29,2,0.06896551724137931
7,11,13,0,0.0
7,16,2,0,0.0
7,20,1,0,0.0
7,17,2,0,0.0
7,12,1,0,0.0
8,3,224,160,0.7142857142857143
8,4,208,112,0.5384615384615384
8,10,19,0,0.0
8,13,6,0,0.0
8,8,63,4,0.06349206349206349
8,5,157,53,0.3375796178343949
8,7,90,10,0.1111111111111111
8,2,166,123,0.7409638554216867
8,6,119,20,0.16806722689075632
8,11,16,0,0.0
8,9,31,2,0.06451612903225806
8,15,2,0,0.0
8,14,3,0,0.0
8,12,6,0,0.0
8,19,2,0,0.0
8,20,2,0,0.0
8,17,1,0,0.0
8,16,1,0,0.0
9,2,166,122,0.7349397590361446
9,3,228,154,0.6754385964912281
9,4,196,98,0.5
9,7,89,12,0.1348314606741573
9,5,166,56,0.3373493975903614
9,6,121,24,0.19834710743801653
9,11,15,0,0.0
9,8,70,5,0.07142857142857142
9,14,8,0,0.0
9,16,1,0,0.0
9,9,31,0,0.0
9,15,3,0,0.0
9,10,24,1,0.041666666666666664
9,12,3,0,0.0
9,13,6,0,0.0
9,17,4,0,0.0
9,20,1,0,0.0
10,2,165,134,0.8121212121212121
10,4,215,114,0.5302325581395348
10,3,258,183,0.7093023255813954
10,6,137,37,0.27007299270072993
10,13,10,0,0.0
10,5,138,43,0.3115942028985507
10,8,66,7,0.10606060606060606
10,7,80,11,0.1375
10,10,14,0,0.0
10,12,5,0,0.0
10,11,11,0,0.0
10,9,31,0,0.0
10,14,4,0,0.0
10,16,3,0,0.0
10,15,3,0,0.0
10,17,3,0,0.0
10,20,1,0,0.0
