iter,utterance_length,nb_utterances,produced,production_score
1,2,1660,1418,0.8542168674698796
1,3,1280,943,0.73671875
1,5,376,136,0.3617021276595745
1,4,723,385,0.5325034578146611
1,6,178,38,0.21348314606741572
1,9,36,1,0.027777777777777776
1,12,7,1,0.14285714285714285
1,10,21,2,0.09523809523809523
1,7,113,21,0.18584070796460178
1,8,58,11,0.1896551724137931
1,11,13,1,0.07692307692307693
1,13,5,0,0.0
1,18,1,0,0.0
1,22,3,0,0.0
1,17,2,1,0.5
1,14,3,0,0.0
1,21,1,0,0.0
1,15,3,0,0.0
1,16,1,0,0.0
1,23,1,0,0.0
2,3,1300,954,0.7338461538461538
2,4,693,377,0.5440115440115441
2,2,1629,1391,0.8538980969920197
2,5,387,137,0.35400516795865633
2,7,110,18,0.16363636363636364
2,9,36,2,0.05555555555555555
2,8,61,7,0.11475409836065574
2,6,192,37,0.19270833333333334
2,11,9,1,0.1111111111111111
2,16,2,0,0.0
2,19,3,0,0.0
2,14,6,0,0.0
2,13,3,0,0.0
2,10,21,1,0.047619047619047616
2,12,5,1,0.2
2,17,5,1,0.2
2,18,2,0,0.0
2,20,1,0,0.0
2,15,3,0,0.0
2,22,2,0,0.0
2,38,1,0,0.0
3,4,740,399,0.5391891891891892
3,2,1565,1329,0.8492012779552716
3,7,103,19,0.18446601941747573
3,3,1248,928,0.7435897435897436
3,5,390,153,0.3923076923076923
3,13,7,1,0.14285714285714285
3,11,11,0,0.0
3,12,7,1,0.14285714285714285
3,6,198,38,0.1919191919191919
3,10,18,1,0.05555555555555555
3,9,33,1,0.030303030303030304
3,8,49,2,0.04081632653061224
3,19,3,0,0.0
3,14,4,1,0.25
3,17,2,0,0.0
3,16,3,0,0.0
3,22,4,0,0.0
3,15,2,0,0.0
3,38,1,0,0.0
4,3,1295,942,0.7274131274131274
4,4,742,381,0.5134770889487871
4,2,1580,1342,0.8493670886075949
4,6,198,47,0.23737373737373738
4,7,90,14,0.15555555555555556
4,5,405,146,0.36049382716049383
4,9,38,0,0.0
4,10,23,1,0.043478260869565216
4,8,60,8,0.13333333333333333
4,16,2,0,0.0
4,14,5,0,0.0
4,11,9,1,0.1111111111111111
4,13,6,0,0.0
4,12,5,0,0.0
4,17,3,0,0.0
4,18,1,0,0.0
4,19,1,0,0.0
5,4,694,388,0.5590778097982709
5,5,384,148,0.3854166666666667
5,3,1294,961,0.7426584234930448
5,2,1629,1392,0.85451197053407
5,6,191,37,0.193717277486911
5,7,101,16,0.15841584158415842
5,10,17,2,0.11764705882352941
5,8,44,2,0.045454545454545456
5,9,36,1,0.027777777777777776
5,16,2,0,0.0
5,13,7,0,0.0
5,19,2,0,0.0
5,18,2,0,0.0
5,11,13,2,0.15384615384615385
5,14,4,0,0.0
5,17,2,1,0.5
5,12,4,0,0.0
5,22,3,0,0.0
5,20,1,0,0.0
5,21,1,0,0.0
5,15,2,0,0.0
6,3,1294,975,0.7534775888717156
6,4,700,384,0.5485714285714286
6,2,1611,1385,0.8597144630664184
6,6,172,34,0.19767441860465115
6,9,42,0,0.0
6,13,5,0,0.0
6,11,12,2,0.16666666666666666
6,5,358,136,0.37988826815642457
6,12,5,1,0.2
6,7,100,10,0.1
6,10,13,0,0.0
6,8,54,4,0.07407407407407407
6,14,6,0,0.0
6,17,1,0,0.0
6,18,1,0,0.0
6,22,2,0,0.0
6,15,2,0,0.0
6,16,1,0,0.0
6,19,1,0,0.0
6,38,1,0,0.0
6,23,1,0,0.0
7,2,1615,1394,0.8631578947368421
7,3,1267,914,0.7213891081294396
7,5,390,139,0.3564102564102564
7,4,710,374,0.5267605633802817
7,7,105,15,0.14285714285714285
7,9,32,3,0.09375
7,12,5,1,0.2
7,8,67,6,0.08955223880597014
7,6,197,47,0.23857868020304568
7,10,18,3,0.16666666666666666
7,11,14,1,0.07142857142857142
7,14,4,0,0.0
7,18,2,0,0.0
7,13,4,0,0.0
7,17,3,1,0.3333333333333333
7,15,1,0,0.0
7,16,1,0,0.0
7,22,1,0,0.0
7,19,1,0,0.0
7,23,1,0,0.0
8,2,1567,1356,0.8653477983407786
8,3,1259,924,0.7339158061953932
8,6,214,51,0.2383177570093458
8,7,96,16,0.16666666666666666
8,4,743,413,0.5558546433378196
8,9,39,2,0.05128205128205128
8,5,385,145,0.37662337662337664
8,8,44,4,0.09090909090909091
8,10,19,0,0.0
8,11,18,1,0.05555555555555555
8,13,6,0,0.0
8,12,6,0,0.0
8,14,2,0,0.0
8,16,2,0,0.0
8,18,1,0,0.0
8,17,1,0,0.0
8,21,1,0,0.0
8,22,3,0,0.0
8,19,2,0,0.0
8,38,1,0,0.0
8,15,1,0,0.0
8,23,1,0,0.0
9,4,703,396,0.5633001422475107
9,3,1240,906,0.7306451612903225
9,2,1530,1323,0.8647058823529412
9,6,181,35,0.19337016574585636
9,5,350,133,0.38
9,9,33,1,0.030303030303030304
9,13,6,0,0.0
9,11,18,1,0.05555555555555555
9,8,48,6,0.125
9,7,97,22,0.2268041237113402
9,12,4,0,0.0
9,10,21,1,0.047619047619047616
9,16,2,0,0.0
9,19,3,0,0.0
9,14,4,0,0.0
9,17,3,0,0.0
9,18,2,0,0.0
9,15,2,0,0.0
9,22,2,0,0.0
9,38,1,0,0.0
9,23,1,0,0.0
10,4,724,396,0.5469613259668509
10,3,1261,922,0.7311657414750198
10,2,1631,1396,0.8559166155732679
10,6,188,36,0.19148936170212766
10,5,359,135,0.37604456824512533
10,9,31,1,0.03225806451612903
10,8,50,5,0.1
10,7,98,19,0.19387755102040816
10,11,12,1,0.08333333333333333
10,16,3,0,0.0
10,13,7,0,0.0
10,10,14,1,0.07142857142857142
10,19,1,0,0.0
10,14,6,0,0.0
10,12,5,0,0.0
10,18,3,0,0.0
10,17,2,0,0.0
10,15,1,0,0.0
10,22,2,0,0.0
