iter,utterance_length,nb_utterances,produced,production_score
1,3,1041,738,0.7089337175792507
1,4,675,306,0.4533333333333333
1,2,1001,854,0.8531468531468531
1,5,396,134,0.3383838383838384
1,6,222,44,0.1981981981981982
1,7,125,19,0.152
1,9,61,3,0.04918032786885246
1,11,21,1,0.047619047619047616
1,8,67,3,0.04477611940298507
1,10,40,1,0.025
1,14,3,0,0.0
1,12,14,0,0.0
1,28,1,0,0.0
1,17,4,0,0.0
1,15,5,0,0.0
1,13,5,0,0.0
1,21,1,0,0.0
1,18,1,0,0.0
2,5,394,119,0.3020304568527919
2,3,1081,770,0.7123034227567068
2,2,1053,908,0.862298195631529
2,4,670,327,0.4880597014925373
2,7,141,15,0.10638297872340426
2,6,229,53,0.2314410480349345
2,8,77,5,0.06493506493506493
2,9,68,6,0.08823529411764706
2,11,33,2,0.06060606060606061
2,12,11,0,0.0
2,13,10,0,0.0
2,10,34,0,0.0
2,14,5,0,0.0
2,17,4,0,0.0
2,15,10,0,0.0
2,20,1,0,0.0
2,16,4,0,0.0
2,35,1,0,0.0
2,29,1,0,0.0
2,18,1,0,0.0
3,3,1047,726,0.6934097421203438
3,2,1079,931,0.8628359592215014
3,7,138,10,0.07246376811594203
3,4,676,322,0.47633136094674555
3,6,245,39,0.15918367346938775
3,12,18,0,0.0
3,5,389,118,0.3033419023136247
3,8,83,4,0.04819277108433735
3,9,62,4,0.06451612903225806
3,11,26,1,0.038461538461538464
3,10,31,0,0.0
3,14,4,0,0.0
3,17,4,0,0.0
3,15,7,0,0.0
3,30,1,0,0.0
3,20,2,0,0.0
3,13,6,0,0.0
3,16,4,0,0.0
3,18,2,0,0.0
3,29,1,0,0.0
4,2,1040,916,0.8807692307692307
4,4,661,325,0.491679273827534
4,3,1081,780,0.7215541165587419
4,7,124,9,0.07258064516129033
4,5,430,130,0.3023255813953488
4,9,55,1,0.01818181818181818
4,6,232,39,0.16810344827586207
4,8,81,3,0.037037037037037035
4,11,24,1,0.041666666666666664
4,10,25,0,0.0
4,14,7,0,0.0
4,28,1,0,0.0
4,17,7,0,0.0
4,12,16,0,0.0
4,15,6,0,0.0
4,13,5,0,0.0
4,19,1,0,0.0
4,16,4,0,0.0
4,20,1,0,0.0
4,29,1,0,0.0
4,18,1,0,0.0
5,5,435,131,0.30114942528735633
5,3,1087,765,0.703771849126035
5,4,655,322,0.4916030534351145
5,2,1021,901,0.8824681684622919
5,6,244,40,0.16393442622950818
5,12,20,0,0.0
5,7,125,12,0.096
5,9,63,2,0.031746031746031744
5,8,71,5,0.07042253521126761
5,11,20,0,0.0
5,10,38,0,0.0
5,28,1,0,0.0
5,17,6,0,0.0
5,13,8,0,0.0
5,15,7,0,0.0
5,14,3,0,0.0
5,20,2,0,0.0
5,16,5,0,0.0
5,18,1,0,0.0
6,5,439,123,0.28018223234624146
6,2,1010,867,0.8584158415841584
6,4,666,325,0.487987987987988
6,3,1024,710,0.693359375
6,7,151,15,0.09933774834437085
6,6,230,44,0.19130434782608696
6,8,91,1,0.01098901098901099
6,11,27,0,0.0
6,9,56,2,0.03571428571428571
6,10,31,0,0.0
6,14,4,0,0.0
6,12,14,0,0.0
6,15,8,0,0.0
6,13,8,0,0.0
6,17,4,0,0.0
6,16,2,0,0.0
6,29,1,0,0.0
7,2,1043,916,0.87823585810163
7,4,682,330,0.4838709677419355
7,3,1078,752,0.6975881261595547
7,7,144,17,0.11805555555555555
7,5,433,124,0.2863741339491917
7,6,240,34,0.14166666666666666
7,8,84,4,0.047619047619047616
7,9,61,2,0.03278688524590164
7,12,20,0,0.0
7,11,17,0,0.0
7,10,29,0,0.0
7,28,1,0,0.0
7,17,6,0,0.0
7,14,4,0,0.0
7,15,7,0,0.0
7,16,2,0,0.0
7,13,3,0,0.0
7,35,1,0,0.0
7,20,1,0,0.0
7,18,2,0,0.0
8,5,423,147,0.3475177304964539
8,3,1112,768,0.6906474820143885
8,2,1047,914,0.8729703915950334
8,4,686,356,0.5189504373177842
8,7,135,17,0.1259259259259259
8,12,17,0,0.0
8,8,96,6,0.0625
8,9,60,1,0.016666666666666666
8,6,244,44,0.18032786885245902
8,11,26,1,0.038461538461538464
8,14,5,0,0.0
8,10,34,0,0.0
8,28,1,0,0.0
8,17,4,0,0.0
8,15,8,0,0.0
8,13,4,0,0.0
8,35,1,0,0.0
8,16,2,0,0.0
8,29,1,0,0.0
9,3,1094,764,0.6983546617915904
9,4,663,321,0.4841628959276018
9,2,998,863,0.8647294589178357
9,5,414,137,0.3309178743961353
9,6,236,39,0.1652542372881356
9,12,19,0,0.0
9,7,133,8,0.06015037593984962
9,8,88,3,0.03409090909090909
9,9,67,1,0.014925373134328358
9,11,28,0,0.0
9,10,32,0,0.0
9,14,3,0,0.0
9,28,1,0,0.0
9,17,4,0,0.0
9,15,6,0,0.0
9,20,2,0,0.0
9,13,7,0,0.0
9,18,1,0,0.0
9,29,1,0,0.0
9,16,1,0,0.0
10,3,1108,779,0.7030685920577617
10,4,656,328,0.5
10,2,1047,912,0.8710601719197708
10,7,131,14,0.10687022900763359
10,6,231,48,0.2077922077922078
10,12,20,0,0.0
10,5,407,131,0.32186732186732187
10,8,69,5,0.07246376811594203
10,9,61,6,0.09836065573770492
10,14,10,0,0.0
10,13,5,0,0.0
10,11,18,0,0.0
10,10,38,0,0.0
10,17,9,0,0.0
10,15,6,0,0.0
10,30,1,0,0.0
10,19,1,0,0.0
10,16,2,0,0.0
10,35,1,0,0.0
10,20,1,0,0.0
10,29,1,0,0.0
10,18,1,0,0.0
