iter,utterance_length,nb_utterances,produced,production_score
1,2,2172,1871,0.8614180478821363
1,4,1683,891,0.5294117647058824
1,5,1109,474,0.42741208295761945
1,3,2336,1692,0.7243150684931506
1,7,444,94,0.21171171171171171
1,8,212,33,0.15566037735849056
1,6,692,205,0.29624277456647397
1,9,135,15,0.1111111111111111
1,10,84,5,0.05952380952380952
1,12,30,1,0.03333333333333333
1,11,29,0,0.0
1,25,4,1,0.25
1,15,6,0,0.0
1,13,16,0,0.0
1,14,17,1,0.058823529411764705
1,17,5,0,0.0
1,21,1,0,0.0
1,24,1,0,0.0
1,16,4,1,0.25
1,19,4,0,0.0
1,18,1,0,0.0
1,20,2,0,0.0
2,2,2129,1794,0.8426491310474401
2,3,2347,1677,0.7145291861951427
2,4,1683,917,0.5448603683897801
2,5,1120,426,0.38035714285714284
2,6,682,182,0.2668621700879765
2,8,252,29,0.11507936507936507
2,7,435,76,0.17471264367816092
2,9,128,11,0.0859375
2,10,67,3,0.04477611940298507
2,13,14,0,0.0
2,11,44,1,0.022727272727272728
2,12,30,2,0.06666666666666667
2,14,19,0,0.0
2,15,4,0,0.0
2,17,3,0,0.0
2,18,4,1,0.25
2,21,2,0,0.0
2,16,6,0,0.0
2,25,1,0,0.0
2,27,1,0,0.0
2,33,1,0,0.0
2,28,1,0,0.0
2,19,2,0,0.0
2,20,1,0,0.0
3,2,2147,1812,0.8439683278993945
3,4,1641,879,0.5356489945155393
3,3,2297,1648,0.717457553330431
3,5,1109,462,0.4165915238954013
3,7,469,99,0.21108742004264391
3,6,664,198,0.29819277108433734
3,8,220,37,0.16818181818181818
3,9,139,14,0.10071942446043165
3,10,65,5,0.07692307692307693
3,13,17,0,0.0
3,12,25,1,0.04
3,11,49,1,0.02040816326530612
3,14,11,1,0.09090909090909091
3,15,7,0,0.0
3,16,5,0,0.0
3,18,1,0,0.0
3,19,1,0,0.0
3,25,1,1,1.0
3,17,3,0,0.0
3,21,1,0,0.0
3,24,1,0,0.0
4,2,2147,1806,0.8411737307871449
4,3,2306,1667,0.722896790980052
4,4,1667,922,0.5530893821235753
4,5,1118,472,0.4221824686940966
4,7,448,78,0.17410714285714285
4,6,706,212,0.3002832861189802
4,8,217,30,0.1382488479262673
4,9,129,12,0.09302325581395349
4,10,85,2,0.023529411764705882
4,13,16,0,0.0
4,12,35,1,0.02857142857142857
4,15,8,0,0.0
4,11,37,0,0.0
4,14,21,0,0.0
4,19,4,0,0.0
4,17,5,0,0.0
4,21,1,0,0.0
4,18,1,0,0.0
4,25,1,0,0.0
4,16,7,1,0.14285714285714285
4,20,2,0,0.0
4,28,1,0,0.0
5,2,2202,1880,0.8537693006357856
5,3,2300,1666,0.7243478260869565
5,5,1077,472,0.4382544103992572
5,4,1600,853,0.533125
5,7,462,93,0.2012987012987013
5,8,218,27,0.12385321100917432
5,6,696,201,0.28879310344827586
5,9,132,14,0.10606060606060606
5,10,78,5,0.0641025641025641
5,11,42,1,0.023809523809523808
5,12,37,2,0.05405405405405406
5,14,18,1,0.05555555555555555
5,15,5,0,0.0
5,13,15,1,0.06666666666666667
5,16,5,0,0.0
5,17,4,0,0.0
5,19,3,0,0.0
5,18,3,1,0.3333333333333333
5,25,3,0,0.0
5,33,1,0,0.0
5,21,1,0,0.0
5,20,1,0,0.0
6,2,2121,1802,0.8495992456388496
6,3,2274,1648,0.7247141600703606
6,4,1615,877,0.5430340557275541
6,5,1108,442,0.3989169675090253
6,7,457,90,0.19693654266958424
6,8,240,24,0.1
6,6,691,190,0.27496382054992763
6,9,125,11,0.088
6,10,74,1,0.013513513513513514
6,11,41,1,0.024390243902439025
6,12,30,0,0.0
6,13,20,1,0.05
6,14,15,0,0.0
6,18,4,1,0.25
6,15,6,0,0.0
6,17,3,0,0.0
6,19,3,0,0.0
6,25,1,1,1.0
6,33,1,0,0.0
6,20,3,0,0.0
6,21,1,0,0.0
6,16,4,0,0.0
7,2,2193,1847,0.8422252621979024
7,3,2272,1648,0.7253521126760564
7,4,1570,840,0.535031847133758
7,5,1089,443,0.4067952249770432
7,8,243,19,0.07818930041152264
7,6,708,211,0.2980225988700565
7,9,126,13,0.10317460317460317
7,13,20,0,0.0
7,7,469,87,0.18550106609808104
7,10,80,4,0.05
7,15,10,0,0.0
7,11,39,0,0.0
7,12,30,1,0.03333333333333333
7,14,22,1,0.045454545454545456
7,19,4,0,0.0
7,25,4,1,0.25
7,17,6,0,0.0
7,24,2,0,0.0
7,18,2,0,0.0
7,16,5,1,0.2
7,27,1,0,0.0
7,33,1,0,0.0
7,20,1,0,0.0
7,21,1,0,0.0
7,28,1,0,0.0
8,2,2129,1791,0.8412400187881635
8,3,2329,1656,0.7110347788750536
8,4,1613,888,0.5505269683818971
8,5,1136,459,0.4040492957746479
8,7,435,78,0.1793103448275862
8,6,632,188,0.2974683544303797
8,8,223,27,0.1210762331838565
8,9,118,12,0.1016949152542373
8,13,22,0,0.0
8,12,32,0,0.0
8,15,6,0,0.0
8,11,42,0,0.0
8,10,74,1,0.013513513513513514
8,14,21,1,0.047619047619047616
8,18,3,1,0.3333333333333333
8,21,2,0,0.0
8,17,2,0,0.0
8,24,1,0,0.0
8,16,4,1,0.25
8,27,1,0,0.0
8,25,2,1,0.5
8,20,1,0,0.0
8,19,1,0,0.0
9,2,2205,1855,0.8412698412698413
9,4,1668,884,0.5299760191846523
9,3,2308,1635,0.7084055459272097
9,5,1117,457,0.40913160250671443
9,6,691,202,0.29232995658465993
9,7,427,103,0.24121779859484777
9,9,137,11,0.08029197080291971
9,10,76,5,0.06578947368421052
9,8,240,30,0.125
9,12,24,1,0.041666666666666664
9,11,45,0,0.0
9,19,4,0,0.0
9,25,1,0,0.0
9,14,15,1,0.06666666666666667
9,15,7,0,0.0
9,13,16,1,0.0625
9,17,4,0,0.0
9,16,8,1,0.125
9,33,1,0,0.0
9,20,3,0,0.0
9,28,1,0,0.0
9,24,1,0,0.0
10,2,2112,1773,0.8394886363636364
10,3,2323,1660,0.7145931984502798
10,4,1570,849,0.5407643312101911
10,5,1128,458,0.40602836879432624
10,7,438,77,0.17579908675799086
10,6,653,180,0.27565084226646247
10,8,238,29,0.12184873949579832
10,9,123,9,0.07317073170731707
10,10,71,3,0.04225352112676056
10,12,36,0,0.0
10,11,41,0,0.0
10,25,3,2,0.6666666666666666
10,14,10,1,0.1
10,15,6,0,0.0
10,13,17,0,0.0
10,18,1,0,0.0
10,21,1,0,0.0
10,17,6,0,0.0
10,19,4,0,0.0
10,16,2,0,0.0
10,28,1,0,0.0
