iter,utterance_length,nb_utterances,produced,production_score
1,2,1683,1403,0.833630421865716
1,3,1796,1221,0.6798440979955457
1,8,217,21,0.0967741935483871
1,7,388,54,0.13917525773195877
1,5,959,349,0.36392075078206465
1,4,1399,669,0.4781987133666905
1,6,606,140,0.23102310231023102
1,9,165,5,0.030303030303030304
1,17,13,0,0.0
1,11,69,3,0.043478260869565216
1,10,89,4,0.0449438202247191
1,18,7,0,0.0
1,16,22,0,0.0
1,12,40,0,0.0
1,19,5,0,0.0
1,13,28,0,0.0
1,15,20,0,0.0
1,14,30,0,0.0
1,21,5,0,0.0
1,30,1,0,0.0
1,25,1,0,0.0
1,23,2,0,0.0
1,29,1,0,0.0
1,33,1,0,0.0
1,20,4,0,0.0
1,32,1,0,0.0
1,24,1,0,0.0
1,28,1,0,0.0
1,22,2,0,0.0
2,2,1728,1420,0.8217592592592593
2,3,1747,1212,0.6937607326846021
2,4,1420,735,0.5176056338028169
2,5,957,367,0.3834900731452456
2,9,165,11,0.06666666666666667
2,6,599,128,0.21368948247078465
2,7,376,63,0.1675531914893617
2,8,211,19,0.09004739336492891
2,11,69,0,0.0
2,10,93,2,0.021505376344086023
2,16,14,0,0.0
2,13,42,0,0.0
2,17,12,0,0.0
2,12,37,0,0.0
2,14,32,0,0.0
2,15,15,0,0.0
2,21,2,0,0.0
2,26,1,0,0.0
2,19,6,0,0.0
2,31,1,0,0.0
2,25,1,0,0.0
2,18,6,0,0.0
2,23,1,0,0.0
2,20,6,1,0.16666666666666666
2,32,1,0,0.0
2,28,1,0,0.0
2,22,1,0,0.0
3,4,1334,674,0.5052473763118441
3,2,1726,1428,0.8273464658169177
3,3,1643,1092,0.664637857577602
3,5,935,307,0.32834224598930484
3,6,593,144,0.24283305227655985
3,7,369,49,0.13279132791327913
3,10,91,2,0.02197802197802198
3,9,167,9,0.05389221556886228
3,11,64,0,0.0
3,17,12,0,0.0
3,8,230,23,0.1
3,16,15,0,0.0
3,12,54,0,0.0
3,13,34,1,0.029411764705882353
3,19,2,0,0.0
3,15,19,0,0.0
3,14,23,0,0.0
3,26,1,0,0.0
3,34,1,0,0.0
3,31,1,0,0.0
3,18,11,0,0.0
3,30,1,0,0.0
3,25,1,0,0.0
3,33,1,0,0.0
3,20,8,1,0.125
3,21,3,0,0.0
3,24,1,0,0.0
3,22,1,0,0.0
3,23,1,0,0.0
4,2,1774,1466,0.826381059751973
4,4,1338,681,0.5089686098654709
4,3,1721,1178,0.684485764090645
4,6,585,123,0.21025641025641026
4,9,160,7,0.04375
4,5,927,340,0.3667745415318231
4,8,203,14,0.06896551724137931
4,11,66,1,0.015151515151515152
4,7,375,54,0.144
4,14,36,1,0.027777777777777776
4,17,12,0,0.0
4,10,102,1,0.00980392156862745
4,12,32,0,0.0
4,13,29,0,0.0
4,16,14,0,0.0
