iter,utterance_length,nb_utterances,produced,production_score
1,4,512,251,0.490234375
1,2,552,461,0.8351449275362319
1,3,633,441,0.6966824644549763
1,5,406,124,0.3054187192118227
1,6,297,62,0.20875420875420875
1,12,52,0,0.0
1,7,217,25,0.1152073732718894
1,10,71,2,0.028169014084507043
1,11,69,1,0.014492753623188406
1,8,157,11,0.07006369426751592
1,9,104,2,0.019230769230769232
1,13,22,0,0.0
1,15,21,0,0.0
1,17,14,0,0.0
1,18,9,0,0.0
1,20,5,0,0.0
1,14,11,0,0.0
1,16,13,0,0.0
1,23,5,0,0.0
1,26,1,0,0.0
1,24,4,0,0.0
1,21,3,0,0.0
1,19,4,0,0.0
1,31,2,0,0.0
1,25,5,0,0.0
1,40,1,0,0.0
1,39,2,0,0.0
1,52,1,0,0.0
1,41,1,0,0.0
1,33,1,0,0.0
1,69,1,0,0.0
1,28,1,0,0.0
1,27,2,0,0.0
1,38,1,0,0.0
1,22,3,0,0.0
2,2,555,460,0.8288288288288288
2,3,690,486,0.7043478260869566
2,4,542,266,0.4907749077490775
2,5,392,154,0.39285714285714285
2,6,318,67,0.21069182389937108
2,9,106,2,0.018867924528301886
2,7,222,20,0.09009009009009009
2,12,46,1,0.021739130434782608
2,8,142,10,0.07042253521126761
2,13,25,0,0.0
2,11,62,2,0.03225806451612903
2,10,78,1,0.01282051282051282
2,15,18,0,0.0
2,17,13,0,0.0
2,21,2,0,0.0
2,20,8,0,0.0
2,26,2,0,0.0
2,14,19,0,0.0
2,27,5,0,0.0
2,23,4,0,0.0
2,16,12,0,0.0
2,24,3,0,0.0
2,18,9,0,0.0
2,19,5,0,0.0
2,25,2,0,0.0
2,34,1,0,0.0
2,29,1,0,0.0
2,39,1,0,0.0
2,28,1,0,0.0
2,41,1,0,0.0
2,31,1,0,0.0
2,69,1,0,0.0
2,37,1,0,0.0
2,22,2,0,0.0
3,3,673,481,0.7147102526002972
3,2,588,482,0.8197278911564626
3,5,372,125,0.33602150537634407
3,6,312,68,0.21794871794871795
3,4,514,264,0.5136186770428015
3,11,59,0,0.0
3,10,80,1,0.0125
3,12,55,0,0.0
3,8,158,12,0.0759493670886076
3,7,207,19,0.09178743961352658
3,9,105,2,0.01904761904761905
3,13,34,0,0.0
3,15,23,0,0.0
3,17,13,0,0.0
3,14,15,0,0.0
3,37,3,0,0.0
3,26,1,0,0.0
3,21,1,0,0.0
3,27,3,0,0.0
3,20,6,0,0.0
3,16,9,0,0.0
3,23,4,0,0.0
3,25,2,0,0.0
3,40,2,0,0.0
3,39,2,0,0.0
3,18,6,0,0.0
3,19,3,0,0.0
3,28,2,0,0.0
3,41,1,0,0.0
3,31,1,0,0.0
3,24,1,0,0.0
3,22,2,0,0.0
4,2,568,465,0.8186619718309859
4,3,663,470,0.7088989441930619
4,5,419,158,0.37708830548926014
4,4,513,259,0.5048732943469786
4,6,316,77,0.24367088607594936
4,9,102,1,0.00980392156862745
4,12,49,0,0.0
4,7,202,26,0.12871287128712872
4,8,156,11,0.07051282051282051
4,18,9,0,0.0
4,13,29,0,0.0
4,10,79,2,0.02531645569620253
4,11,50,1,0.02
4,15,18,0,0.0
4,20,7,0,0.0
4,14,20,0,0.0
4,37,3,0,0.0
4,27,4,0,0.0
4,23,4,0,0.0
4,26,2,0,0.0
4,16,12,0,0.0
4,25,3,0,0.0
4,21,6,0,0.0
4,17,9,0,0.0
4,19,5,0,0.0
4,34,1,0,0.0
4,39,1,0,0.0
4,52,1,0,0.0
4,28,1,0,0.0
4,41,1,0,0.0
4,33,1,0,0.0
4,69,1,0,0.0
4,24,2,0,0.0
4,22,2,0,0.0
5,3,657,469,0.7138508371385084
5,4,545,263,0.48256880733944957
5,2,576,483,0.8385416666666666
5,5,391,143,0.3657289002557545
5,6,318,63,0.19811320754716982
5,7,227,17,0.07488986784140969
5,9,119,3,0.025210084033613446
5,8,146,14,0.0958904109589041
5,11,62,0,0.0
5,13,35,0,0.0
5,12,47,0,0.0
5,10,74,0,0.0
5,17,8,0,0.0
5,20,9,0,0.0
5,14,17,0,0.0
5,15,17,0,0.0
5,16,16,0,0.0
5,23,3,0,0.0
5,25,3,0,0.0
5,21,3,0,0.0
5,19,5,0,0.0
5,18,10,0,0.0
5,47,1,0,0.0
5,39,2,0,0.0
5,52,1,0,0.0
5,27,2,0,0.0
5,28,1,0,0.0
5,24,2,0,0.0
5,38,1,0,0.0
5,37,1,0,0.0
5,26,1,0,0.0
5,22,1,0,0.0
5,40,1,0,0.0
6,2,588,484,0.8231292517006803
6,5,421,143,0.33966745843230406
6,3,673,476,0.7072808320950966
6,4,543,262,0.48250460405156537
6,6,340,78,0.22941176470588234
6,9,104,0,0.0
6,10,76,1,0.013157894736842105
6,12,52,0,0.0
6,8,140,6,0.04285714285714286
6,7,203,26,0.12807881773399016
6,11,67,0,0.0
6,17,13,0,0.0
6,13,30,0,0.0
6,15,16,0,0.0
6,20,10,0,0.0
6,14,19,0,0.0
6,16,16,0,0.0
6,37,2,0,0.0
6,21,6,0,0.0
6,23,5,0,0.0
6,27,2,0,0.0
6,26,1,0,0.0
6,24,3,0,0.0
6,18,7,0,0.0
6,25,4,0,0.0
6,34,1,0,0.0
6,47,1,0,0.0
6,28,1,0,0.0
6,69,1,0,0.0
6,39,1,0,0.0
6,19,4,0,0.0
6,38,1,0,0.0
6,22,1,0,0.0
6,40,1,0,0.0
7,3,686,504,0.7346938775510204
7,2,540,446,0.825925925925926
7,5,404,134,0.3316831683168317
7,4,516,249,0.48255813953488375
7,6,323,76,0.23529411764705882
7,12,44,0,0.0
7,11,71,2,0.028169014084507043
7,8,158,7,0.04430379746835443
7,9,114,0,0.0
7,10,80,3,0.0375
7,7,205,21,0.1024390243902439
7,15,17,0,0.0
7,13,28,0,0.0
7,17,12,0,0.0
7,14,19,0,0.0
7,21,6,0,0.0
7,18,8,0,0.0
7,16,10,0,0.0
7,20,6,0,0.0
7,23,3,0,0.0
7,26,2,0,0.0
7,25,2,0,0.0
7,19,3,0,0.0
7,24,1,0,0.0
7,27,2,0,0.0
7,34,1,0,0.0
7,40,1,0,0.0
7,31,1,0,0.0
7,69,1,0,0.0
7,28,1,0,0.0
7,38,1,0,0.0
7,39,1,0,0.0
7,22,1,0,0.0
8,3,651,464,0.7127496159754224
8,2,575,474,0.8243478260869566
8,5,402,153,0.3805970149253731
8,4,506,242,0.4782608695652174
8,6,312,51,0.16346153846153846
8,12,48,1,0.020833333333333332
8,8,156,8,0.05128205128205128
8,9,106,0,0.0
8,7,215,19,0.08837209302325581
8,11,63,2,0.031746031746031744
8,10,87,1,0.011494252873563218
8,13,34,0,0.0
8,15,23,0,0.0
8,17,14,0,0.0
8,14,19,0,0.0
8,23,6,0,0.0
8,20,6,0,0.0
8,26,1,0,0.0
8,19,2,0,0.0
8,16,11,0,0.0
8,25,4,0,0.0
8,18,15,1,0.06666666666666667
8,31,2,0,0.0
8,29,1,0,0.0
8,47,1,0,0.0
8,39,4,0,0.0
8,37,1,0,0.0
8,21,1,0,0.0
8,38,1,0,0.0
8,22,2,0,0.0
8,40,1,0,0.0
9,2,548,466,0.8503649635036497
9,3,690,497,0.7202898550724638
9,4,477,233,0.48846960167714887
9,5,434,148,0.34101382488479265
9,6,319,74,0.23197492163009403
9,9,92,2,0.021739130434782608
9,11,67,0,0.0
9,8,156,12,0.07692307692307693
9,10,83,1,0.012048192771084338
9,7,218,26,0.11926605504587157
9,12,47,0,0.0
9,13,24,0,0.0
9,15,23,0,0.0
9,17,15,0,0.0
9,14,20,0,0.0
9,16,14,0,0.0
9,28,1,0,0.0
9,27,3,0,0.0
9,21,3,0,0.0
9,23,2,0,0.0
9,26,1,0,0.0
9,20,2,0,0.0
9,25,3,0,0.0
9,24,2,0,0.0
9,18,12,1,0.08333333333333333
9,19,4,0,0.0
9,47,1,0,0.0
9,69,1,0,0.0
9,39,1,0,0.0
9,22,3,0,0.0
10,2,532,437,0.8214285714285714
10,3,654,462,0.7064220183486238
10,4,519,257,0.4951830443159923
10,5,412,136,0.3300970873786408
10,6,311,64,0.2057877813504823
10,7,205,23,0.11219512195121951
10,12,50,0,0.0
10,9,100,4,0.04
10,18,10,0,0.0
10,10,83,1,0.012048192771084338
10,8,161,10,0.062111801242236024
10,11,55,2,0.03636363636363636
10,15,18,0,0.0
10,13,31,0,0.0
10,14,14,0,0.0
10,17,14,0,0.0
10,21,5,0,0.0
10,37,2,0,0.0
10,26,2,0,0.0
10,28,2,0,0.0
10,27,2,0,0.0
10,23,5,0,0.0
10,16,10,0,0.0
10,20,5,0,0.0
10,24,2,0,0.0
10,19,5,0,0.0
10,34,1,0,0.0
10,25,5,0,0.0
10,39,3,0,0.0
10,41,1,0,0.0
10,40,1,0,0.0
10,22,1,0,0.0
