iter,utterance_length,nb_utterances,produced,production_score
1,2,959,788,0.821689259645464
1,5,935,352,0.3764705882352941
1,3,1189,867,0.7291841883936081
1,4,1117,626,0.5604297224709042
1,6,732,196,0.2677595628415301
1,7,536,78,0.1455223880597015
1,8,375,33,0.088
1,9,265,11,0.04150943396226415
1,11,171,1,0.005847953216374269
1,15,54,0,0.0
1,10,238,11,0.046218487394957986
1,12,160,1,0.00625
1,13,96,0,0.0
1,27,6,0,0.0
1,26,12,0,0.0
1,21,21,0,0.0
1,20,21,0,0.0
1,18,40,0,0.0
1,34,3,0,0.0
1,14,72,2,0.027777777777777776
1,16,58,1,0.017241379310344827
1,24,11,0,0.0
1,41,1,0,0.0
1,17,38,0,0.0
1,35,1,0,0.0
1,22,13,0,0.0
1,25,8,0,0.0
1,32,4,0,0.0
1,29,2,0,0.0
1,19,27,0,0.0
1,23,12,0,0.0
1,46,1,0,0.0
1,37,1,0,0.0
1,45,1,0,0.0
1,39,1,0,0.0
1,30,3,0,0.0
1,28,8,0,0.0
1,33,1,0,0.0
1,31,3,0,0.0
1,51,1,0,0.0
1,40,1,0,0.0
1,60,1,0,0.0
1,36,1,0,0.0
2,2,991,810,0.8173562058526741
2,4,1173,634,0.5404944586530265
2,6,715,188,0.2629370629370629
2,3,1111,792,0.7128712871287128
2,5,925,358,0.387027027027027
2,7,518,80,0.15444015444015444
2,10,218,12,0.05504587155963303
2,8,404,43,0.10643564356435643
2,15,70,0,0.0
2,11,184,1,0.005434782608695652
2,12,124,0,0.0
2,9,279,10,0.035842293906810034
2,13,117,2,0.017094017094017096
2,19,31,0,0.0
2,14,67,2,0.029850746268656716
2,17,32,0,0.0
2,21,18,0,0.0
2,20,22,0,0.0
2,18,41,0,0.0
2,30,1,0,0.0
2,26,10,0,0.0
2,24,8,0,0.0
2,40,2,0,0.0
2,16,48,1,0.020833333333333332
2,22,11,0,0.0
2,33,2,0,0.0
2,32,5,0,0.0
2,25,5,0,0.0
2,31,6,0,0.0
2,29,2,0,0.0
2,28,5,0,0.0
2,23,13,0,0.0
2,39,3,0,0.0
