iter,utterance_length,nb_utterances,produced,production_score
1,2,1644,1329,0.8083941605839416
1,3,1129,553,0.48981399468556247
1,4,653,235,0.35987748851454826
1,5,332,78,0.23493975903614459
1,9,9,0,0.0
1,6,145,12,0.08275862068965517
1,8,16,0,0.0
1,7,60,4,0.06666666666666667
1,10,8,0,0.0
1,11,4,0,0.0
1,12,2,0,0.0
1,14,1,0,0.0
1,16,1,0,0.0
1,13,1,0,0.0
2,2,1618,1286,0.7948084054388134
2,3,1123,563,0.5013357079252003
2,4,629,223,0.35453100158982515
2,5,292,61,0.2089041095890411
2,6,145,21,0.14482758620689656
2,9,6,1,0.16666666666666666
2,8,30,1,0.03333333333333333
2,7,73,5,0.0684931506849315
2,10,7,0,0.0
2,15,1,0,0.0
2,12,2,0,0.0
2,11,3,0,0.0
3,2,1563,1232,0.7882277671145234
3,3,1104,540,0.4891304347826087
3,4,631,217,0.3438985736925515
3,5,321,84,0.2616822429906542
3,6,135,13,0.0962962962962963
3,9,16,1,0.0625
3,8,34,0,0.0
3,7,64,4,0.0625
3,10,5,0,0.0
3,15,1,0,0.0
3,12,1,0,0.0
3,16,1,0,0.0
3,13,1,0,0.0
4,2,1609,1269,0.7886886264760721
4,3,1113,555,0.49865229110512127
4,4,627,220,0.3508771929824561
4,5,331,84,0.2537764350453172
4,9,9,0,0.0
4,6,152,15,0.09868421052631579
4,7,55,2,0.03636363636363636
4,8,28,0,0.0
4,10,4,0,0.0
4,11,2,0,0.0
4,12,1,0,0.0
4,16,1,0,0.0
4,13,1,0,0.0
5,3,1058,543,0.5132325141776938
5,2,1606,1261,0.7851805728518058
5,4,654,211,0.32262996941896027
5,5,341,77,0.22580645161290322
5,6,138,10,0.07246376811594203
5,9,12,0,0.0
5,7,63,4,0.06349206349206349
5,8,32,0,0.0
5,10,6,0,0.0
5,11,1,0,0.0
5,12,2,0,0.0
6,2,1560,1266,0.8115384615384615
6,3,1101,549,0.4986376021798365
6,4,645,226,0.35038759689922483
6,5,332,74,0.22289156626506024
6,6,129,13,0.10077519379844961
6,9,11,0,0.0
6,7,66,3,0.045454545454545456
6,8,34,1,0.029411764705882353
6,10,4,0,0.0
6,11,6,0,0.0
6,14,1,0,0.0
6,16,1,0,0.0
6,12,2,0,0.0
7,2,1589,1269,0.7986154814348647
7,3,1112,537,0.4829136690647482
7,4,669,221,0.3303437967115097
7,5,326,88,0.26993865030674846
7,6,125,15,0.12
7,9,14,0,0.0
7,7,63,5,0.07936507936507936
7,8,35,0,0.0
7,11,2,0,0.0
7,10,5,0,0.0
7,12,1,0,0.0
7,13,1,0,0.0
8,2,1541,1239,0.8040233614536015
8,3,1087,558,0.5133394664213431
8,4,652,229,0.3512269938650307
8,5,318,70,0.22012578616352202
8,9,10,0,0.0
8,7,60,0,0.0
8,6,146,13,0.08904109589041095
8,8,31,1,0.03225806451612903
8,10,4,0,0.0
8,11,4,0,0.0
8,14,1,0,0.0
9,2,1567,1238,0.790044671346522
9,3,1088,528,0.4852941176470588
9,4,673,250,0.37147102526002973
9,5,319,83,0.2601880877742947
9,9,14,1,0.07142857142857142
9,6,129,11,0.08527131782945736
9,7,55,3,0.05454545454545454
9,8,42,0,0.0
9,10,4,0,0.0
9,11,5,0,0.0
9,15,1,0,0.0
9,16,1,0,0.0
9,12,1,0,0.0
9,13,1,0,0.0
10,2,1631,1271,0.7792765174739423
10,3,1106,569,0.5144665461121157
10,4,630,220,0.3492063492063492
10,5,306,72,0.23529411764705882
10,6,129,14,0.10852713178294573
10,9,16,0,0.0
10,7,65,5,0.07692307692307693
10,8,31,0,0.0
10,10,9,0,0.0
10,11,2,0,0.0
10,16,1,0,0.0
10,12,1,0,0.0
10,13,1,0,0.0
