iter,utterance_length,nb_utterances,produced,production_score
1,2,2730,2248,0.8234432234432234
1,3,2337,1573,0.6730851519041506
1,4,1722,862,0.5005807200929152
1,6,691,166,0.2402315484804631
1,5,1167,419,0.35904027420736934
1,7,397,57,0.14357682619647355
1,8,182,21,0.11538461538461539
1,12,22,0,0.0
1,9,100,8,0.08
1,10,69,5,0.07246376811594203
1,11,30,1,0.03333333333333333
1,22,2,0,0.0
1,16,5,0,0.0
1,24,1,0,0.0
1,17,5,0,0.0
1,13,20,0,0.0
1,15,7,0,0.0
1,28,1,0,0.0
1,18,2,0,0.0
1,20,1,0,0.0
1,14,10,0,0.0
1,19,4,0,0.0
1,21,2,0,0.0
1,25,1,0,0.0
2,2,2800,2316,0.8271428571428572
2,3,2406,1611,0.669576059850374
2,5,1183,413,0.34911242603550297
2,4,1724,889,0.515661252900232
2,6,707,174,0.24611032531824611
2,7,379,52,0.13720316622691292
2,9,102,7,0.06862745098039216
2,8,179,20,0.11173184357541899
2,10,73,4,0.0547945205479452
2,11,50,3,0.06
2,12,27,1,0.037037037037037035
2,13,19,0,0.0
2,22,2,0,0.0
2,16,2,0,0.0
2,15,8,0,0.0
2,28,1,0,0.0
2,14,10,1,0.1
2,17,5,0,0.0
2,18,2,0,0.0
2,24,2,0,0.0
2,21,1,0,0.0
2,19,3,0,0.0
2,25,1,0,0.0
2,20,1,0,0.0
3,2,2735,2259,0.8259597806215722
3,3,2388,1624,0.6800670016750419
3,5,1236,458,0.3705501618122977
3,4,1720,886,0.5151162790697674
3,6,731,186,0.25444596443228457
3,11,36,0,0.0
3,7,402,58,0.14427860696517414
3,8,196,14,0.07142857142857142
3,9,94,8,0.0851063829787234
3,10,71,6,0.08450704225352113
3,12,21,1,0.047619047619047616
3,14,11,0,0.0
3,22,3,0,0.0
3,15,10,0,0.0
3,13,15,0,0.0
3,24,2,0,0.0
3,18,3,0,0.0
3,16,3,0,0.0
3,20,1,0,0.0
3,17,3,0,0.0
3,21,1,0,0.0
3,25,1,0,0.0
3,19,3,0,0.0
4,2,2822,2338,0.8284904323175053
4,3,2384,1581,0.6631711409395973
4,5,1206,441,0.3656716417910448
4,4,1655,841,0.5081570996978853
4,7,370,52,0.14054054054054055
4,8,177,19,0.10734463276836158
4,6,719,165,0.22948539638386647
4,10,68,5,0.07352941176470588
4,9,98,8,0.08163265306122448
4,11,44,1,0.022727272727272728
4,12,22,1,0.045454545454545456
4,22,4,0,0.0
4,17,4,0,0.0
4,13,13,0,0.0
4,20,1,0,0.0
4,15,7,1,0.14285714285714285
4,14,11,1,0.09090909090909091
4,18,3,0,0.0
4,24,1,0,0.0
4,21,2,0,0.0
4,16,3,0,0.0
4,19,3,0,0.0
5,2,2726,2286,0.8385913426265591
5,3,2409,1667,0.6919883769198838
5,5,1210,429,0.35454545454545455
5,4,1708,846,0.4953161592505855
5,7,366,55,0.15027322404371585
5,9,121,9,0.0743801652892562
5,6,734,179,0.2438692098092643
5,8,173,19,0.10982658959537572
5,10,66,7,0.10606060606060606
5,12,27,0,0.0
5,11,43,0,0.0
5,14,8,0,0.0
5,15,9,0,0.0
5,17,6,0,0.0
5,13,15,0,0.0
5,20,2,0,0.0
5,18,3,0,0.0
5,16,1,0,0.0
5,19,3,0,0.0
5,21,2,0,0.0
5,24,1,0,0.0
5,22,2,0,0.0
6,2,2732,2289,0.8378477306002928
6,3,2437,1700,0.6975789905621665
6,5,1186,449,0.3785834738617201
6,4,1723,862,0.5002901915264074
6,6,705,188,0.26666666666666666
6,11,47,2,0.0425531914893617
6,7,362,65,0.17955801104972377
6,8,191,23,0.12041884816753927
6,13,16,0,0.0
6,10,65,7,0.1076923076923077
6,9,101,12,0.1188118811881188
6,12,21,3,0.14285714285714285
6,22,3,0,0.0
6,15,8,0,0.0
6,16,3,0,0.0
6,17,5,0,0.0
6,14,6,0,0.0
6,24,1,0,0.0
6,18,3,0,0.0
6,28,1,0,0.0
6,20,2,0,0.0
6,21,2,0,0.0
6,19,1,0,0.0
7,2,2717,2256,0.8303275671696725
7,3,2441,1676,0.6866038508807866
7,5,1157,450,0.3889369057908384
7,4,1744,875,0.5017201834862385
7,6,676,167,0.2470414201183432
7,11,27,1,0.037037037037037035
7,7,396,48,0.12121212121212122
7,8,167,15,0.08982035928143713
7,10,68,4,0.058823529411764705
7,12,16,1,0.0625
7,9,105,14,0.13333333333333333
7,14,5,0,0.0
7,15,8,0,0.0
7,13,22,0,0.0
7,20,1,0,0.0
7,18,3,0,0.0
7,28,1,0,0.0
7,17,3,0,0.0
7,24,2,0,0.0
7,21,1,0,0.0
7,16,4,0,0.0
7,19,1,0,0.0
7,22,1,0,0.0
7,25,1,0,0.0
8,2,2755,2251,0.817059891107078
8,3,2396,1656,0.6911519198664441
8,4,1695,873,0.5150442477876106
8,6,703,169,0.24039829302987198
8,5,1153,445,0.38594969644405897
8,7,363,63,0.17355371900826447
8,8,182,15,0.08241758241758242
8,13,20,0,0.0
8,10,72,8,0.1111111111111111
8,12,33,1,0.030303030303030304
8,9,100,5,0.05
8,11,38,2,0.05263157894736842
8,22,2,0,0.0
8,16,5,0,0.0
8,17,4,0,0.0
8,20,2,0,0.0
8,15,8,0,0.0
8,14,9,0,0.0
8,24,1,0,0.0
8,18,1,0,0.0
8,21,2,1,0.5
9,2,2685,2215,0.8249534450651769
9,3,2479,1671,0.6740621218233158
9,5,1159,426,0.36755823986194996
9,4,1759,879,0.49971574758385445
9,6,699,164,0.23462088698140202
9,11,46,1,0.021739130434782608
9,9,95,9,0.09473684210526316
9,8,191,29,0.1518324607329843
9,10,66,5,0.07575757575757576
9,12,25,1,0.04
9,7,399,66,0.16541353383458646
9,14,11,0,0.0
9,16,4,0,0.0
9,13,21,1,0.047619047619047616
9,22,1,0,0.0
9,18,3,0,0.0
9,15,4,0,0.0
9,17,1,0,0.0
9,19,3,0,0.0
9,21,2,0,0.0
