iter,utterance_length,nb_utterances,produced,production_score
1,2,1659,1519,0.9156118143459916
1,3,822,642,0.781021897810219
1,4,271,141,0.5202952029520295
1,5,53,19,0.3584905660377358
1,6,19,3,0.15789473684210525
1,8,2,1,0.5
1,7,5,0,0.0
1,9,1,0,0.0
2,2,1761,1594,0.9051675184554231
2,3,835,659,0.7892215568862275
2,4,294,163,0.5544217687074829
2,5,65,37,0.5692307692307692
2,7,6,2,0.3333333333333333
2,6,11,2,0.18181818181818182
2,8,1,0,0.0
3,3,784,591,0.7538265306122449
3,2,1799,1640,0.9116175653140633
3,5,56,25,0.44642857142857145
3,7,6,1,0.16666666666666666
3,4,275,139,0.5054545454545455
3,6,14,2,0.14285714285714285
3,8,1,0,0.0
4,2,1726,1564,0.9061413673232909
4,4,282,152,0.5390070921985816
4,3,840,634,0.7547619047619047
4,7,7,2,0.2857142857142857
4,5,63,32,0.5079365079365079
4,6,16,4,0.25
4,8,1,0,0.0
5,2,1755,1603,0.9133903133903134
5,3,789,622,0.788339670468948
5,4,286,168,0.5874125874125874
5,6,13,3,0.23076923076923078
5,7,11,4,0.36363636363636365
5,5,60,31,0.5166666666666667
6,3,820,620,0.7560975609756098
6,2,1782,1649,0.925364758698092
6,4,286,164,0.5734265734265734
6,6,17,5,0.29411764705882354
6,5,62,27,0.43548387096774194
6,7,5,1,0.2
6,8,2,1,0.5
7,2,1826,1670,0.9145673603504929
7,3,821,626,0.7624847746650426
7,6,15,3,0.2
7,5,63,32,0.5079365079365079
7,7,8,3,0.375
7,4,267,140,0.5243445692883895
7,8,1,1,1.0
7,9,1,0,0.0
8,2,1772,1639,0.9249435665914221
8,4,285,152,0.5333333333333333
8,3,819,621,0.7582417582417582
8,6,15,2,0.13333333333333333
8,7,5,1,0.2
8,5,55,23,0.41818181818181815
8,8,2,2,1.0
9,3,807,620,0.7682775712515489
9,2,1765,1630,0.9235127478753541
9,4,271,146,0.5387453874538746
9,5,72,33,0.4583333333333333
9,6,16,3,0.1875
9,8,1,1,1.0
9,7,3,3,1.0
10,2,1748,1605,0.9181922196796338
10,3,832,639,0.7680288461538461
10,4,301,164,0.5448504983388704
10,5,71,26,0.36619718309859156
10,6,14,4,0.2857142857142857
10,7,10,5,0.5
10,9,1,0,0.0
