iter,utterance_length,nb_utterances,produced,production_score
1,2,828,718,0.8671497584541062
1,3,826,561,0.6791767554479419
1,4,748,356,0.47593582887700536
1,6,493,85,0.1724137931034483
1,13,53,0,0.0
1,26,3,0,0.0
1,9,192,2,0.010416666666666666
1,5,580,162,0.2793103448275862
1,7,336,28,0.08333333333333333
1,14,61,0,0.0
1,22,12,0,0.0
1,29,4,0,0.0
1,10,129,1,0.007751937984496124
1,11,98,0,0.0
1,12,77,0,0.0
1,16,40,0,0.0
1,8,264,14,0.05303030303030303
1,18,12,0,0.0
1,17,33,0,0.0
1,20,11,0,0.0
1,15,46,0,0.0
1,30,2,0,0.0
1,35,1,0,0.0
1,19,20,0,0.0
1,33,1,0,0.0
1,21,14,0,0.0
1,25,6,0,0.0
1,44,1,0,0.0
1,32,1,0,0.0
1,23,7,0,0.0
1,34,2,0,0.0
1,31,3,0,0.0
1,24,8,0,0.0
1,43,2,0,0.0
1,52,1,0,0.0
1,38,1,0,0.0
1,41,1,0,0.0
1,28,1,0,0.0
1,36,1,0,0.0
1,27,2,0,0.0
1,37,1,0,0.0
1,51,1,0,0.0
2,3,765,511,0.6679738562091503
2,2,798,683,0.8558897243107769
2,5,566,168,0.2968197879858657
2,8,214,6,0.028037383177570093
2,6,443,83,0.1873589164785553
2,4,740,351,0.4743243243243243
2,9,193,2,0.010362694300518135
2,7,349,29,0.0830945558739255
2,14,66,0,0.0
2,11,108,0,0.0
2,12,69,1,0.014492753623188406
2,16,29,0,0.0
2,13,66,0,0.0
2,10,134,3,0.022388059701492536
2,22,9,0,0.0
2,17,26,0,0.0
2,15,38,0,0.0
2,30,4,0,0.0
2,19,18,0,0.0
2,21,17,0,0.0
2,33,1,0,0.0
2,18,15,0,0.0
2,25,5,0,0.0
2,20,7,0,0.0
2,23,4,0,0.0
2,34,2,0,0.0
2,28,5,0,0.0
2,24,4,0,0.0
2,35,2,0,0.0
2,26,2,0,0.0
2,38,2,0,0.0
2,29,3,0,0.0
2,52,1,0,0.0
2,50,1,0,0.0
2,31,1,0,0.0
2,41,2,0,0.0
2,36,1,0,0.0
