iter,utterance_length,nb_utterances,produced,production_score
1,4,7662,3886,0.5071782824327852
1,2,18282,16141,0.8828902745870255
1,3,12696,8707,0.6858065532451165
1,5,4570,1703,0.3726477024070022
1,11,218,5,0.022935779816513763
1,6,2841,816,0.28722280887011614
1,8,944,121,0.1281779661016949
1,7,1719,307,0.17859220477021523
1,9,629,33,0.05246422893481717
1,12,129,2,0.015503875968992248
1,13,90,2,0.022222222222222223
1,10,344,13,0.0377906976744186
1,15,45,0,0.0
1,14,60,3,0.05
1,18,17,0,0.0
1,27,2,0,0.0
1,19,7,0,0.0
1,16,19,0,0.0
1,17,12,0,0.0
1,23,2,0,0.0
1,29,1,0,0.0
1,22,6,0,0.0
1,25,6,0,0.0
1,21,11,0,0.0
1,26,2,0,0.0
1,28,2,0,0.0
1,40,1,0,0.0
1,20,7,0,0.0
1,38,1,0,0.0
1,37,1,0,0.0
1,24,1,0,0.0
2,4,7611,3841,0.5046643016686375
2,2,18344,16139,0.8797972088966419
2,3,12882,8879,0.6892563266573514
2,5,4612,1788,0.3876843018213356
2,11,221,4,0.01809954751131222
2,6,2799,786,0.2808145766345123
2,7,1658,305,0.18395657418576597
2,9,596,43,0.07214765100671142
2,8,946,116,0.1226215644820296
2,12,146,3,0.02054794520547945
2,17,17,0,0.0
2,13,89,2,0.02247191011235955
2,10,378,17,0.04497354497354497
2,19,8,0,0.0
2,15,31,0,0.0
2,14,68,1,0.014705882352941176
2,18,16,0,0.0
2,16,25,0,0.0
2,22,3,0,0.0
2,20,9,0,0.0
2,23,3,0,0.0
2,21,4,0,0.0
2,25,3,0,0.0
2,27,1,0,0.0
2,28,3,0,0.0
2,37,1,0,0.0
2,24,1,0,0.0
3,4,7676,3840,0.5002605523710266
3,2,18376,16132,0.8778841967784066
3,3,12601,8764,0.6955003571145147
3,5,4600,1715,0.37282608695652175
3,6,2812,762,0.2709815078236131
3,8,943,119,0.1261930010604454
3,7,1664,296,0.1778846153846154
3,11,223,3,0.013452914798206279
3,9,575,36,0.06260869565217392
3,12,160,1,0.00625
3,17,14,0,0.0
3,13,100,1,0.01
3,15,37,0,0.0
3,19,10,0,0.0
3,10,370,17,0.04594594594594595
3,14,71,2,0.028169014084507043
3,18,14,1,0.07142857142857142
3,27,2,0,0.0
3,16,25,0,0.0
3,29,2,0,0.0
3,20,10,0,0.0
3,23,4,0,0.0
3,21,8,0,0.0
3,26,4,0,0.0
3,24,4,0,0.0
3,22,1,0,0.0
3,28,2,0,0.0
3,25,1,0,0.0
4,2,18393,16251,0.8835426520959061
4,4,7649,3934,0.5143155968100406
4,3,12834,8739,0.6809256661991585
4,5,4584,1771,0.3863438045375218
4,8,905,104,0.11491712707182321
4,11,226,4,0.017699115044247787
4,6,2766,790,0.2856109906001446
4,7,1653,300,0.18148820326678766
4,9,607,41,0.06754530477759473
4,12,137,2,0.014598540145985401
4,17,12,0,0.0
4,15,44,1,0.022727272727272728
4,13,103,3,0.02912621359223301
4,10,338,16,0.047337278106508875
4,14,70,2,0.02857142857142857
4,20,14,0,0.0
4,19,8,0,0.0
4,16,22,0,0.0
4,18,14,0,0.0
4,23,5,0,0.0
4,25,4,0,0.0
4,21,10,0,0.0
4,28,2,0,0.0
4,27,1,0,0.0
4,24,3,0,0.0
4,26,1,0,0.0
4,38,1,0,0.0
4,22,3,0,0.0
4,37,1,0,0.0
5,2,18377,16158,0.8792512379604941
