iter,utterance_length,nb_utterances,produced,production_score
1,2,312,279,0.8942307692307693
1,3,209,170,0.8133971291866029
1,9,9,0,0.0
1,4,116,75,0.646551724137931
1,7,13,1,0.07692307692307693
1,5,77,37,0.4805194805194805
1,6,28,11,0.39285714285714285
1,8,9,2,0.2222222222222222
1,10,2,0,0.0
1,11,1,0,0.0
2,3,228,197,0.8640350877192983
2,2,331,300,0.9063444108761329
2,9,9,2,0.2222222222222222
2,5,70,35,0.5
2,4,138,79,0.572463768115942
2,6,36,14,0.3888888888888889
2,7,18,2,0.1111111111111111
2,8,10,2,0.2
2,10,3,0,0.0
3,3,226,165,0.7300884955752213
3,2,323,297,0.9195046439628483
3,4,129,87,0.6744186046511628
3,9,6,1,0.16666666666666666
3,5,74,37,0.5
3,6,43,13,0.3023255813953488
3,7,14,2,0.14285714285714285
3,8,10,2,0.2
3,10,3,0,0.0
3,11,1,0,0.0
4,3,233,176,0.7553648068669528
4,2,326,296,0.9079754601226994
4,5,62,27,0.43548387096774194
4,4,132,86,0.6515151515151515
4,6,43,10,0.23255813953488372
4,7,17,3,0.17647058823529413
4,8,7,4,0.5714285714285714
4,9,4,0,0.0
5,2,335,305,0.9104477611940298
5,3,212,171,0.8066037735849056
5,4,131,72,0.549618320610687
5,5,71,27,0.38028169014084506
5,6,35,14,0.4
5,8,10,3,0.3
5,7,15,2,0.13333333333333333
5,9,8,0,0.0
5,10,2,0,0.0
6,2,304,277,0.9111842105263158
6,3,233,179,0.7682403433476395
6,4,136,76,0.5588235294117647
6,5,56,29,0.5178571428571429
6,6,36,13,0.3611111111111111
6,7,15,2,0.13333333333333333
6,8,10,2,0.2
6,9,6,1,0.16666666666666666
6,10,3,0,0.0
6,11,1,0,0.0
7,2,318,298,0.9371069182389937
7,3,213,174,0.8169014084507042
7,9,7,0,0.0
7,4,131,81,0.6183206106870229
7,5,66,25,0.3787878787878788
7,6,33,13,0.3939393939393939
7,7,17,2,0.11764705882352941
7,8,12,3,0.25
7,10,3,0,0.0
7,11,1,0,0.0
8,2,293,269,0.9180887372013652
8,3,226,184,0.8141592920353983
8,4,127,80,0.6299212598425197
8,5,74,39,0.527027027027027
8,6,34,14,0.4117647058823529
8,7,9,0,0.0
8,9,5,1,0.2
8,8,9,4,0.4444444444444444
8,10,2,0,0.0
9,2,314,290,0.9235668789808917
9,3,208,167,0.8028846153846154
9,4,124,76,0.6129032258064516
9,6,32,10,0.3125
9,7,12,0,0.0
9,5,68,36,0.5294117647058824
9,9,5,0,0.0
9,10,1,0,0.0
9,8,7,2,0.2857142857142857
10,2,321,300,0.9345794392523364
10,3,228,178,0.7807017543859649
10,4,128,84,0.65625
10,5,70,38,0.5428571428571428
10,6,38,14,0.3684210526315789
10,7,15,1,0.06666666666666667
10,8,11,4,0.36363636363636365
10,9,5,0,0.0
10,11,1,0,0.0
10,10,1,0,0.0
