iter,utterance_length,nb_utterances,produced,production_score
1,3,375,248,0.6613333333333333
1,5,231,72,0.3116883116883117
1,4,299,155,0.5183946488294314
1,2,373,310,0.8310991957104558
1,6,180,37,0.20555555555555555
1,18,2,0,0.0
1,14,13,0,0.0
1,8,83,6,0.07228915662650602
1,7,119,9,0.07563025210084033
1,11,26,1,0.038461538461538464
1,9,45,0,0.0
1,10,23,0,0.0
1,13,8,0,0.0
1,12,12,0,0.0
1,22,1,0,0.0
1,17,2,0,0.0
1,19,2,0,0.0
1,21,1,0,0.0
1,20,2,0,0.0
1,30,1,0,0.0
1,15,4,0,0.0
1,23,1,0,0.0
1,25,1,0,0.0
1,38,1,0,0.0
1,16,1,0,0.0
2,5,245,58,0.23673469387755103
2,3,375,250,0.6666666666666666
2,4,301,150,0.4983388704318937
2,6,175,32,0.18285714285714286
2,2,367,282,0.7683923705722071
2,12,18,0,0.0
2,7,127,17,0.13385826771653545
2,15,7,0,0.0
2,9,48,3,0.0625
2,8,70,3,0.04285714285714286
2,11,21,0,0.0
2,16,6,0,0.0
2,14,11,0,0.0
2,13,9,0,0.0
2,10,21,0,0.0
2,17,5,0,0.0
2,27,1,0,0.0
2,22,1,0,0.0
2,30,2,0,0.0
2,21,2,0,0.0
2,28,2,0,0.0
2,19,1,0,0.0
2,20,2,0,0.0
2,23,2,0,0.0
2,18,1,0,0.0
3,5,239,71,0.29707112970711297
3,3,387,262,0.6770025839793282
3,4,298,145,0.4865771812080537
3,6,176,33,0.1875
3,8,85,4,0.047058823529411764
3,2,343,289,0.8425655976676385
3,7,119,13,0.1092436974789916
3,11,26,0,0.0
3,9,55,0,0.0
3,12,15,0,0.0
3,16,3,0,0.0
3,10,22,0,0.0
3,14,10,0,0.0
3,22,2,0,0.0
3,13,8,0,0.0
3,17,4,0,0.0
3,27,1,0,0.0
3,30,2,0,0.0
3,15,5,0,0.0
3,28,3,0,0.0
3,19,2,0,0.0
3,21,1,0,0.0
3,20,2,0,0.0
3,23,2,0,0.0
3,18,2,0,0.0
4,3,389,268,0.6889460154241646
4,4,274,125,0.4562043795620438
4,5,245,72,0.2938775510204082
4,6,169,33,0.1952662721893491
4,8,82,6,0.07317073170731707
4,2,354,294,0.8305084745762712
4,7,111,5,0.04504504504504504
4,18,4,0,0.0
4,15,5,0,0.0
4,12,18,0,0.0
4,10,22,1,0.045454545454545456
4,9,61,2,0.03278688524590164
4,11,20,0,0.0
4,14,7,0,0.0
4,17,7,0,0.0
4,13,9,0,0.0
4,22,1,0,0.0
4,16,1,0,0.0
4,28,2,0,0.0
4,21,2,0,0.0
4,20,1,0,0.0
4,23,2,0,0.0
4,25,1,0,0.0
4,38,1,0,0.0
4,19,1,0,0.0
5,4,306,139,0.4542483660130719
