iter,utterance_length,nb_utterances,produced,production_score
1,2,767,593,0.7731421121251629
1,3,728,432,0.5934065934065934
1,4,560,234,0.41785714285714287
1,6,235,43,0.1829787234042553
1,5,383,115,0.3002610966057441
1,7,120,18,0.15
1,8,66,2,0.030303030303030304
1,10,24,0,0.0
1,11,15,0,0.0
1,17,2,0,0.0
1,9,56,0,0.0
1,14,6,0,0.0
1,13,7,0,0.0
1,12,10,0,0.0
1,16,1,0,0.0
1,15,3,0,0.0
1,19,1,0,0.0
2,2,778,600,0.7712082262210797
2,4,575,282,0.49043478260869566
2,3,670,390,0.582089552238806
2,5,382,135,0.35340314136125656
2,9,49,0,0.0
2,6,236,29,0.1228813559322034
2,7,128,14,0.109375
2,10,31,0,0.0
2,8,65,3,0.046153846153846156
2,11,14,0,0.0
2,13,11,0,0.0
2,12,14,0,0.0
2,17,2,0,0.0
2,20,1,0,0.0
2,14,5,0,0.0
2,16,1,0,0.0
2,15,1,0,0.0
2,21,1,0,0.0
3,2,756,570,0.753968253968254
3,4,565,268,0.4743362831858407
3,3,686,396,0.577259475218659
3,5,379,112,0.2955145118733509
3,6,257,44,0.17120622568093385
3,9,52,0,0.0
3,7,129,14,0.10852713178294573
3,8,79,1,0.012658227848101266
3,13,5,1,0.2
3,10,27,0,0.0
3,20,2,0,0.0
3,14,5,0,0.0
3,11,11,0,0.0
3,12,10,0,0.0
3,16,2,0,0.0
3,15,2,0,0.0
3,17,1,0,0.0
4,2,808,613,0.7586633663366337
4,4,545,277,0.5082568807339449
4,3,692,414,0.5982658959537572
4,6,226,41,0.18141592920353983
4,7,107,9,0.08411214953271028
4,5,388,107,0.2757731958762887
4,8,72,1,0.013888888888888888
4,9,57,2,0.03508771929824561
4,11,13,0,0.0
4,17,1,0,0.0
4,10,31,1,0.03225806451612903
4,19,2,0,0.0
4,12,12,0,0.0
4,13,9,0,0.0
4,14,5,0,0.0
4,16,2,0,0.0
4,15,2,0,0.0
5,2,751,569,0.7576564580559254
5,4,563,252,0.44760213143872113
5,3,671,420,0.6259314456035767
5,5,389,128,0.32904884318766064
5,6,240,44,0.18333333333333332
5,9,52,0,0.0
5,7,132,10,0.07575757575757576
5,10,25,0,0.0
5,11,13,1,0.07692307692307693
5,8,74,3,0.04054054054054054
5,14,3,0,0.0
5,12,12,0,0.0
5,16,2,0,0.0
5,13,7,0,0.0
5,17,1,0,0.0
5,15,1,0,0.0
6,2,781,613,0.7848911651728553
6,4,541,259,0.4787430683918669
6,3,661,406,0.6142208774583964
6,5,393,122,0.3104325699745547
6,6,250,53,0.212
6,7,136,17,0.125
6,9,52,1,0.019230769230769232
6,10,22,0,0.0
6,8,70,4,0.05714285714285714
6,17,2,0,0.0
6,19,1,0,0.0
6,12,15,0,0.0
6,11,8,0,0.0
6,13,6,0,0.0
6,16,1,0,0.0
6,14,6,0,0.0
6,15,2,0,0.0
6,20,1,0,0.0
7,2,776,593,0.7641752577319587
7,3,692,403,0.5823699421965318
7,4,521,258,0.4952015355086372
7,6,251,39,0.1553784860557769
7,5,387,118,0.3049095607235142
7,9,51,3,0.058823529411764705
7,7,129,22,0.17054263565891473
7,8,69,5,0.07246376811594203
7,13,9,0,0.0
7,10,30,0,0.0
7,20,1,0,0.0
7,14,5,0,0.0
7,19,2,0,0.0
7,11,13,1,0.07692307692307693
7,12,15,0,0.0
7,15,2,0,0.0
7,17,2,0,0.0
7,21,1,0,0.0
8,2,809,611,0.7552533992583437
8,4,557,274,0.4919210053859964
8,3,731,447,0.6114911080711354
8,5,378,118,0.31216931216931215
8,7,125,10,0.08
8,6,230,38,0.16521739130434782
8,8,66,4,0.06060606060606061
8,9,41,1,0.024390243902439025
8,13,11,0,0.0
8,10,22,0,0.0
8,20,3,0,0.0
8,14,2,0,0.0
8,11,14,1,0.07142857142857142
8,12,13,0,0.0
8,16,2,0,0.0
8,15,2,0,0.0
8,19,1,0,0.0
9,2,745,572,0.7677852348993288
9,4,582,275,0.4725085910652921
9,3,696,406,0.5833333333333334
9,5,407,129,0.31695331695331697
9,6,255,41,0.1607843137254902
9,7,141,11,0.07801418439716312
9,9,56,2,0.03571428571428571
9,10,23,1,0.043478260869565216
9,8,65,0,0.0
9,11,11,0,0.0
9,17,3,0,0.0
9,19,1,0,0.0
9,12,11,0,0.0
9,13,5,0,0.0
9,15,3,0,0.0
9,16,2,0,0.0
9,14,3,0,0.0
10,2,761,576,0.7568988173455979
10,3,733,438,0.597544338335607
10,4,547,256,0.4680073126142596
10,5,401,116,0.2892768079800499
10,6,239,36,0.1506276150627615
10,9,47,0,0.0
10,7,124,17,0.13709677419354838
10,8,73,3,0.0410958904109589
10,10,27,1,0.037037037037037035
10,13,9,0,0.0
10,20,4,0,0.0
10,19,1,0,0.0
10,11,13,2,0.15384615384615385
10,12,7,0,0.0
10,16,3,0,0.0
10,15,1,0,0.0
10,17,1,0,0.0
10,14,3,0,0.0
