iter,utterance_length,nb_utterances,produced,production_score
1,4,1009,541,0.5361744301288405
1,2,1398,1184,0.8469241773962805
1,3,1482,1007,0.6794871794871795
1,5,526,197,0.3745247148288973
1,6,263,61,0.23193916349809887
1,7,115,21,0.1826086956521739
1,10,15,0,0.0
1,8,44,5,0.11363636363636363
1,12,3,0,0.0
1,9,30,0,0.0
1,11,9,0,0.0
1,13,3,0,0.0
1,14,2,1,0.5
1,18,1,0,0.0
1,17,1,0,0.0
1,15,1,0,0.0
2,4,1049,571,0.544327931363203
2,2,1458,1241,0.8511659807956105
2,3,1488,1037,0.6969086021505376
2,5,564,206,0.36524822695035464
2,7,123,23,0.18699186991869918
2,6,247,65,0.2631578947368421
2,8,53,6,0.11320754716981132
2,10,11,1,0.09090909090909091
2,9,26,2,0.07692307692307693
2,11,5,0,0.0
2,12,3,0,0.0
2,18,1,0,0.0
2,14,1,0,0.0
2,13,2,0,0.0
3,4,1067,565,0.5295220243673852
3,2,1422,1212,0.8523206751054853
3,3,1522,1044,0.6859395532194481
3,5,541,191,0.35304990757855825
3,6,253,70,0.2766798418972332
3,8,54,4,0.07407407407407407
3,7,131,22,0.16793893129770993
3,9,24,0,0.0
3,12,2,0,0.0
3,10,13,0,0.0
3,11,8,0,0.0
3,14,1,0,0.0
3,13,2,0,0.0
3,25,1,0,0.0
4,4,1016,548,0.5393700787401575
4,2,1497,1271,0.8490313961255845
4,3,1512,1047,0.6924603174603174
4,7,131,18,0.13740458015267176
4,5,543,214,0.39410681399631675
4,8,45,8,0.17777777777777778
4,9,34,1,0.029411764705882353
4,6,245,67,0.27346938775510204
4,10,11,0,0.0
4,12,4,0,0.0
4,13,3,1,0.3333333333333333
4,11,8,0,0.0
4,14,2,1,0.5
4,18,1,0,0.0
4,25,1,0,0.0
5,4,1015,562,0.5536945812807882
5,2,1435,1215,0.8466898954703833
5,3,1492,1025,0.6869973190348525
5,6,224,54,0.24107142857142858
5,5,541,208,0.3844731977818854
5,7,127,20,0.15748031496062992
5,8,55,5,0.09090909090909091
5,10,16,2,0.125
5,12,2,0,0.0
5,9,23,0,0.0
5,11,6,0,0.0
5,13,2,0,0.0
5,14,1,0,0.0
5,18,1,0,0.0
5,17,1,0,0.0
5,25,1,0,0.0
6,4,1030,564,0.5475728155339806
6,2,1403,1174,0.8367783321454028
6,3,1518,1055,0.6949934123847167
6,5,546,206,0.3772893772893773
6,7,111,19,0.17117117117117117
6,6,254,67,0.2637795275590551
6,8,49,3,0.061224489795918366
6,9,29,1,0.034482758620689655
6,10,14,1,0.07142857142857142
6,12,3,1,0.3333333333333333
6,11,5,0,0.0
6,13,1,0,0.0
6,15,1,0,0.0
7,4,1053,573,0.5441595441595442
7,2,1507,1267,0.840743198407432
7,3,1459,1027,0.7039067854694997
7,5,584,231,0.3955479452054795
7,7,127,24,0.1889763779527559
7,8,51,6,0.11764705882352941
7,6,254,65,0.2559055118110236
7,9,34,3,0.08823529411764706
7,10,13,0,0.0
7,13,3,0,0.0
7,14,2,1,0.5
7,11,4,0,0.0
7,12,2,0,0.0
7,18,1,0,0.0
7,17,1,0,0.0
7,25,1,0,0.0
8,4,1004,547,0.5448207171314741
8,2,1449,1221,0.8426501035196687
8,3,1479,1014,0.6855983772819473
8,5,565,219,0.38761061946902653
8,6,265,72,0.27169811320754716
8,7,112,24,0.21428571428571427
8,8,58,6,0.10344827586206896
8,9,32,4,0.125
8,10,13,1,0.07692307692307693
8,11,4,0,0.0
8,12,3,0,0.0
8,13,3,0,0.0
8,18,1,0,0.0
8,17,1,0,0.0
9,4,1070,574,0.5364485981308411
9,2,1441,1221,0.8473282442748091
9,3,1511,1019,0.6743878226340172
9,5,567,220,0.3880070546737213
9,6,248,63,0.2540322580645161
9,7,118,22,0.1864406779661017
9,8,44,8,0.18181818181818182
9,10,15,1,0.06666666666666667
9,12,3,1,0.3333333333333333
9,9,28,2,0.07142857142857142
9,11,6,0,0.0
9,14,2,1,0.5
9,13,3,0,0.0
9,18,1,0,0.0
9,17,1,0,0.0
10,4,1025,559,0.5453658536585366
10,2,1449,1215,0.8385093167701864
10,3,1516,1051,0.6932717678100264
10,5,499,189,0.3787575150300601
10,6,261,64,0.24521072796934865
10,7,124,25,0.20161290322580644
10,8,49,7,0.14285714285714285
10,9,35,1,0.02857142857142857
10,10,17,0,0.0
10,12,5,0,0.0
10,11,8,0,0.0
10,14,1,0,0.0
10,17,1,0,0.0
10,13,3,0,0.0
10,25,1,0,0.0
