iter,utterance_length,nb_utterances,produced,production_score
1,2,36,30,0.8333333333333334
1,3,6,3,0.5
1,4,2,0,0.0
1,6,1,0,0.0
2,3,12,6,0.5
2,2,26,24,0.9230769230769231
2,4,2,0,0.0
2,5,3,0,0.0
3,3,9,5,0.5555555555555556
3,4,2,0,0.0
3,2,25,24,0.96
3,6,1,0,0.0
4,3,8,6,0.75
4,2,30,26,0.8666666666666667
4,4,4,1,0.25
4,5,2,0,0.0
5,2,27,24,0.8888888888888888
5,3,8,5,0.625
5,4,5,0,0.0
5,5,2,0,0.0
5,6,1,0,0.0
6,2,30,26,0.8666666666666667
6,3,9,4,0.4444444444444444
6,4,4,2,0.5
6,6,1,0,0.0
7,2,29,26,0.896551724137931
7,3,11,5,0.45454545454545453
7,4,3,1,0.3333333333333333
7,5,2,0,0.0
7,6,1,0,0.0
8,3,8,3,0.375
8,2,21,19,0.9047619047619048
8,4,4,1,0.25
8,5,1,0,0.0
9,2,29,25,0.8620689655172413
9,4,5,0,0.0
9,3,2,2,1.0
9,5,2,0,0.0
10,2,33,27,0.8181818181818182
10,3,6,4,0.6666666666666666
10,5,3,1,0.3333333333333333
10,4,3,0,0.0
