iter,utterance_length,nb_utterances,produced,production_score
1,3,1708,1348,0.7892271662763466
1,5,1895,502,0.2649076517150396
1,8,769,23,0.02990897269180754
1,7,1081,76,0.07030527289546716
1,4,1978,984,0.4974721941354904
1,2,1016,1016,1.0
1,6,1526,173,0.11336828309305373
1,9,467,12,0.02569593147751606
1,14,64,4,0.0625
1,10,305,9,0.029508196721311476
1,13,102,2,0.0196078431372549
1,11,216,10,0.046296296296296294
1,15,46,1,0.021739130434782608
1,36,1,0,0.0
1,16,22,1,0.045454545454545456
1,18,13,0,0.0
1,12,129,1,0.007751937984496124
1,17,20,0,0.0
1,26,1,0,0.0
1,20,5,0,0.0
1,22,2,0,0.0
1,24,1,0,0.0
1,21,8,0,0.0
1,25,3,0,0.0
1,19,9,0,0.0
1,23,3,0,0.0
1,27,1,0,0.0
1,60,1,0,0.0
1,30,1,0,0.0
2,2,1017,1017,1.0
2,3,1658,1307,0.7882991556091676
2,5,1887,489,0.2591414944356121
2,8,734,20,0.027247956403269755
2,12,112,9,0.08035714285714286
2,7,1148,77,0.06707317073170732
2,4,1980,1006,0.5080808080808081
2,6,1525,172,0.11278688524590164
2,11,198,7,0.03535353535353535
2,9,460,15,0.03260869565217391
2,16,40,1,0.025
2,14,47,3,0.06382978723404255
2,10,326,11,0.03374233128834356
2,13,95,2,0.021052631578947368
2,18,15,0,0.0
2,19,10,0,0.0
2,22,1,0,0.0
2,17,16,0,0.0
2,26,2,0,0.0
2,15,50,2,0.04
2,20,5,0,0.0
2,41,1,0,0.0
2,24,2,0,0.0
2,32,1,0,0.0
2,21,7,0,0.0
2,30,1,0,0.0
2,23,3,0,0.0
2,27,2,0,0.0
2,25,1,0,0.0
3,4,1970,978,0.4964467005076142
3,3,1625,1290,0.7938461538461539
3,8,710,23,0.0323943661971831
3,9,475,18,0.037894736842105266
3,5,1944,522,0.26851851851851855
3,7,1074,57,0.05307262569832402
3,2,988,988,1.0
3,6,1571,187,0.11903246339910885
3,11,209,6,0.028708133971291867
3,16,44,1,0.022727272727272728
3,13,105,3,0.02857142857142857
3,10,314,9,0.028662420382165606
3,12,145,3,0.020689655172413793
3,14,59,4,0.06779661016949153
3,36,1,1,1.0
3,17,13,0,0.0
3,18,16,0,0.0
3,27,2,0,0.0
3,15,49,1,0.02040816326530612
3,26,2,0,0.0
3,21,7,0,0.0
3,22,1,0,0.0
3,19,7,0,0.0
3,20,4,0,0.0
3,23,2,0,0.0
3,39,1,0,0.0
3,25,1,0,0.0
3,30,1,0,0.0
3,28,1,0,0.0
4,4,1948,977,0.5015400410677618
4,3,1664,1328,0.7980769230769231
4,2,1042,1042,1.0
4,5,1932,520,0.2691511387163561
4,12,133,3,0.022556390977443608
4,6,1494,170,0.11378848728246319
4,8,735,23,0.031292517006802724
4,7,1051,62,0.058991436726926735
4,9,457,14,0.030634573304157548
4,11,208,7,0.03365384615384615
4,10,281,8,0.028469750889679714
4,13,94,2,0.02127659574468085
4,16,32,1,0.03125
4,17,15,0,0.0
4,14,54,3,0.05555555555555555
4,18,18,0,0.0
4,27,2,0,0.0
4,15,54,3,0.05555555555555555
4,23,4,0,0.0
4,20,4,0,0.0
4,21,6,0,0.0
4,19,5,0,0.0
4,24,2,0,0.0
4,25,1,0,0.0
4,22,1,0,0.0
4,30,2,0,0.0
4,60,1,0,0.0
5,2,1019,1019,1.0
5,4,1957,942,0.4813490035769034
5,3,1683,1340,0.7961972667855021
5,5,1896,515,0.27162447257383965
5,9,487,9,0.018480492813141684
5,7,1083,62,0.057248384118190214
5,8,754,23,0.03050397877984085
5,6,1535,171,0.11140065146579804
5,14,55,5,0.09090909090909091
5,13,104,2,0.019230769230769232
5,10,313,11,0.03514376996805112
5,11,191,6,0.031413612565445025
5,12,123,6,0.04878048780487805
5,16,30,0,0.0
5,36,1,0,0.0
5,17,19,0,0.0
5,27,4,0,0.0
