iter,utterance_length,nb_utterances,produced,production_score
1,2,3724,3724,1.0
1,3,3678,2974,0.8085916258836324
1,5,2010,540,0.26865671641791045
1,4,2896,1405,0.48515193370165743
1,8,430,17,0.03953488372093023
1,6,1314,170,0.1293759512937595
1,7,730,58,0.07945205479452055
1,12,50,3,0.06
1,9,248,10,0.04032258064516129
1,10,151,5,0.033112582781456956
1,11,74,1,0.013513513513513514
1,13,30,2,0.06666666666666667
1,14,17,1,0.058823529411764705
1,15,14,2,0.14285714285714285
1,21,3,0,0.0
1,16,7,0,0.0
1,18,3,0,0.0
1,44,1,0,0.0
1,22,1,0,0.0
1,19,4,0,0.0
1,17,3,1,0.3333333333333333
1,20,2,0,0.0
2,2,3708,3708,1.0
2,3,3610,2893,0.8013850415512466
2,6,1346,168,0.12481426448736999
2,4,2855,1388,0.4861646234676007
2,7,744,56,0.07526881720430108
2,8,427,27,0.06323185011709602
2,5,1990,516,0.2592964824120603
2,10,141,9,0.06382978723404255
2,9,263,11,0.04182509505703422
2,14,15,2,0.13333333333333333
2,12,57,2,0.03508771929824561
2,11,67,4,0.05970149253731343
2,13,29,2,0.06896551724137931
2,15,13,0,0.0
2,18,4,0,0.0
2,16,4,0,0.0
2,21,1,0,0.0
2,17,1,0,0.0
2,19,2,0,0.0
2,30,1,0,0.0
3,2,3719,3719,1.0
3,3,3635,2933,0.8068775790921595
3,6,1322,171,0.12934947049924356
3,5,1986,518,0.2608257804632427
3,4,2888,1385,0.4795706371191136
3,8,434,26,0.059907834101382486
3,7,768,58,0.07552083333333333
3,12,54,3,0.05555555555555555
3,11,77,0,0.0
3,10,144,8,0.05555555555555555
3,9,259,9,0.03474903474903475
3,14,18,3,0.16666666666666666
3,13,29,0,0.0
3,21,2,0,0.0
3,15,15,2,0.13333333333333333
3,16,5,0,0.0
3,17,2,0,0.0
3,18,2,0,0.0
3,20,1,0,0.0
4,2,3654,3654,1.0
4,3,3710,3045,0.8207547169811321
4,6,1283,168,0.1309431021044427
4,7,776,73,0.09407216494845361
4,5,2038,541,0.26545632973503436
4,4,2828,1360,0.4809052333804809
4,8,469,25,0.053304904051172705
4,12,52,0,0.0
4,14,29,3,0.10344827586206896
4,11,63,0,0.0
4,10,160,8,0.05
4,9,236,11,0.046610169491525424
4,25,1,0,0.0
4,13,25,1,0.04
4,17,5,0,0.0
4,15,14,0,0.0
4,18,4,0,0.0
4,16,4,0,0.0
4,20,3,0,0.0
4,22,1,0,0.0
4,19,3,0,0.0
4,21,1,0,0.0
4,24,1,0,0.0
5,2,3713,3713,1.0
5,3,3677,2979,0.8101713353277128
5,5,2050,503,0.24536585365853658
5,4,2892,1362,0.470954356846473
5,8,433,19,0.04387990762124711
5,6,1363,207,0.15187087307410124
5,7,814,56,0.0687960687960688
5,9,251,10,0.0398406374501992
5,12,59,2,0.03389830508474576
5,10,144,7,0.04861111111111111
5,11,92,1,0.010869565217391304
5,14,20,4,0.2
5,13,23,1,0.043478260869565216
5,21,2,0,0.0
5,17,3,0,0.0
5,16,8,0,0.0
5,15,10,2,0.2
5,20,2,0,0.0
5,22,1,0,0.0
5,18,2,0,0.0
5,19,2,0,0.0
5,30,1,0,0.0
6,2,3718,3718,1.0
6,3,3728,3002,0.8052575107296137
6,6,1297,170,0.13107170393215112
6,4,2839,1410,0.4966537513208876
6,7,784,53,0.06760204081632654
6,5,1990,525,0.2638190954773869
6,8,457,24,0.0525164113785558
6,12,56,0,0.0
6,11,67,1,0.014925373134328358
6,10,146,7,0.04794520547945205
6,9,252,10,0.03968253968253968
6,14,16,3,0.1875
6,13,23,1,0.043478260869565216
6,21,1,0,0.0
6,20,1,0,0.0
6,18,2,0,0.0
6,15,11,1,0.09090909090909091
6,16,7,0,0.0
6,22,1,0,0.0
6,19,3,0,0.0
6,17,2,0,0.0
6,30,1,0,0.0
6,24,1,0,0.0
7,2,3695,3695,1.0
7,3,3633,2921,0.804018717313515
7,4,2912,1420,0.4876373626373626
7,7,748,55,0.07352941176470588
7,8,474,23,0.04852320675105485
7,5,1989,490,0.2463549522373052
7,6,1341,192,0.14317673378076062
7,11,78,0,0.0
7,10,146,9,0.06164383561643835
7,14,18,2,0.1111111111111111
7,9,241,7,0.029045643153526972
7,12,50,1,0.02
7,13,23,0,0.0
