iter,utterance_length,nb_utterances,produced,production_score
1,4,735,396,0.5387755102040817
1,7,134,26,0.19402985074626866
1,8,86,19,0.22093023255813954
1,6,226,47,0.2079646017699115
1,11,8,1,0.125
1,2,2132,2132,1.0
1,3,1320,1112,0.8424242424242424
1,10,18,6,0.3333333333333333
1,5,407,134,0.32923832923832924
1,21,1,1,1.0
1,9,37,0,0.0
1,12,13,1,0.07692307692307693
1,14,7,1,0.14285714285714285
1,17,1,0,0.0
1,13,5,1,0.2
1,16,2,0,0.0
1,15,2,0,0.0
1,27,2,0,0.0
1,20,2,0,0.0
2,3,1348,1134,0.841246290801187
2,4,723,387,0.5352697095435685
2,6,241,41,0.17012448132780084
2,2,2141,2141,1.0
2,11,12,2,0.16666666666666666
2,5,408,135,0.33088235294117646
2,8,70,16,0.22857142857142856
2,9,37,5,0.13513513513513514
2,7,128,18,0.140625
2,10,19,4,0.21052631578947367
2,12,15,2,0.13333333333333333
2,13,3,0,0.0
2,14,3,0,0.0
2,17,2,0,0.0
2,23,1,0,0.0
2,16,2,0,0.0
2,21,1,0,0.0
2,15,2,0,0.0
2,27,1,0,0.0
3,3,1295,1088,0.8401544401544402
3,4,754,408,0.5411140583554377
3,2,2170,2170,1.0
3,5,383,116,0.3028720626631854
3,8,76,9,0.11842105263157894
3,12,13,2,0.15384615384615385
3,10,22,6,0.2727272727272727
3,9,36,1,0.027777777777777776
3,6,226,32,0.1415929203539823
3,7,136,22,0.16176470588235295
3,11,8,1,0.125
3,17,3,0,0.0
3,22,1,0,0.0
3,13,7,0,0.0
3,25,1,0,0.0
3,16,1,0,0.0
3,15,1,0,0.0
3,23,1,1,1.0
3,14,3,0,0.0
4,2,2124,2124,1.0
4,4,735,390,0.5306122448979592
4,3,1292,1094,0.846749226006192
4,8,74,21,0.28378378378378377
4,6,210,35,0.16666666666666666
4,14,5,1,0.2
4,11,6,1,0.16666666666666666
4,12,10,2,0.2
4,10,16,2,0.125
4,5,381,122,0.32020997375328086
4,7,130,18,0.13846153846153847
4,9,30,1,0.03333333333333333
4,13,2,0,0.0
4,16,1,1,1.0
4,15,5,2,0.4
4,27,1,0,0.0
5,4,722,406,0.5623268698060941
5,8,63,9,0.14285714285714285
5,6,194,36,0.18556701030927836
5,14,6,2,0.3333333333333333
5,12,6,2,0.3333333333333333
5,3,1320,1119,0.8477272727272728
5,2,2136,2136,1.0
5,7,125,18,0.144
5,5,390,128,0.3282051282051282
5,17,3,0,0.0
5,10,27,3,0.1111111111111111
5,11,7,2,0.2857142857142857
5,9,33,2,0.06060606060606061
5,21,2,1,0.5
5,13,3,1,0.3333333333333333
5,22,1,0,0.0
5,16,2,1,0.5
5,25,1,0,0.0
5,27,1,0,0.0
5,23,1,1,1.0
5,31,1,0,0.0
5,15,1,0,0.0
6,3,1306,1105,0.8460949464012251
6,4,772,426,0.5518134715025906
6,2,2190,2190,1.0
6,7,126,18,0.14285714285714285
6,6,213,40,0.18779342723004694
6,14,4,1,0.25
6,11,12,2,0.16666666666666666
6,10,18,5,0.2777777777777778
6,8,71,6,0.08450704225352113
6,9,35,2,0.05714285714285714
6,5,375,108,0.288
6,12,12,2,0.16666666666666666
6,13,6,0,0.0
6,21,1,1,1.0
6,22,1,0,0.0
6,16,2,1,0.5
6,15,3,2,0.6666666666666666
6,27,1,0,0.0
7,4,740,411,0.5554054054054054
7,7,144,24,0.16666666666666666
7,3,1288,1095,0.8501552795031055
7,8,69,16,0.2318840579710145
7,6,203,37,0.18226600985221675
7,2,2171,2171,1.0
7,11,12,2,0.16666666666666666
7,12,14,2,0.14285714285714285
7,10,20,2,0.1
7,5,405,119,0.2938271604938272
7,9,31,1,0.03225806451612903
7,13,4,1,0.25
7,22,1,0,0.0
7,14,4,1,0.25
7,17,1,0,0.0
7,16,1,0,0.0
7,23,1,1,1.0
7,15,3,0,0.0
7,21,1,0,0.0
7,31,1,0,0.0
7,20,1,0,0.0
7,27,1,0,0.0
8,4,764,400,0.5235602094240838
8,3,1322,1108,0.8381240544629349
8,6,225,33,0.14666666666666667
8,2,2165,2165,1.0
8,8,82,13,0.15853658536585366
8,5,394,115,0.2918781725888325
8,7,128,24,0.1875
8,14,4,1,0.25
8,17,2,0,0.0
8,10,19,5,0.2631578947368421
8,9,37,2,0.05405405405405406
8,21,1,1,1.0
8,11,9,0,0.0
8,12,10,2,0.2
8,13,1,0,0.0
8,15,4,1,0.25
8,25,1,0,0.0
8,31,1,0,0.0
8,20,1,1,1.0
8,27,1,0,0.0
9,3,1301,1110,0.8531898539584934
9,4,758,424,0.5593667546174143
9,7,126,18,0.14285714285714285
9,8,71,12,0.16901408450704225
9,2,2109,2109,1.0
9,10,22,5,0.22727272727272727
9,9,39,2,0.05128205128205128
9,5,373,103,0.2761394101876676
9,6,218,42,0.1926605504587156
9,12,12,1,0.08333333333333333
9,13,4,0,0.0
9,21,2,1,0.5
9,14,4,0,0.0
9,11,7,0,0.0
9,17,1,0,0.0
9,23,1,0,0.0
9,15,6,1,0.16666666666666666
9,31,1,0,0.0
9,20,1,0,0.0
9,27,1,0,0.0
10,3,1301,1100,0.8455034588777863
10,4,748,390,0.5213903743315508
10,7,127,20,0.15748031496062992
10,2,2110,2110,1.0
10,8,75,14,0.18666666666666668
10,5,391,120,0.3069053708439898
10,6,232,42,0.1810344827586207
10,10,13,2,0.15384615384615385
10,9,33,0,0.0
10,11,11,1,0.09090909090909091
10,12,12,2,0.16666666666666666
10,13,6,1,0.16666666666666666
10,21,2,1,0.5
10,14,4,1,0.25
10,17,2,0,0.0
10,15,5,2,0.4
10,16,1,0,0.0
10,31,1,0,0.0
