iter,utterance_length,nb_utterances,produced,production_score
1,3,1462,1181,0.8077975376196991
1,2,1864,1864,1.0
1,4,798,381,0.4774436090225564
1,5,428,119,0.2780373831775701
1,6,181,29,0.16022099447513813
1,7,89,6,0.06741573033707865
1,9,16,4,0.25
1,8,34,2,0.058823529411764705
1,10,7,0,0.0
1,13,1,0,0.0
1,11,3,0,0.0
2,3,1501,1194,0.7954696868754164
2,2,1867,1867,1.0
2,4,862,404,0.46867749419953597
2,5,395,102,0.2582278481012658
2,6,180,24,0.13333333333333333
2,7,87,5,0.05747126436781609
2,9,19,2,0.10526315789473684
2,10,7,1,0.14285714285714285
2,8,24,3,0.125
2,12,2,0,0.0
2,11,1,0,0.0
3,2,1832,1832,1.0
3,3,1478,1182,0.7997293640054127
3,4,840,405,0.48214285714285715
3,5,416,113,0.27163461538461536
3,7,78,8,0.10256410256410256
3,6,171,20,0.11695906432748537
3,11,4,0,0.0
3,9,19,5,0.2631578947368421
3,10,6,0,0.0
3,8,30,1,0.03333333333333333
3,12,1,0,0.0
3,13,1,0,0.0
4,2,1833,1833,1.0
4,3,1488,1158,0.7782258064516129
4,4,842,377,0.4477434679334917
4,5,432,132,0.3055555555555556
4,7,92,5,0.05434782608695652
4,6,177,22,0.12429378531073447
4,8,32,2,0.0625
4,10,8,1,0.125
4,9,19,2,0.10526315789473684
4,12,2,0,0.0
4,11,3,0,0.0
5,2,1822,1822,1.0
5,3,1438,1145,0.7962447844228094
5,4,838,396,0.47255369928400953
5,5,432,101,0.2337962962962963
5,6,168,12,0.07142857142857142
5,7,80,3,0.0375
5,8,30,1,0.03333333333333333
5,10,3,0,0.0
5,9,12,1,0.08333333333333333
5,12,1,0,0.0
5,14,1,0,0.0
5,13,1,0,0.0
6,3,1532,1223,0.7983028720626631
6,2,1852,1852,1.0
6,4,834,384,0.460431654676259
6,5,422,112,0.26540284360189575
6,7,74,4,0.05405405405405406
6,6,172,25,0.14534883720930233
6,8,36,3,0.08333333333333333
6,9,15,4,0.26666666666666666
6,10,7,0,0.0
6,13,1,0,0.0
6,14,1,0,0.0
6,12,2,1,0.5
6,11,2,0,0.0
7,3,1522,1202,0.7897503285151117
7,2,1850,1850,1.0
7,4,861,410,0.47619047619047616
7,5,405,104,0.25679012345679014
7,7,81,8,0.09876543209876543
7,6,161,26,0.16149068322981366
7,8,33,0,0.0
7,9,16,5,0.3125
7,10,4,0,0.0
7,12,2,0,0.0
7,13,1,0,0.0
7,11,1,0,0.0
8,2,1843,1843,1.0
8,3,1499,1203,0.8025350233488993
8,4,839,394,0.4696066746126341
8,5,428,123,0.28738317757009346
8,7,94,8,0.0851063829787234
8,6,152,20,0.13157894736842105
8,8,25,2,0.08
8,10,13,1,0.07692307692307693
8,9,17,2,0.11764705882352941
8,12,1,0,0.0
8,13,1,1,1.0
8,11,3,1,0.3333333333333333
9,2,1862,1862,1.0
9,3,1491,1174,0.7873910127431254
9,4,844,414,0.490521327014218
9,5,433,126,0.2909930715935335
9,6,179,19,0.10614525139664804
9,7,75,8,0.10666666666666667
9,8,29,1,0.034482758620689655
9,10,7,0,0.0
9,9,24,2,0.08333333333333333
9,12,1,0,0.0
9,11,1,0,0.0
10,2,1813,1813,1.0
10,3,1461,1172,0.8021902806297057
10,4,800,393,0.49125
10,5,424,118,0.2783018867924528
10,7,82,3,0.036585365853658534
10,6,155,19,0.12258064516129032
10,9,17,3,0.17647058823529413
10,10,8,1,0.125
10,8,33,1,0.030303030303030304
10,12,2,0,0.0
10,13,2,0,0.0
10,11,2,1,0.5
