iter,utterance_length,nb_utterances,produced,production_score
1,2,1460,1460,1.0
1,3,1179,995,0.8439355385920272
1,4,890,488,0.5483146067415731
1,5,521,138,0.2648752399232246
1,6,277,30,0.10830324909747292
1,7,143,3,0.02097902097902098
1,8,57,1,0.017543859649122806
1,9,22,2,0.09090909090909091
1,10,15,0,0.0
1,12,6,0,0.0
1,11,5,0,0.0
1,13,3,0,0.0
1,17,1,0,0.0
2,2,1428,1428,1.0
2,3,1174,974,0.8296422487223168
2,4,873,461,0.5280641466208477
2,5,526,118,0.22433460076045628
2,6,272,24,0.08823529411764706
2,8,52,2,0.038461538461538464
2,7,120,1,0.008333333333333333
2,9,27,1,0.037037037037037035
2,12,5,0,0.0
2,10,19,0,0.0
2,11,8,0,0.0
2,17,1,0,0.0
2,14,1,0,0.0
3,2,1384,1384,1.0
3,3,1255,1062,0.846215139442231
3,4,913,464,0.5082146768893757
3,5,531,116,0.2184557438794727
3,6,248,23,0.09274193548387097
3,7,134,1,0.007462686567164179
3,8,55,2,0.03636363636363636
3,9,33,1,0.030303030303030304
3,10,15,0,0.0
3,11,8,0,0.0
3,14,2,0,0.0
3,12,3,0,0.0
3,13,2,0,0.0
3,17,1,0,0.0
4,2,1390,1390,1.0
4,3,1166,965,0.8276157804459692
4,4,903,468,0.5182724252491694
4,5,553,139,0.2513562386980108
4,6,270,27,0.1
4,7,128,5,0.0390625
4,8,68,3,0.04411764705882353
4,12,2,0,0.0
4,10,14,0,0.0
4,9,26,2,0.07692307692307693
4,11,9,0,0.0
4,14,1,0,0.0
4,13,1,0,0.0
5,2,1400,1400,1.0
5,3,1138,948,0.8330404217926186
5,4,867,455,0.52479815455594
5,5,562,138,0.24555160142348753
5,6,265,21,0.07924528301886792
5,7,122,3,0.02459016393442623
5,8,66,1,0.015151515151515152
5,9,26,3,0.11538461538461539
5,11,8,0,0.0
5,10,11,0,0.0
5,14,1,0,0.0
5,12,3,0,0.0
5,13,2,0,0.0
6,2,1413,1413,1.0
6,3,1231,1045,0.8489033306255077
6,4,887,446,0.5028184892897407
6,6,286,27,0.0944055944055944
6,7,126,3,0.023809523809523808
6,5,530,132,0.2490566037735849
6,8,66,4,0.06060606060606061
6,9,26,2,0.07692307692307693
6,10,16,0,0.0
6,12,5,0,0.0
6,11,6,0,0.0
6,14,1,0,0.0
6,13,1,0,0.0
7,2,1425,1425,1.0
7,3,1213,1027,0.8466611706512778
7,4,891,481,0.5398428731762065
7,5,558,140,0.25089605734767023
7,6,285,27,0.09473684210526316
7,7,135,3,0.022222222222222223
7,8,61,2,0.03278688524590164
7,9,28,1,0.03571428571428571
7,12,7,0,0.0
7,10,15,0,0.0
7,11,8,0,0.0
7,14,3,0,0.0
7,13,2,0,0.0
8,2,1379,1379,1.0
8,3,1221,1035,0.8476658476658476
8,4,865,457,0.5283236994219653
8,6,272,24,0.08823529411764706
8,5,550,136,0.24727272727272728
8,7,137,6,0.043795620437956206
8,8,60,0,0.0
8,9,26,1,0.038461538461538464
8,10,15,0,0.0
8,11,8,1,0.125
8,12,4,0,0.0
8,13,2,0,0.0
8,14,1,0,0.0
9,2,1388,1388,1.0
9,3,1232,1049,0.851461038961039
9,4,866,476,0.5496535796766744
9,5,521,127,0.2437619961612284
9,6,273,38,0.1391941391941392
9,7,125,6,0.048
9,8,60,3,0.05
9,9,26,2,0.07692307692307693
9,12,5,0,0.0
9,10,22,0,0.0
9,11,6,0,0.0
9,14,2,0,0.0
9,13,1,0,0.0
9,17,1,0,0.0
10,2,1389,1389,1.0
10,3,1219,1009,0.8277276456111566
10,4,856,481,0.5619158878504673
10,5,546,125,0.22893772893772893
10,6,282,40,0.14184397163120568
10,7,128,4,0.03125
10,8,58,3,0.05172413793103448
10,9,24,0,0.0
10,12,2,0,0.0
10,10,14,0,0.0
10,11,9,0,0.0
10,17,1,0,0.0
10,13,1,0,0.0
