iter,utterance_length,nb_utterances,produced,production_score
1,3,184,161,0.875
1,2,157,157,1.0
1,4,141,68,0.48226950354609927
1,5,129,27,0.20930232558139536
1,6,111,8,0.07207207207207207
1,7,43,5,0.11627906976744186
1,10,9,1,0.1111111111111111
1,8,36,4,0.1111111111111111
1,9,14,0,0.0
1,11,4,1,0.25
1,16,1,1,1.0
1,25,1,0,0.0
1,13,1,0,0.0
1,12,1,0,0.0
2,2,165,165,1.0
2,6,95,11,0.11578947368421053
2,4,147,68,0.46258503401360546
2,3,189,159,0.8412698412698413
2,7,47,5,0.10638297872340426
2,5,115,29,0.25217391304347825
2,9,10,2,0.2
2,8,35,5,0.14285714285714285
2,11,5,0,0.0
2,12,2,0,0.0
2,10,10,0,0.0
2,13,2,0,0.0
2,25,1,0,0.0
2,14,1,0,0.0
3,3,169,137,0.8106508875739645
3,2,171,171,1.0
3,6,91,9,0.0989010989010989
3,5,149,34,0.22818791946308725
3,4,154,76,0.4935064935064935
3,8,30,4,0.13333333333333333
3,7,51,4,0.0784313725490196
3,9,19,2,0.10526315789473684
3,10,9,1,0.1111111111111111
3,12,1,0,0.0
3,13,3,0,0.0
3,11,4,1,0.25
3,15,1,1,1.0
3,14,1,0,0.0
4,3,166,137,0.8253012048192772
4,5,134,35,0.26119402985074625
4,2,154,154,1.0
4,4,170,79,0.4647058823529412
4,8,40,4,0.1
4,6,92,10,0.10869565217391304
4,7,42,3,0.07142857142857142
4,9,13,2,0.15384615384615385
4,10,8,1,0.125
4,12,2,0,0.0
4,11,6,1,0.16666666666666666
4,16,1,1,1.0
4,25,1,0,0.0
4,14,1,0,0.0
5,2,165,165,1.0
5,5,131,26,0.1984732824427481
5,3,167,141,0.844311377245509
5,6,84,11,0.13095238095238096
5,4,157,82,0.5222929936305732
5,8,23,2,0.08695652173913043
5,7,43,6,0.13953488372093023
5,9,14,2,0.14285714285714285
5,10,5,2,0.4
5,11,5,0,0.0
5,13,1,0,0.0
5,16,1,1,1.0
5,25,1,0,0.0
5,14,1,0,0.0
6,3,182,142,0.7802197802197802
6,5,133,34,0.2556390977443609
6,2,138,138,1.0
6,4,148,80,0.5405405405405406
6,8,37,6,0.16216216216216217
6,6,91,10,0.10989010989010989
6,9,17,2,0.11764705882352941
6,7,45,5,0.1111111111111111
6,11,5,1,0.2
6,10,14,1,0.07142857142857142
6,13,2,0,0.0
6,12,2,0,0.0
7,3,169,140,0.8284023668639053
7,5,152,36,0.23684210526315788
7,4,154,74,0.4805194805194805
7,6,99,7,0.0707070707070707
7,2,150,150,1.0
7,8,29,2,0.06896551724137931
7,7,50,4,0.08
7,9,18,2,0.1111111111111111
7,10,9,1,0.1111111111111111
7,12,2,0,0.0
7,11,6,0,0.0
7,13,1,0,0.0
7,15,1,1,1.0
7,14,1,0,0.0
8,3,196,167,0.8520408163265306
8,5,137,38,0.2773722627737226
8,6,86,7,0.08139534883720931
8,2,139,139,1.0
8,4,150,71,0.47333333333333333
8,8,38,2,0.05263157894736842
8,7,46,7,0.15217391304347827
8,9,19,3,0.15789473684210525
8,10,10,1,0.1
8,13,1,0,0.0
8,11,4,1,0.25
8,25,1,0,0.0
8,12,2,0,0.0
9,3,195,158,0.8102564102564103
9,6,95,8,0.08421052631578947
9,4,154,74,0.4805194805194805
9,5,130,33,0.25384615384615383
9,2,153,153,1.0
9,8,34,2,0.058823529411764705
9,9,10,0,0.0
9,7,46,2,0.043478260869565216
9,10,9,2,0.2222222222222222
9,11,5,0,0.0
9,12,1,0,0.0
9,13,2,0,0.0
9,15,1,1,1.0
9,16,1,1,1.0
9,25,1,0,0.0
10,3,169,146,0.863905325443787
10,2,151,151,1.0
10,4,140,68,0.4857142857142857
10,5,125,35,0.28
10,6,96,9,0.09375
10,8,36,3,0.08333333333333333
10,7,55,5,0.09090909090909091
10,9,10,1,0.1
10,10,6,0,0.0
10,11,5,0,0.0
10,25,1,0,0.0
10,12,2,0,0.0
