iter,utterance_length,nb_utterances,produced,production_score
1,2,1980,1980,1.0
1,3,1510,1204,0.7973509933774835
1,4,1041,522,0.5014409221902018
1,5,527,141,0.2675521821631879
1,6,258,35,0.13565891472868216
1,7,117,13,0.1111111111111111
1,10,4,0,0.0
1,8,52,4,0.07692307692307693
1,9,16,1,0.0625
1,15,1,0,0.0
1,11,4,0,0.0
1,13,1,0,0.0
1,12,1,0,0.0
2,4,1018,504,0.4950884086444008
2,2,1987,1987,1.0
2,3,1503,1230,0.8183632734530938
2,6,273,40,0.14652014652014653
2,5,556,142,0.25539568345323743
2,7,121,9,0.0743801652892562
2,10,6,0,0.0
2,8,50,2,0.04
2,9,22,0,0.0
2,15,1,0,0.0
2,11,3,0,0.0
2,12,1,1,1.0
3,3,1523,1226,0.8049901510177282
3,2,2033,2033,1.0
3,4,1037,506,0.4879459980713597
3,6,273,46,0.1684981684981685
3,5,547,164,0.29981718464351004
3,7,134,12,0.08955223880597014
3,8,55,2,0.03636363636363636
3,9,17,1,0.058823529411764705
3,15,2,0,0.0
3,11,5,0,0.0
3,10,1,0,0.0
3,12,1,0,0.0
3,13,1,0,0.0
4,4,1013,535,0.5281342546890424
4,3,1517,1234,0.8134475939353988
4,2,1949,1949,1.0
4,5,547,136,0.24862888482632542
4,6,298,50,0.16778523489932887
4,9,20,0,0.0
4,7,119,11,0.09243697478991597
4,8,56,4,0.07142857142857142
4,13,2,0,0.0
4,12,3,0,0.0
4,15,2,0,0.0
4,10,5,0,0.0
4,11,7,0,0.0
5,2,1988,1988,1.0
5,3,1472,1203,0.8172554347826086
5,4,1058,523,0.4943289224952741
5,5,517,130,0.2514506769825919
5,6,273,32,0.11721611721611722
5,7,135,9,0.06666666666666667
5,8,53,2,0.03773584905660377
5,9,17,0,0.0
5,12,2,1,0.5
5,10,5,0,0.0
5,13,1,0,0.0
5,11,3,0,0.0
6,2,2012,2012,1.0
6,3,1497,1206,0.8056112224448898
6,4,1087,549,0.5050597976080957
6,5,555,147,0.2648648648648649
6,6,288,45,0.15625
6,7,123,9,0.07317073170731707
6,10,7,0,0.0
6,8,65,2,0.03076923076923077
6,9,21,1,0.047619047619047616
6,13,3,0,0.0
6,15,2,0,0.0
6,12,4,1,0.25
6,11,3,0,0.0
7,4,1018,502,0.4931237721021611
7,2,1951,1951,1.0
7,3,1499,1221,0.8145430286857905
7,5,516,132,0.2558139534883721
7,6,272,39,0.14338235294117646
7,7,127,10,0.07874015748031496
7,8,51,5,0.09803921568627451
7,9,22,0,0.0
7,13,2,0,0.0
7,10,5,0,0.0
7,12,2,0,0.0
7,15,2,0,0.0
7,11,1,0,0.0
8,2,1937,1937,1.0
8,3,1564,1275,0.8152173913043478
8,4,1006,501,0.49801192842942343
8,6,272,38,0.13970588235294118
8,5,522,136,0.26053639846743293
8,9,22,0,0.0
8,7,122,8,0.06557377049180328
8,10,8,0,0.0
8,8,52,4,0.07692307692307693
8,15,3,0,0.0
8,12,3,0,0.0
8,11,5,0,0.0
8,13,1,0,0.0
9,4,1071,506,0.47245564892623715
9,2,1959,1959,1.0
9,3,1514,1212,0.8005284015852048
9,5,521,129,0.2476007677543186
9,6,279,35,0.12544802867383512
9,7,143,4,0.027972027972027972
9,8,50,1,0.02
9,9,10,0,0.0
9,10,7,0,0.0
9,15,1,0,0.0
9,12,1,0,0.0
9,13,2,0,0.0
9,11,3,0,0.0
10,2,1975,1975,1.0
10,3,1553,1228,0.7907276239536382
10,4,1049,508,0.48427073403241183
10,5,534,137,0.2565543071161049
10,6,273,40,0.14652014652014653
10,9,15,2,0.13333333333333333
10,7,119,12,0.10084033613445378
10,10,6,0,0.0
10,8,52,2,0.038461538461538464
10,13,2,0,0.0
10,11,5,0,0.0
