iter,utterance_length,nb_utterances,produced,production_score
1,3,2168,1773,0.8178044280442804
1,2,2736,2736,1.0
1,5,631,207,0.32805071315372425
1,4,1316,725,0.5509118541033434
1,6,242,37,0.15289256198347106
1,8,49,3,0.061224489795918366
1,7,124,9,0.07258064516129033
1,9,10,1,0.1
1,10,11,0,0.0
1,11,6,0,0.0
1,14,2,0,0.0
1,13,2,0,0.0
1,12,1,0,0.0
2,3,2215,1799,0.8121896162528217
2,2,2771,2771,1.0
2,7,134,12,0.08955223880597014
2,4,1330,749,0.5631578947368421
2,5,585,176,0.30085470085470084
2,6,281,39,0.1387900355871886
2,8,52,2,0.038461538461538464
2,11,9,0,0.0
2,12,3,0,0.0
2,9,18,0,0.0
2,10,10,0,0.0
3,3,2170,1778,0.8193548387096774
3,2,2817,2817,1.0
3,5,600,168,0.28
3,4,1318,714,0.5417298937784522
3,6,286,45,0.15734265734265734
3,8,48,2,0.041666666666666664
3,7,110,9,0.08181818181818182
3,12,2,0,0.0
3,9,13,1,0.07692307692307693
3,11,4,0,0.0
3,10,7,0,0.0
3,14,1,0,0.0
3,13,1,0,0.0
4,2,2783,2783,1.0
4,5,596,191,0.32046979865771813
4,3,2168,1787,0.8242619926199262
4,4,1280,704,0.55
4,6,279,39,0.13978494623655913
4,8,41,0,0.0
4,7,131,10,0.07633587786259542
4,9,13,2,0.15384615384615385
4,10,8,0,0.0
4,11,7,1,0.14285714285714285
4,13,2,0,0.0
4,12,1,0,0.0
5,3,2222,1824,0.8208820882088209
5,4,1326,706,0.5324283559577677
5,2,2798,2798,1.0
5,6,275,45,0.16363636363636364
5,7,109,6,0.05504587155963303
5,5,599,197,0.328881469115192
5,8,49,2,0.04081632653061224
5,12,2,0,0.0
5,9,17,0,0.0
5,11,6,1,0.16666666666666666
5,10,10,0,0.0
5,13,3,0,0.0
6,3,2170,1720,0.7926267281105991
6,2,2754,2754,1.0
6,4,1261,686,0.5440126883425852
6,6,286,42,0.14685314685314685
6,5,620,178,0.2870967741935484
6,8,58,2,0.034482758620689655
6,7,122,4,0.03278688524590164
6,11,6,0,0.0
6,10,12,0,0.0
6,9,12,1,0.08333333333333333
6,12,2,0,0.0
6,13,1,0,0.0
6,14,1,0,0.0
7,2,2768,2768,1.0
7,3,2147,1748,0.8141592920353983
7,4,1330,733,0.5511278195488721
7,5,600,184,0.30666666666666664
7,7,121,9,0.0743801652892562
7,6,276,48,0.17391304347826086
7,8,44,1,0.022727272727272728
7,11,10,1,0.1
7,10,9,0,0.0
7,9,10,1,0.1
7,12,2,0,0.0
7,13,2,0,0.0
8,3,2165,1762,0.8138568129330254
8,2,2802,2802,1.0
8,4,1323,696,0.5260770975056689
8,5,603,193,0.3200663349917081
8,6,279,47,0.16845878136200718
8,8,49,3,0.061224489795918366
8,7,126,10,0.07936507936507936
8,11,6,0,0.0
8,12,1,0,0.0
8,9,26,1,0.038461538461538464
8,10,12,1,0.08333333333333333
8,13,4,0,0.0
8,14,1,0,0.0
9,3,2197,1744,0.7938097405553027
9,2,2627,2627,1.0
9,4,1288,670,0.5201863354037267
9,5,593,182,0.3069139966273187
9,6,260,39,0.15
9,8,52,4,0.07692307692307693
9,7,123,11,0.08943089430894309
9,12,4,0,0.0
9,11,9,0,0.0
9,10,12,0,0.0
9,9,12,0,0.0
9,14,1,0,0.0
9,13,3,0,0.0
10,3,2233,1816,0.8132557098074339
10,2,2690,2690,1.0
10,5,593,196,0.3305227655986509
10,4,1314,738,0.5616438356164384
10,7,119,7,0.058823529411764705
10,6,287,43,0.14982578397212543
10,8,57,4,0.07017543859649122
10,12,3,0,0.0
10,11,4,0,0.0
10,10,8,0,0.0
10,9,16,0,0.0
10,13,2,0,0.0
10,14,1,0,0.0
