iter,utterance_length,nb_utterances,produced,production_score
1,6,94,9,0.09574468085106383
1,2,174,174,1.0
1,4,184,72,0.391304347826087
1,3,201,151,0.7512437810945274
1,5,143,39,0.2727272727272727
1,9,25,3,0.12
1,10,21,1,0.047619047619047616
1,7,53,2,0.03773584905660377
1,13,6,1,0.16666666666666666
1,8,46,2,0.043478260869565216
1,12,7,1,0.14285714285714285
1,14,2,0,0.0
1,11,3,0,0.0
1,23,1,0,0.0
1,16,2,0,0.0
1,15,3,0,0.0
1,17,1,0,0.0
2,3,202,158,0.7821782178217822
2,5,150,29,0.19333333333333333
2,4,178,78,0.43820224719101125
2,2,181,181,1.0
2,7,59,6,0.1016949152542373
2,6,88,12,0.13636363636363635
2,9,24,3,0.125
2,8,29,1,0.034482758620689655
2,10,19,1,0.05263157894736842
2,12,7,1,0.14285714285714285
2,13,5,2,0.4
2,24,1,0,0.0
2,14,4,0,0.0
2,16,1,0,0.0
2,18,1,0,0.0
2,22,1,0,0.0
2,11,3,0,0.0
2,27,1,0,0.0
2,15,2,0,0.0
3,6,92,15,0.16304347826086957
3,3,218,182,0.8348623853211009
3,4,172,80,0.46511627906976744
3,7,73,5,0.0684931506849315
3,5,151,32,0.2119205298013245
3,2,206,206,1.0
3,9,23,1,0.043478260869565216
3,8,39,4,0.10256410256410256
3,10,19,2,0.10526315789473684
3,14,2,0,0.0
3,13,3,0,0.0
3,23,1,0,0.0
3,16,3,0,0.0
3,22,1,1,1.0
3,12,3,1,0.3333333333333333
3,11,2,0,0.0
3,15,3,0,0.0
4,6,103,11,0.10679611650485436
4,3,223,176,0.7892376681614349
4,4,190,88,0.4631578947368421
4,2,176,176,1.0
4,5,160,41,0.25625
4,9,22,3,0.13636363636363635
4,10,17,0,0.0
4,8,35,1,0.02857142857142857
4,7,61,3,0.04918032786885246
4,12,7,2,0.2857142857142857
4,14,3,0,0.0
4,16,3,0,0.0
4,13,4,0,0.0
4,18,1,0,0.0
4,15,4,0,0.0
4,22,1,1,1.0
4,11,4,0,0.0
4,27,1,0,0.0
5,6,100,11,0.11
5,3,203,162,0.7980295566502463
5,2,188,188,1.0
5,4,190,78,0.4105263157894737
5,5,141,27,0.19148936170212766
5,8,38,1,0.02631578947368421
5,10,14,1,0.07142857142857142
5,9,17,2,0.11764705882352941
5,7,74,6,0.08108108108108109
5,12,13,2,0.15384615384615385
5,14,3,0,0.0
5,13,2,0,0.0
5,23,1,0,0.0
5,16,3,0,0.0
5,15,3,0,0.0
5,18,1,0,0.0
5,11,3,0,0.0
5,27,1,0,0.0
6,6,99,11,0.1111111111111111
6,3,209,156,0.7464114832535885
6,5,135,30,0.2222222222222222
6,4,196,67,0.34183673469387754
6,2,193,193,1.0
6,7,74,5,0.06756756756756757
6,8,43,3,0.06976744186046512
6,10,21,0,0.0
6,9,14,2,0.14285714285714285
6,12,5,1,0.2
6,14,4,0,0.0
6,15,3,0,0.0
6,11,4,0,0.0
6,16,2,0,0.0
6,18,1,0,0.0
6,22,1,0,0.0
6,17,2,0,0.0
6,13,2,0,0.0
7,2,198,198,1.0
7,5,138,31,0.2246376811594203
7,6,100,12,0.12
7,4,168,70,0.4166666666666667
7,7,67,4,0.05970149253731343
7,9,24,1,0.041666666666666664
7,8,41,3,0.07317073170731707
7,3,204,159,0.7794117647058824
7,10,20,3,0.15
7,13,6,0,0.0
7,12,8,1,0.125
7,24,1,0,0.0
7,15,5,0,0.0
7,14,1,0,0.0
7,16,1,0,0.0
7,18,1,0,0.0
7,11,4,0,0.0
7,17,2,0,0.0
7,27,1,0,0.0
8,3,205,157,0.7658536585365854
8,2,181,181,1.0
8,5,140,31,0.22142857142857142
8,4,160,67,0.41875
8,9,20,2,0.1
8,8,42,1,0.023809523809523808
8,10,18,2,0.1111111111111111
8,6,81,9,0.1111111111111111
8,7,67,5,0.07462686567164178
8,12,7,1,0.14285714285714285
8,13,4,2,0.5
8,24,1,0,0.0
8,14,3,0,0.0
8,11,3,0,0.0
8,15,3,0,0.0
8,16,1,0,0.0
9,3,223,175,0.7847533632286996
9,5,140,31,0.22142857142857142
9,6,88,7,0.07954545454545454
9,2,191,191,1.0
9,9,19,1,0.05263157894736842
9,8,39,2,0.05128205128205128
9,4,173,65,0.37572254335260113
9,7,55,3,0.05454545454545454
9,12,10,0,0.0
9,14,2,0,0.0
9,16,4,0,0.0
9,10,16,1,0.0625
9,15,2,0,0.0
9,13,2,0,0.0
9,11,2,0,0.0
10,6,97,8,0.08247422680412371
10,2,196,196,1.0
10,4,187,77,0.4117647058823529
10,5,161,39,0.2422360248447205
10,3,210,164,0.780952380952381
10,8,41,2,0.04878048780487805
10,7,60,4,0.06666666666666667
10,12,9,1,0.1111111111111111
10,9,22,3,0.13636363636363635
10,10,23,1,0.043478260869565216
10,13,4,1,0.25
10,11,2,0,0.0
10,16,1,0,0.0
10,15,2,0,0.0
10,22,1,1,1.0
10,17,1,0,0.0
10,14,2,0,0.0
