iter,utterance_length,nb_utterances,produced,production_score
1,4,134,64,0.47761194029850745
1,2,160,160,1.0
1,3,150,125,0.8333333333333334
1,7,34,3,0.08823529411764706
1,6,47,8,0.1702127659574468
1,5,85,28,0.32941176470588235
1,8,25,1,0.04
1,12,5,0,0.0
1,13,1,0,0.0
1,9,16,2,0.125
1,10,8,0,0.0
1,16,1,0,0.0
1,11,2,0,0.0
2,2,178,178,1.0
2,3,138,111,0.8043478260869565
2,5,82,22,0.2682926829268293
2,4,119,64,0.5378151260504201
2,7,34,2,0.058823529411764705
2,6,43,3,0.06976744186046512
2,8,18,2,0.1111111111111111
2,11,6,0,0.0
2,13,2,0,0.0
2,9,11,1,0.09090909090909091
2,12,2,0,0.0
2,10,7,1,0.14285714285714285
2,18,1,0,0.0
3,2,153,153,1.0
3,3,145,124,0.8551724137931035
3,7,39,3,0.07692307692307693
3,4,121,67,0.5537190082644629
3,5,85,27,0.3176470588235294
3,6,51,9,0.17647058823529413
3,12,5,0,0.0
3,10,8,1,0.125
3,8,23,1,0.043478260869565216
3,9,15,2,0.13333333333333333
3,14,1,0,0.0
3,11,2,0,0.0
3,15,1,0,0.0
4,2,160,160,1.0
4,4,146,84,0.5753424657534246
4,3,157,120,0.7643312101910829
4,5,78,19,0.24358974358974358
4,7,31,2,0.06451612903225806
4,6,54,7,0.12962962962962962
4,8,13,0,0.0
4,11,4,0,0.0
4,10,6,1,0.16666666666666666
4,13,1,0,0.0
4,9,18,2,0.1111111111111111
4,14,1,0,0.0
4,18,1,0,0.0
4,12,1,0,0.0
5,4,128,74,0.578125
5,2,172,172,1.0
5,3,146,116,0.7945205479452054
5,7,44,3,0.06818181818181818
5,5,69,17,0.2463768115942029
5,6,59,5,0.0847457627118644
5,8,22,1,0.045454545454545456
5,12,3,0,0.0
5,10,6,1,0.16666666666666666
5,9,15,0,0.0
5,11,2,0,0.0
5,16,1,1,1.0
5,15,1,0,0.0
6,4,124,61,0.49193548387096775
6,2,182,182,1.0
6,3,153,127,0.8300653594771242
6,5,78,16,0.20512820512820512
6,6,43,9,0.20930232558139536
6,8,20,3,0.15
6,7,34,2,0.058823529411764705
6,12,5,0,0.0
6,10,7,1,0.14285714285714285
6,11,3,0,0.0
6,13,2,0,0.0
6,9,13,2,0.15384615384615385
6,14,1,0,0.0
6,18,1,0,0.0
7,4,119,65,0.5462184873949579
7,2,175,175,1.0
7,3,137,114,0.8321167883211679
7,6,49,7,0.14285714285714285
7,5,81,27,0.3333333333333333
7,7,35,4,0.11428571428571428
7,9,12,0,0.0
7,10,8,0,0.0
7,13,2,0,0.0
7,14,2,0,0.0
7,12,3,0,0.0
7,8,23,3,0.13043478260869565
7,11,3,0,0.0
7,18,1,0,0.0
8,4,136,85,0.625
8,2,175,175,1.0
8,6,50,6,0.12
8,3,143,116,0.8111888111888111
8,7,34,3,0.08823529411764706
8,5,76,22,0.2894736842105263
8,8,19,2,0.10526315789473684
8,12,2,0,0.0
8,10,6,0,0.0
8,11,3,0,0.0
8,9,20,1,0.05
8,13,1,0,0.0
8,16,1,1,1.0
8,18,1,0,0.0
9,4,114,58,0.5087719298245614
9,3,154,128,0.8311688311688312
9,5,70,19,0.2714285714285714
9,7,40,2,0.05
9,2,153,153,1.0
9,6,42,7,0.16666666666666666
9,8,20,3,0.15
9,9,15,2,0.13333333333333333
9,11,6,0,0.0
9,10,6,1,0.16666666666666666
9,13,1,0,0.0
9,12,3,0,0.0
9,14,1,0,0.0
9,18,1,0,0.0
10,4,140,81,0.5785714285714286
10,3,154,126,0.8181818181818182
10,5,75,14,0.18666666666666668
10,7,38,1,0.02631578947368421
10,2,161,161,1.0
10,6,45,8,0.17777777777777778
10,8,21,2,0.09523809523809523
10,9,15,0,0.0
10,12,4,0,0.0
10,13,1,0,0.0
10,11,2,0,0.0
10,10,5,1,0.2
10,14,1,0,0.0
