iter,utterance_length,nb_utterances,produced,production_score
1,2,2096,2096,1.0
1,4,742,359,0.4838274932614555
1,3,1334,1095,0.820839580209895
1,5,375,79,0.21066666666666667
1,7,84,11,0.13095238095238096
1,6,167,21,0.12574850299401197
1,8,33,2,0.06060606060606061
1,9,15,0,0.0
1,10,4,0,0.0
1,15,2,0,0.0
1,13,1,0,0.0
1,12,1,0,0.0
1,14,1,0,0.0
2,2,2069,2069,1.0
2,4,764,374,0.4895287958115183
2,3,1328,1101,0.829066265060241
2,9,21,0,0.0
2,5,359,86,0.2395543175487465
2,7,77,12,0.15584415584415584
2,6,148,20,0.13513513513513514
2,8,39,2,0.05128205128205128
2,10,7,0,0.0
2,15,2,0,0.0
2,13,1,0,0.0
2,12,1,0,0.0
2,14,1,0,0.0
3,2,2099,2099,1.0
3,3,1394,1136,0.8149210903873745
3,4,782,385,0.49232736572890023
3,5,353,85,0.24079320113314448
3,7,81,11,0.13580246913580246
3,6,161,26,0.16149068322981366
3,12,1,0,0.0
3,8,29,1,0.034482758620689655
3,9,17,0,0.0
3,10,7,0,0.0
3,15,1,0,0.0
3,11,1,0,0.0
3,14,1,0,0.0
4,2,2126,2126,1.0
4,4,757,355,0.46895640686922063
4,3,1344,1088,0.8095238095238095
4,5,358,89,0.24860335195530725
4,6,147,22,0.14965986394557823
4,7,85,4,0.047058823529411764
4,8,31,4,0.12903225806451613
4,9,11,0,0.0
4,10,8,0,0.0
4,12,1,0,0.0
4,15,2,0,0.0
5,2,2042,2042,1.0
5,3,1304,1055,0.8090490797546013
5,4,764,351,0.4594240837696335
5,5,367,84,0.22888283378746593
5,7,68,8,0.11764705882352941
5,6,175,15,0.08571428571428572
5,8,37,5,0.13513513513513514
5,9,19,0,0.0
5,10,8,0,0.0
5,12,2,0,0.0
5,11,2,0,0.0
5,14,1,0,0.0
6,2,2083,2083,1.0
6,3,1325,1060,0.8
6,4,734,330,0.44959128065395093
6,5,357,75,0.21008403361344538
6,7,65,6,0.09230769230769231
6,6,175,26,0.14857142857142858
6,8,31,2,0.06451612903225806
6,10,8,0,0.0
6,9,18,0,0.0
6,12,2,0,0.0
6,15,1,0,0.0
6,11,2,0,0.0
7,2,2122,2122,1.0
7,3,1357,1098,0.8091378039793663
7,4,749,358,0.4779706275033378
7,9,22,0,0.0
7,5,374,87,0.232620320855615
7,6,147,17,0.11564625850340136
7,7,69,9,0.13043478260869565
7,8,26,3,0.11538461538461539
7,10,7,0,0.0
7,13,2,0,0.0
7,11,1,0,0.0
7,14,1,0,0.0
8,2,2082,2082,1.0
8,4,749,352,0.4699599465954606
8,3,1298,1074,0.827426810477658
8,9,17,0,0.0
8,5,365,83,0.2273972602739726
8,7,78,5,0.0641025641025641
8,6,160,21,0.13125
8,8,33,2,0.06060606060606061
8,10,5,0,0.0
8,12,2,0,0.0
8,13,1,0,0.0
8,11,2,1,0.5
9,2,2143,2143,1.0
9,3,1331,1062,0.7978963185574756
9,5,381,83,0.2178477690288714
9,4,759,354,0.466403162055336
9,7,76,7,0.09210526315789473
9,6,166,22,0.13253012048192772
9,12,2,0,0.0
9,8,37,2,0.05405405405405406
9,9,13,0,0.0
9,10,6,0,0.0
9,15,1,0,0.0
9,13,1,0,0.0
9,11,1,1,1.0
9,14,1,0,0.0
10,2,2142,2142,1.0
10,3,1320,1066,0.8075757575757576
10,5,344,68,0.19767441860465115
10,4,786,383,0.4872773536895674
10,7,86,8,0.09302325581395349
10,8,30,2,0.06666666666666667
10,6,153,25,0.16339869281045752
10,12,2,0,0.0
10,9,13,0,0.0
10,10,4,0,0.0
10,11,2,1,0.5
