iter,utterance_length,nb_utterances,produced,production_score
1,2,195,195,1.0
1,4,231,129,0.5584415584415584
1,7,101,9,0.0891089108910891
1,5,218,67,0.3073394495412844
1,20,2,0,0.0
1,8,62,3,0.04838709677419355
1,3,252,203,0.8055555555555556
1,12,8,0,0.0
1,9,42,5,0.11904761904761904
1,10,29,4,0.13793103448275862
1,6,147,24,0.16326530612244897
1,13,12,4,0.3333333333333333
1,14,4,0,0.0
1,11,9,0,0.0
1,21,1,0,0.0
1,15,3,0,0.0
1,17,1,0,0.0
1,16,4,0,0.0
1,25,1,0,0.0
1,19,1,0,0.0
2,3,258,226,0.875968992248062
2,7,92,8,0.08695652173913043
2,4,234,134,0.5726495726495726
2,2,192,192,1.0
2,13,12,1,0.08333333333333333
2,20,2,0,0.0
2,8,60,9,0.15
2,10,31,4,0.12903225806451613
2,9,36,4,0.1111111111111111
2,6,164,21,0.12804878048780488
2,5,213,66,0.30985915492957744
2,14,6,0,0.0
2,23,1,0,0.0
2,11,12,1,0.08333333333333333
2,12,9,1,0.1111111111111111
2,21,1,0,0.0
2,17,3,0,0.0
2,16,2,0,0.0
2,18,1,0,0.0
2,15,2,0,0.0
3,2,185,185,1.0
3,4,252,125,0.49603174603174605
3,5,242,79,0.32644628099173556
3,3,236,195,0.826271186440678
3,7,95,7,0.07368421052631578
3,10,24,1,0.041666666666666664
3,6,159,25,0.15723270440251572
3,14,9,2,0.2222222222222222
3,8,60,5,0.08333333333333333
3,11,20,3,0.15
3,13,7,1,0.14285714285714285
3,9,34,2,0.058823529411764705
3,21,1,0,0.0
3,12,9,1,0.1111111111111111
3,17,4,0,0.0
3,16,2,0,0.0
3,15,2,0,0.0
3,29,1,1,1.0
3,25,1,0,0.0
3,20,1,0,0.0
3,19,1,0,0.0
4,2,198,198,1.0
4,4,231,121,0.5238095238095238
4,5,209,72,0.3444976076555024
4,7,105,14,0.13333333333333333
4,8,63,10,0.15873015873015872
4,3,249,206,0.8273092369477911
4,10,26,3,0.11538461538461539
4,6,178,37,0.20786516853932585
4,14,8,1,0.125
4,23,1,0,0.0
4,9,34,2,0.058823529411764705
4,11,22,0,0.0
4,12,7,0,0.0
4,15,3,0,0.0
4,22,1,0,0.0
4,21,1,0,0.0
4,13,7,2,0.2857142857142857
4,16,3,0,0.0
4,20,2,0,0.0
4,29,1,1,1.0
4,25,1,0,0.0
5,3,256,217,0.84765625
5,4,244,133,0.5450819672131147
5,2,190,190,1.0
5,5,198,63,0.3181818181818182
5,8,68,7,0.10294117647058823
5,7,99,10,0.10101010101010101
5,20,1,0,0.0
5,6,153,22,0.1437908496732026
5,9,36,6,0.16666666666666666
5,12,6,1,0.16666666666666666
5,11,16,1,0.0625
5,10,24,2,0.08333333333333333
5,14,5,0,0.0
5,15,3,0,0.0
5,22,1,0,0.0
5,21,1,0,0.0
5,13,9,3,0.3333333333333333
5,16,2,0,0.0
5,29,1,1,1.0
5,17,1,0,0.0
5,25,1,0,0.0
5,19,1,0,0.0
6,4,223,132,0.5919282511210763
6,5,222,64,0.2882882882882883
6,2,199,199,1.0
6,8,63,8,0.12698412698412698
6,3,279,237,0.8494623655913979
6,7,102,11,0.10784313725490197
6,13,11,1,0.09090909090909091
6,6,147,27,0.1836734693877551
6,14,7,0,0.0
6,12,9,0,0.0
6,9,40,2,0.05
6,10,24,2,0.08333333333333333
6,11,16,1,0.0625
6,22,1,0,0.0
6,15,3,0,0.0
6,16,3,0,0.0
6,20,1,0,0.0
6,18,1,0,0.0
6,17,2,0,0.0
6,25,1,0,0.0
6,19,1,0,0.0
7,2,184,184,1.0
7,3,278,236,0.8489208633093526
7,7,103,12,0.11650485436893204
7,4,239,121,0.5062761506276151
7,5,228,54,0.23684210526315788
7,20,2,0,0.0
7,6,161,32,0.19875776397515527
7,12,8,2,0.25
7,8,53,8,0.1509433962264151
7,23,1,0,0.0
7,9,34,4,0.11764705882352941
7,10,31,4,0.12903225806451613
7,11,17,2,0.11764705882352941
7,13,11,4,0.36363636363636365
7,24,1,0,0.0
7,22,1,0,0.0
7,21,1,0,0.0
7,14,4,1,0.25
7,16,3,0,0.0
7,19,2,1,0.5
7,29,1,0,0.0
7,17,3,0,0.0
7,15,1,0,0.0
8,3,251,212,0.8446215139442231
8,4,238,119,0.5
8,2,176,176,1.0
8,7,104,14,0.1346153846153846
8,5,212,67,0.3160377358490566
8,20,2,0,0.0
8,8,67,8,0.11940298507462686
8,6,149,22,0.1476510067114094
8,12,10,1,0.1
8,9,29,3,0.10344827586206896
8,10,30,2,0.06666666666666667
8,11,16,0,0.0
8,14,7,1,0.14285714285714285
8,22,1,0,0.0
8,13,10,3,0.3
8,15,3,0,0.0
8,16,2,0,0.0
8,17,2,0,0.0
8,25,1,0,0.0
9,4,236,131,0.5550847457627118
9,7,99,8,0.08080808080808081
9,5,208,72,0.34615384615384615
9,2,185,185,1.0
9,3,246,214,0.8699186991869918
9,13,12,3,0.25
9,8,62,5,0.08064516129032258
9,10,27,3,0.1111111111111111
9,6,152,21,0.13815789473684212
9,12,10,1,0.1
9,9,47,6,0.1276595744680851
9,14,5,1,0.2
9,11,9,0,0.0
9,18,1,0,0.0
9,19,2,1,0.5
9,29,1,1,1.0
9,16,2,0,0.0
9,15,2,0,0.0
9,20,1,0,0.0
9,17,2,0,0.0
10,3,264,219,0.8295454545454546
10,4,260,163,0.6269230769230769
10,2,191,191,1.0
10,7,106,15,0.14150943396226415
10,13,7,0,0.0
10,20,1,0,0.0
10,8,57,2,0.03508771929824561
10,10,27,4,0.14814814814814814
10,6,161,25,0.15527950310559005
10,5,202,66,0.32673267326732675
10,12,5,1,0.2
10,23,1,0,0.0
10,11,18,0,0.0
10,9,35,3,0.08571428571428572
10,14,7,1,0.14285714285714285
10,15,4,0,0.0
10,24,1,0,0.0
10,22,1,0,0.0
10,17,5,0,0.0
10,16,1,0,0.0
10,29,1,1,1.0
