iter,utterance_length,nb_utterances,produced,production_score
1,2,347,347,1.0
1,3,376,317,0.8430851063829787
1,4,334,179,0.5359281437125748
1,6,196,30,0.15306122448979592
1,7,120,13,0.10833333333333334
1,5,284,70,0.24647887323943662
1,9,66,6,0.09090909090909091
1,8,89,5,0.056179775280898875
1,10,41,0,0.0
1,11,27,2,0.07407407407407407
1,12,19,0,0.0
1,14,5,0,0.0
1,17,3,0,0.0
1,15,7,1,0.14285714285714285
1,32,1,0,0.0
1,13,9,0,0.0
1,16,9,0,0.0
1,30,1,0,0.0
1,18,1,0,0.0
1,20,2,0,0.0
2,2,358,358,1.0
2,3,378,329,0.8703703703703703
2,4,342,186,0.543859649122807
2,7,114,9,0.07894736842105263
2,6,193,25,0.12953367875647667
2,5,276,80,0.2898550724637681
2,9,66,6,0.09090909090909091
2,8,84,5,0.05952380952380952
2,10,37,0,0.0
2,12,13,1,0.07692307692307693
2,13,12,0,0.0
2,11,30,3,0.1
2,15,8,0,0.0
2,17,4,0,0.0
2,14,9,0,0.0
2,16,10,1,0.1
2,32,1,0,0.0
2,30,1,0,0.0
2,23,1,0,0.0
2,19,2,1,0.5
2,18,1,0,0.0
2,20,3,0,0.0
2,21,1,0,0.0
3,3,353,301,0.8526912181303116
3,4,363,187,0.5151515151515151
3,8,74,5,0.06756756756756757
3,2,336,336,1.0
3,5,247,71,0.2874493927125506
3,6,204,36,0.17647058823529413
3,9,66,6,0.09090909090909091
3,13,16,1,0.0625
3,10,41,0,0.0
3,7,119,7,0.058823529411764705
3,12,12,0,0.0
3,21,2,0,0.0
3,11,29,0,0.0
3,16,9,0,0.0
3,15,12,2,0.16666666666666666
3,14,7,0,0.0
3,30,1,0,0.0
3,20,2,0,0.0
3,17,1,0,0.0
4,3,372,321,0.8629032258064516
4,2,343,343,1.0
4,4,336,184,0.5476190476190477
4,8,91,7,0.07692307692307693
4,5,284,74,0.2605633802816901
4,6,194,23,0.11855670103092783
4,7,121,7,0.05785123966942149
4,9,67,6,0.08955223880597014
4,11,28,0,0.0
4,12,21,0,0.0
4,10,42,1,0.023809523809523808
4,21,2,0,0.0
4,13,8,0,0.0
4,22,1,0,0.0
4,17,4,0,0.0
4,16,7,0,0.0
4,15,8,0,0.0
4,14,9,0,0.0
4,32,1,0,0.0
4,19,1,0,0.0
4,23,1,0,0.0
4,18,2,0,0.0
4,20,1,0,0.0
5,3,383,330,0.8616187989556136
5,2,367,367,1.0
5,4,324,184,0.5679012345679012
5,8,85,8,0.09411764705882353
5,6,198,31,0.15656565656565657
5,7,106,13,0.12264150943396226
5,5,272,76,0.27941176470588236
5,9,66,5,0.07575757575757576
5,12,15,0,0.0
5,11,26,3,0.11538461538461539
5,10,41,2,0.04878048780487805
5,14,10,0,0.0
5,16,6,0,0.0
5,17,4,0,0.0
5,13,12,0,0.0
5,15,11,2,0.18181818181818182
5,30,1,0,0.0
5,23,1,0,0.0
5,18,2,0,0.0
5,19,1,1,1.0
5,20,2,0,0.0
5,21,1,0,0.0
6,3,376,319,0.848404255319149
6,4,344,186,0.5406976744186046
6,2,344,344,1.0
6,8,83,5,0.060240963855421686
6,6,206,30,0.14563106796116504
6,5,292,79,0.2705479452054795
6,9,66,4,0.06060606060606061
6,7,114,14,0.12280701754385964
6,10,38,2,0.05263157894736842
6,13,13,0,0.0
6,11,34,5,0.14705882352941177
6,21,2,0,0.0
6,12,15,0,0.0
6,14,9,0,0.0
6,32,1,0,0.0
6,16,6,0,0.0
6,15,10,1,0.1
6,17,2,0,0.0
6,30,1,0,0.0
6,19,1,0,0.0
6,18,2,0,0.0
6,20,2,0,0.0
7,3,365,311,0.852054794520548
7,2,350,350,1.0
7,4,327,175,0.5351681957186545
7,8,84,8,0.09523809523809523
7,7,125,14,0.112
7,6,205,27,0.13170731707317074
7,5,244,62,0.2540983606557377
7,9,77,6,0.07792207792207792
7,13,11,0,0.0
7,12,24,0,0.0
7,11,30,3,0.1
7,21,2,0,0.0
7,10,43,2,0.046511627906976744
7,15,12,1,0.08333333333333333
7,16,6,0,0.0
7,17,6,0,0.0
7,14,9,0,0.0
7,20,2,0,0.0
8,2,346,346,1.0
8,3,372,313,0.8413978494623656
8,4,338,188,0.5562130177514792
8,6,202,36,0.1782178217821782
8,7,122,14,0.11475409836065574
8,5,276,80,0.2898550724637681
8,8,87,7,0.08045977011494253
8,10,36,0,0.0
8,9,64,2,0.03125
8,11,26,3,0.11538461538461539
8,12,19,0,0.0
8,14,7,0,0.0
8,16,9,0,0.0
8,15,9,0,0.0
8,13,7,0,0.0
8,17,3,0,0.0
8,18,2,0,0.0
8,23,1,0,0.0
8,20,1,0,0.0
9,3,376,307,0.8164893617021277
9,2,363,363,1.0
9,4,346,189,0.546242774566474
9,8,75,5,0.06666666666666667
9,5,278,76,0.2733812949640288
9,7,129,10,0.07751937984496124
9,6,213,35,0.1643192488262911
9,9,74,7,0.0945945945945946
9,13,15,0,0.0
9,10,37,1,0.02702702702702703
9,11,34,2,0.058823529411764705
9,12,16,1,0.0625
9,21,1,0,0.0
9,14,8,0,0.0
9,16,7,1,0.14285714285714285
9,15,7,0,0.0
9,17,3,0,0.0
9,30,1,0,0.0
9,23,1,0,0.0
9,19,2,1,0.5
9,18,1,0,0.0
9,20,1,0,0.0
10,3,383,327,0.8537859007832899
10,4,344,187,0.5436046511627907
10,2,349,349,1.0
10,6,204,26,0.12745098039215685
10,5,278,74,0.26618705035971224
10,7,123,9,0.07317073170731707
10,9,73,4,0.0547945205479452
10,13,11,0,0.0
10,8,86,2,0.023255813953488372
10,10,50,1,0.02
10,12,23,0,0.0
10,11,29,4,0.13793103448275862
10,21,1,0,0.0
10,14,11,0,0.0
10,39,1,1,1.0
10,16,7,0,0.0
10,15,8,0,0.0
10,17,2,0,0.0
10,19,3,2,0.6666666666666666
